Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Uttam Galva Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,39,85.0
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,40,85.0
Essar Steel India,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,41,85.0
JINDAL STEEL  POWER LIMITED,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.0999999999812116,1.1111111087915606,42,116.0
Bhushan Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,43,85.0
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,44,85.0
Kalyani Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,45,85.0
Electrosteel Castings,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,46,85.0
Sunflag Iron and Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,47,85.0
Adhunik Metaliks,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,48,85.0
Visa Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,49,85.0
Ratnamani Metals & Tubes Limited,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,50,85.0
Electrosteel Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,51,85.0
AUROBINDO PHARMA LIMITED,Pharmaceuticals,317237664543.013,3524.862939366811,Chemicals nec,0.15,528.7294409050216,0.1499999999574451,1.666666661412982,52,44.0
Mrs. Bectors Food Specialities,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,53,1.0
Bikaji Foods,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,54,1.0
Varun Beverages (PepsiCo franchise),FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,55,1.0
Heritage Foods,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,56,1.0
Dabur India Limited,FMCG / Consumer Goods,90707302655.5111,1007.8589183945676,Food products nec,0.5,503.9294591972839,0.4999999995038988,5.555555494308496,57,10.0
Godrej Consumer Products Limited,FMCG / Consumer Goods,89101499621.36166,990.016662459574,Food products nec,0.5,495.008331229787,0.499999999494958,5.555555493204691,58,11.0
Asian Paints Limited,Chemicals,295526759253.8788,3283.630658376431,Chemicals nec,0.15,492.5445987564646,0.1499999999543188,1.6666666610270195,59,45.0
Cipla Limited,Pharmaceuticals,275476097940.1477,3060.845532668308,Chemicals nec,0.15,459.12682990024615,0.1499999999509939,1.6666666606165348,60,46.0
HERO MOTOCORP LIMITED,Automobile,407555534139.6425,4528.394823773806,Construction,0.1,452.8394823773806,0.0999999999779171,1.1111111083848295,61,117.0
InterGlobe Aviation Limited,Other Business Services,808029916604.5837,8978.110184495376,Other business activities,0.05,448.9055092247688,0.0499999999944309,0.5555555548680123,62,238.0
Jindal Stainless Limited,Steel & Iron,401819782181.8428,4464.664246464919,Construction,0.1,446.466424646492,0.0999999999776019,1.1111111083459135,63,118.0
Ashok Leyland Limited,Automobile,387524362023.6856,4305.826244707618,Construction,0.1,430.5826244707618,0.0999999999767756,1.1111111082439078,64,119.0
Torrent Power Limited,Power,291652698347.2974,3240.585537192193,Production of electricity by coal,0.12,388.8702644630632,0.1199999999629696,1.3333333287616858,65,77.0
Sun Pharmaceutical Industries Limited,Pharmaceuticals,230033744709.4656,2555.93049677184,Chemicals nec,0.15,383.389574515776,0.1499999999413129,1.6666666594213528,66,47.0
Mahanagar Gas Limited,Oil & Gas,75899723706.39742,843.3302634044157,Mining of coal and lignite; extraction of peat,0.4,337.3321053617663,0.39999999952569,4.444444385887652,67,29.0
REC Limited,Other Business Services,563171521035.5988,6257.461344839986,Other business activities,0.05,312.8730672419993,0.0499999999920095,0.5555555545690789,68,239.0
Amul (GCMMF),Other Business Services,550000000000.0,6111.111111111111,Other business activities,0.05,305.5555555555556,0.05,0.5555555555555557,69,139.0
Titan Company Limited,Other Business Services,548466497812.572,6094.072197917467,Other business activities,0.05,304.70360989587334,0.0499999999917953,0.5555555545426303,70,240.0
Welspun Corp Limited,Textiles,88351899529.22842,981.6877725469824,Textiles,0.3,294.50633176409474,0.2999999996944038,3.3333332956054145,71,37.0
MOIL (Manganese Ore India),Oil & Gas,65008233918.0,722.3137102,Mining of coal and lignite; extraction of peat,0.4,288.92548408,0.4,4.444444444444444,72,14.0
Welspun Living Limited,Textiles,86224543045.54973,958.050478283886,Textiles,0.3,287.41514348516574,0.2999999996868641,3.333333294674581,73,38.0
Petronet LNG Limited,Other Business Services,509796680869.683,5664.4075652187,Other business activities,0.05,283.22037826093504,0.0499999999911729,0.5555555544657966,74,241.0
Lupin Limited,Pharmaceuticals,164585584899.91626,1828.728721110181,Chemicals nec,0.15,274.3093081665271,0.1499999999179758,1.666666656540223,75,48.0
Page Industries Limited,Other Business Services,493500363141.1712,5483.337368235236,Other business activities,0.05,274.1668684117618,0.0499999999908814,0.5555555544298106,76,242.0
Life Insurance Corporation of India,Financial Services,4887995296884.186,54311.058854268726,"Financial intermediation, except insurance and pension funding",0.005,271.55529427134366,0.0049999999999079,0.0555555555441898,77,568.0
Vardhman Textiles,Textiles,81260175345.0,902.8908371666666,Textiles,0.3,270.86725115,0.3,3.333333333333333,78,36.0
STATE BANK OF INDIA,Financial Services,4813519763070.965,53483.55292301072,"Financial intermediation, except insurance and pension funding",0.005,267.4177646150536,0.0049999999999065,0.0555555555440139,79,569.0
ARVIND LIMITED,Textiles,76295807644.88286,847.7311960542539,Textiles,0.3,254.31935881627615,0.2999999996461142,3.333333289643733,80,39.0
TATA CHEMICALS LIMITED,Chemicals,148869999537.262,1654.1111059695777,Chemicals nec,0.15,248.11666589543665,0.1499999999093168,1.6666666554712164,81,49.0
THE NEW INDIA ASSURANCE COMPANY LIMITED,Other Business Services,436198592071.1375,4846.651023012639,Other business activities,0.05,242.332551150632,0.0499999999896836,0.5555555542819257,82,243.0
Adani Total Gas Limited,Oil & Gas,54116744129.59512,601.2971569955014,Mining of coal and lignite; extraction of peat,0.4,240.51886279820056,0.3999999993347715,4.444444362317472,83,30.0
Adani Enterprises Limited,Other Business Services,413081113874.90137,4589.790154165571,Other business activities,0.05,229.48950770827852,0.0499999999891062,0.555555554210649,84,244.0
ACC Limited,Cement,205940012416.5761,2288.222360184179,Construction,0.1,228.8222360184179,0.0999999999562979,1.1111111057157967,85,120.0
Aditya Birla Capital Limited,Other Business Services,405855514705.8824,4509.505718954249,Other business activities,0.05,225.47528594771245,0.0499999999889123,0.555555554186705,86,245.0
Himadri Speciality Chemical Limited,Chemicals,125775162982.5,1397.5018109166667,Chemicals nec,0.15,209.6252716375,0.15,1.6666666666666663,87,41.0
Archean Chemical Industries Limited,Chemicals,125775162982.5,1397.5018109166667,Chemicals nec,0.15,209.6252716375,0.15,1.6666666666666663,88,41.0
Ambuja Cements Limited,Cement,188570007218.2446,2095.22230242494,Construction,0.1,209.52223024249403,0.0999999999522723,1.111111105218811,89,121.0
Pidilite Industries Limited,Chemicals,120726667641.89584,1341.407418243287,Chemicals nec,0.15,201.21111273649305,0.1499999998881771,1.6666666528613765,90,50.0
SRF LIMITED,Chemicals,116953405017.92116,1299.4822779769015,Chemicals nec,0.15,194.92234169653528,0.1499999998845693,1.6666666524159772,91,51.0
HDFC Bank Limited,Financial Services,3460043223750.4194,38444.924708338,"Financial intermediation, except insurance and pension funding",0.005,192.22462354169,0.0049999999998699,0.0555555555394992,92,570.0
