Company_Name,Tier1_Core_Count,Tier12_Core_Count,Tier1_Total_Points,Tier12_Total_Points,Tier1_Coverage_Pct,Tier12_Coverage_Pct
KIOCL (Kudremukh Iron Ore Company),3,4,3,4,27.27272727272727,36.36363636363637
Cochin International Airport (CIAL),4,4,5,5,36.36363636363637,36.36363636363637
Jindal Saw Limited,3,4,4,5,27.27272727272727,36.36363636363637
"Adani Airports (Mumbai, Ahmedabad, 6 others)",3,4,3,4,27.27272727272727,36.36363636363637
Techno Electric & Engineering Company Limited,3,4,3,4,27.27272727272727,36.36363636363637
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),4,4,5,5,36.36363636363637,36.36363636363637
IDFC FIRST Bank Limited,4,4,5,5,36.36363636363637,36.36363636363637
APL Apollo Tubes,3,4,3,4,27.27272727272727,36.36363636363637
ITC Limited (Paperboards Division),3,4,4,5,27.27272727272727,36.36363636363637
Usha Martin Limited,3,4,4,5,27.27272727272727,36.36363636363637
IndiaMART InterMESH Limited,4,4,4,4,36.36363636363637,36.36363636363637
Akasa Air,2,3,2,3,18.181818181818183,27.27272727272727
Air India,2,3,2,3,18.181818181818183,27.27272727272727
Siemens Limited,3,3,4,4,27.27272727272727,27.27272727272727
Amara Raja Energy & Mobility Limited,2,3,2,3,18.181818181818183,27.27272727272727
Amul (GCMMF),2,3,2,3,18.181818181818183,27.27272727272727
Angel One Limited,2,3,2,3,18.181818181818183,27.27272727272727
Archean Chemical Industries Limited,2,3,2,3,18.181818181818183,27.27272727272727
Procter & Gamble Health Limited,2,3,2,3,18.181818181818183,27.27272727272727
TATA COMMUNICATIONS LIMITED,2,3,3,4,18.181818181818183,27.27272727272727
UCO BANK,2,3,2,3,18.181818181818183,27.27272727272727
itc-nature-report,3,3,5,5,27.27272727272727,27.27272727272727
Dr. Reddy's Laboratories Limited,2,3,2,3,18.181818181818183,27.27272727272727
COAL INDIA LIMITED,2,3,4,5,18.181818181818183,27.27272727272727
Ion Exchange (India) Limited,2,3,2,3,18.181818181818183,27.27272727272727
JK Lakshmi Cement,2,3,2,3,18.181818181818183,27.27272727272727
Dixon Technologies (India) Limited,2,3,2,3,18.181818181818183,27.27272727272727
Hatsun Agro Products,2,3,2,3,18.181818181818183,27.27272727272727
Mukand Limited,3,3,3,3,27.27272727272727,27.27272727272727
Hindustan Coca-Cola Beverages (Coca-Cola India),3,3,3,3,27.27272727272727,27.27272727272727
Kesoram Industries (Cement Division),1,2,1,2,9.090909090909092,18.181818181818183
Electrosteel Steels (ESL Steel Limited),2,2,2,2,18.181818181818183,18.181818181818183
Bajaj Holdings & Investment Limited,1,2,1,2,9.090909090909092,18.181818181818183
Vistara (TATA SIA Airlines),1,2,1,2,9.090909090909092,18.181818181818183
Sobha Limited,1,2,1,2,9.090909090909092,18.181818181818183
Damodar Valley Corporation (DVC),2,2,3,3,18.181818181818183,18.181818181818183
