Company_Name,Sector_Original,Sector_Expert,Revenue_Cr
Mahanagar Gas Limited,Chemicals & Fertilizers,Oil & Gas,7589.972370639742
Man Infraconstruction Limited,Chemicals & Fertilizers,Cement,394.72706609368896
Manappuram Finance Limited,Chemicals & Fertilizers,Financial Services,6906.307909604521
Mazagon Dock Shipbuilders Limited,Chemicals & Fertilizers,Cement,11431.877130927782
MedPlus Health Services Limited,Chemicals & Fertilizers,Pharmaceuticals,0.0067299009999247
Metropolis Healthcare Limited,Chemicals & Fertilizers,Pharmaceuticals,0.0121654300005467
Mphasis Limited,Chemicals & Fertilizers,Information Technology,0.0092710470000226
NBCC India Limited,Chemicals & Fertilizers,Cement,8725.369675752272
NHPC Limited,Chemicals & Fertilizers,Power Generation,8994.281245878163
NMDC Limited,Chemicals & Fertilizers,Steel & Iron,23667.930187028785
NTPC LIMITED,Chemicals & Fertilizers,Power Generation,170034.1356075955
Nestle India Limited,Chemicals & Fertilizers,Pharmaceuticals,20077.47779751333
Nippon Life India Asset Management Limited,Chemicals & Fertilizers,Financial Services,2348.317570930812
Oberoi Realty Limited,Chemicals & Fertilizers,Cement,5286.339386440555
Oil India Limited,Oil & Gas,Chemicals & Fertilizers,22116.99094708657
Oracle Financial Services Software Limited,Financial Services,Information Technology,5098.994493655734
PATANJALI FOODS LIMITED,Chemicals & Fertilizers,Pharmaceuticals,34156.97980241968
PNB Housing Finance Limited,Chemicals & Fertilizers,Financial Services,0.0007661219999979
POLY MEDICURE LIMITED,Chemicals & Fertilizers,Pharmaceuticals,1601.8041310541312
Persistent Systems Limited,Chemicals & Fertilizers,Information Technology,0.0119387169988812
Petronet LNG Limited,Chemicals & Fertilizers,Oil & Gas,50979.6680869683
Pfizer Limited,Chemicals & Fertilizers,Pharmaceuticals,2281.36180034622
Power Finance Corporation Limited,Power Generation,Financial Services,53087.11711711712
Power Mech Projects Limited,Power Generation,Chemicals & Fertilizers,4435.42312377932
Prestige Estates Projects Limited,Chemicals & Fertilizers,Cement,7349.4142492995425
Prism Johnson Limited,Chemicals & Fertilizers,Cement,6725.689469258392
Procter  Gamble Health Limited,Chemicals & Fertilizers,Pharmaceuticals,934.170692431562
RELIANCE POWER LIMITED,Oil & Gas,Power Generation,7582.889996797752
Ratnamani Metals  Tubes Limited,Chemicals & Fertilizers,Steel & Iron,4883.195876288661
Reliance Infrastructure Limited,Oil & Gas,Cement,30424.824239810223
SAPPHIRE FOODS INDIA LIMITED,Chemicals & Fertilizers,Pharmaceuticals,2446.774193548387
SARDA ENERGY  MINERALS LIMITED,Power Generation,Steel & Iron,3484.170092882273
SBFC Finance Limited,Chemicals & Fertilizers,Financial Services,1305.0690318801771
SBI Cards and Payment Services Limited,Chemicals & Fertilizers,Financial Services,18650.491803278688
SBI Life Insurance Company Limited,Chemicals & Fertilizers,Financial Services,84942.50252270435
SJVN Limited,Chemicals & Fertilizers,Power Generation,2897.297270715515
SUNDARAM FINANCE LIMITED,Chemicals & Fertilizers,Financial Services,6520.260270863282
SUPREME PETROCHEM LIMITED,Chemicals & Fertilizers,Oil & Gas,6001.634354430001
SUZLON ENERGY LIMITED,Power Generation,Chemicals & Fertilizers,10806.856015779093
Sandur Manganese  Iron Ores Limited,Chemicals & Fertilizers,Steel & Iron,1938.537976428868
Schneider Electric Infrastructure Limited,Chemicals & Fertilizers,Cement,2636.6369780809805
Shriram Finance Limited,Chemicals & Fertilizers,Financial Services,41863.29918032786
Shyam Metalics and Energy Limited,Power Generation,Steel & Iron,15137.488700043405
Sobha Limited,Chemicals & Fertilizers,Cement,4202.513527609362
Star Health and Allied Insurance Company Limited,Chemicals & Fertilizers,Pharmaceuticals,16781.319043693322
Sterling and Wilson Renewable Energy Limited,Power Generation,Chemicals & Fertilizers,6301.974404876073
TITAGARH RAIL SYSTEMS LIMITED,Chemicals & Fertilizers,Information Technology,0.000386582
TTK PRESTIGE LIMITED,Chemicals & Fertilizers,Cement,0.0002530319999998
Tata Investment Corporation Limited,Chemicals & Fertilizers,Financial Services,808.4
