Company_Name,Land_Footprint_Hectares,Raw_Value,Unit,Source,Data_Tier,Num_Area_Mentions,All_Areas_Found
Data Patterns India Limited,,,,,,0,
DCM Shriram Limited,,,,,,0,
Deepak Nitrite Limited,,,,,,0,
Delhivery Limited,,,,,,0,
Devyani International Limited,,,,,,0,
DIVIS LABORATORIES LIMITED,,,,,,0,
Dixon Technologies India Limited,,,,,,0,
DLF Limited,0.102193344,11000.0,sq. ft,XBRL_TextExtraction,Tier_1,1,0.10 ha
DOMS Industries Limited,,,,,,0,
Dr Reddys Laboratories Limited,,,,,,0,
Easy Trip Planners Limited,,,,,,0,
eClerx Services Limited,,,,,,0,
EICHER MOTORS LIMITED,,,,,,0,
EIH Limited,,,,,,0,
Electronics Mart India Limited,,,,,,0,
Electrosteel Castings Limited,,,,,,0,
Elgi Equipments Limited,,,,,,0,
Emami Limited,,,,,,0,
Endurance Technologies Limited,1.2141,3.0,Acres,XBRL_TextExtraction,Tier_1,1,1.21 ha
Engineers India Limited,,,,,,0,
Equitas Small Finance Bank Limited,,,,,,0,
Eris Lifesciences Limited,,,,,,0,
ESAB India Limited,,,,,,0,
Escorts Kubota Limited,,,,,,0,
Eureka Forbes Limited,,,,,,0,
Exide Industries Limited,,,,,,0,
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,,,,,,0,
FINE ORGANIC INDUSTRIES LIMITED,,,,,,0,
Finolex Cables Limited,,,,,,0,
Finolex Industries Limited,,,,,,0,
Firstsource Solutions Limited,,,,,,0,
Five-Star Business Finance Limited,,,,,,0,
Force Motors Ltd,,,,,,0,
Fortis Healthcare Limited,,,,,,0,
GAIL India Limited,,,,,,0,
GALAXY SURFACTANTS LIMITED,,,,,,0,
Garden Reach Shipbuilders  Engineers Limited,,,,,,0,
General Insurance Corporation of India,,,,,,0,
Genus Power Infrastructures Limited,,,,,,0,
Gillette India Limited,,,,,,0,
GLAND PHARMA LIMITED,,,,,,0,
GlaxoSmithKline Pharmaceuticals Limited,,,,,,0,
Glenmark Pharmaceuticals Limited,,,,,,0,
GLOBAL HEALTH LIMITED,,,,,,0,
GODAWARI POWER AND ISPAT LIMITED,,,,,,0,
GODFREY PHILLIPS INDIA LIMITED,9.51045,23.5,acres,XBRL_TextExtraction,Tier_1,2,9.51 ha; 1.00 ha
GODREJ AGROVET LIMITED,,,,,,0,
Godrej Consumer Products Limited,,,,,,0,
Godrej Industries Limited,,,,,,0,
Godrej Properties Limited,6.014752575,14.86225,acres,XBRL_TextExtraction,Tier_1,1,6.01 ha
Go Digit General Insurance Limited,,,,,,0,
GRANULES INDIA LIMITED,,,,,,0,
GRAPHITE INDIA LIMITED,,,,,,0,
Grasim Industries Limited,,,,,,0,
Grindwell Norton Limited,,,,,,0,
Gujarat Ambuja Exports Limited,,,,,,0,
Gujarat Fluorochemicals Limited,,,,,,0,
GUJARAT GAS LIMITED,,,,,,0,
Gujarat Pipavav Port Limited,,,,,,0,
Gujarat State Petronet Limited,,,,,,0,
G R Infraprojects Limited,,,,,,0,
Happiest Minds Technologies Limited,,,,,,0,
Happy Forgings Limited,,,,,,0,
Havells India Limited,,,,,,0,
HCL Technologies Limited,,,,,,0,
HDFC Asset Management Company Limited,0.5481279360000001,59000.0,sq.ft,XBRL_TextExtraction,Tier_1,8,0.55 ha; 0.55 ha; 0.55 ha
HDFC Bank Limited,,,,,,0,
HDFC Life Insurance Company Limited,,,,,,0,
HEG Limited,,,,,,0,
HERO MOTOCORP LIMITED,,,,,,0,
HFCL Limited,1.02,10200.0,square meter,XBRL_TextExtraction,Tier_1,9,1.02 ha; 1.02 ha; 1.02 ha
Himadri Speciality Chemical Limited,,,,,,0,
HINDALCO INDUSTRIES LIMITED,,,,,,0,
HINDUSTAN AERONAUTICS LIMITED,,,,,,0,
HINDUSTAN COPPER LIMITED,,,,,,0,
Hindustan Petroleum Corporation Limited,,,,,,0,
Hindustan Unilever Limited,,,,,,0,
Hindustan Zinc Limited,6.25,6.25,hectares,XBRL_TextExtraction,Tier_1,2,6.25 ha; 6.00 ha
Hitachi Energy India Limited,,,,,,0,
Home First Finance Company India Limited,,,,,,0,
