Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method
Vardhman Textiles,Textiles,water_recycling_pct,36,%,https://www.vardhman.com/investors/,FY 2023-24,HIGH,1,web_search
Varun Beverages (PepsiCo franchise),FMCG,energy_consumption,1801368,GJ,https://www.varunbeverages.com/sustainability-report/,CY 2024,HIGH,1,web_search
Varun Beverages (PepsiCo franchise),FMCG,ghg_scope1,88224.2,tCO2e,https://www.varunbeverages.com/sustainability-report/,CY 2024,HIGH,1,web_search
Varun Beverages (PepsiCo franchise),FMCG,ghg_scope2,352883.17,tCO2e,https://www.varunbeverages.com/sustainability-report/,CY 2024,HIGH,1,web_search
Varun Beverages (PepsiCo franchise),FMCG,ghg_scope3,503.9294592,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
Varun Beverages (PepsiCo franchise),FMCG,waste_recycled_pct,100,%,https://www.varunbeverages.com/sustainability-report/,CY 2024,HIGH,1,web_search
Varun Beverages (PepsiCo franchise),FMCG,water_withdrawal,7275000,KL,https://www.varunbeverages.com/sustainability-report/,CY 2024,HIGH,1,web_search
Vedant Fashions Limited,Unknown,Air_Emissions_PM,4.0,UNKNOWN,"Vedant Fashions Limited_2026_CSR Annual Action Plan 2025-26.pdf, page 1",FY 2025-26,MEDIUM,Tier 1,PDF_Extraction
Vedant Fashions Limited,Unknown,ghg_scope3,7.701946717860631,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
Vedanta,Unknown,Air_Emissions_PM,550.0,UNKNOWN,"Vedanta_6_TNFD_Report_2025.pdf, page 20",FY 2025,HIGH,Tier 1,PDF_Extraction
Vedanta,Unknown,ghg_scope1,1.0,UNKNOWN,"Vedanta_6_TNFD_Report_2025.pdf, page 46",FY 2025,HIGH,Tier 1,PDF_Extraction
Vedanta,Unknown,hazardous_waste,2.2,UNKNOWN,"Vedanta_6_TNFD_Report_2025.pdf, page 52",FY 2025,HIGH,Tier 1,PDF_Extraction
Vedanta,Unknown,water_discharge,2.1,m3,"Vedanta_6_TNFD_Report_2025.pdf, page 52",FY 2025,HIGH,Tier 1,PDF_Extraction
Vedanta,Unknown,water_recycling_pct,33.0,%,"Vedanta_6_TNFD_Report_2025.pdf, page 46",FY 2025,HIGH,Tier 1,PDF_Extraction
Vedanta,Unknown,water_withdrawal,3.0,m3,"Vedanta_6_TNFD_Report_2025.pdf, page 52",FY 2025,HIGH,Tier 1,PDF_Extraction
Vedanta-Aluminium-TNFD-2025,Unknown,Air_Emissions_PM,2.5,UNKNOWN,"Vedanta-Aluminium-TNFD-2025.pdf, page 27",UNKNOWN_YEAR,MEDIUM,Tier 1,PDF_Extraction
Vedanta-Aluminium-TNFD-2025,Unknown,hazardous_waste,387958.61,mt,"Vedanta-Aluminium-TNFD-2025.pdf, page 35",UNKNOWN_YEAR,MEDIUM,Tier 1,PDF_Extraction
Vistara (TATA SIA Airlines),Aviation,energy_consumption,5000,tonnes fuel savings (est),https://www.sita.aero/pressroom/vistara-adopts-sita-solutions/,FY 2023-24,MEDIUM,1,web_search
Vistara (TATA SIA Airlines),Aviation,ghg_scope3,16.820924016666666,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
Welspun Corp Limited,Unknown,Air_Emissions_NOx,1.0,UNKNOWN,"Welspun Corp Limited_SustainabilityReport.pdf, page 94",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,Air_Emissions_PM,1.0,UNKNOWN,"Welspun Corp Limited_SustainabilityReport.pdf, page 31",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,Air_Emissions_SOx,1.0,UNKNOWN,"Welspun Corp Limited_SustainabilityReport.pdf, page 94",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,energy_consumption,1.0,kwh,"Welspun Corp Limited_SustainabilityReport.pdf, page 44",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,ghg_scope1,1.0,tCO2e,"Welspun Corp Limited_SustainabilityReport.pdf, page 43",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,ghg_scope2,1.0,tCO2e,"Welspun Corp Limited_SustainabilityReport.pdf, page 43",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,ghg_scope3,3.0,UNKNOWN,"Welspun Corp Limited_SustainabilityReport.pdf, page 92",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,waste_generated,23.0,mt,"Welspun Corp Limited_SustainabilityReport.pdf, page 52",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Corp Limited,Unknown,water_withdrawal,23.0,KL,"Welspun Corp Limited_SustainabilityReport.pdf, page 49",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Welspun Living Limited,Textiles,ghg_scope3,287.41514348516574,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
Welspun Living Limited,Textiles,renewable_energy_pct,30.54,%,https://www.welspunliving.com/sustainability/,FY 2024-25,HIGH,1,web_search
Welspun Living Limited,Textiles,waste_generated,30000,tonnes,https://www.welspunliving.com/sustainability/,FY 2024-25,HIGH,1,web_search
Welspun Living Limited,Textiles,waste_recycled_pct,99,%,https://www.welspunliving.com/sustainability/,FY 2024-25,HIGH,1,web_search
Welspun Living Limited,Textiles,water_recycling_pct,99,% (Waste recovery),https://www.welspunliving.com/sustainability/,FY 2024-25,HIGH,1,web_search
Welspun Living Limited (formerly Welspun India),Textiles,renewable_energy_pct,30.54,%,https://www.welspunliving.com/sustainability-report-2024-25/,FY 2023-24,HIGH,1,web_search
Welspun Living Limited (formerly Welspun India),Textiles,waste_generated,30000,tonnes,https://www.welspunliving.com/sustainability-report-2024-25/,FY 2023-24,HIGH,1,web_search
Welspun Living Limited (formerly Welspun India),Textiles,waste_recycled_pct,99,%,https://www.welspunliving.com/sustainability-report-2024-25/,FY 2023-24,HIGH,1,web_search
Welspun Living Limited (formerly Welspun India),Textiles,water_recycling_pct,99,%,https://www.welspunliving.com/sustainability-report-2024-25/,FY 2023-24,HIGH,1,web_search
Welspun Living Limited (formerly Welspun India),Textiles,water_withdrawal,2410000,KL (Recycled),https://www.welspunliving.com/sustainability-report-2024-25/,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills,Paper,energy_consumption,102683,GJ (Saved),https://www.westcoastpaper.com/brsr-2024/,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills,Paper,ghg_scope3,16.820924016666666,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
West Coast Paper Mills,Paper,land_footprint,3785,hectares,https://www.westcoastpaper.com/brsr-2024/,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills,Paper,renewable_energy_pct,97,% (Chemical recovery),https://www.westcoastpaper.com/brsr-2024/,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills,Paper,waste_recycled_pct,100,% (Fly ash reuse),https://www.westcoastpaper.com/brsr-2024/,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills,Paper,water_recycling_pct,20,%,https://www.westcoastpaper.com/brsr-2024/,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills,Paper,water_withdrawal,57,KL/tonne,https://www.westcoastpaper.com/brsr-2024/,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills Limited,Paper & Pulp,energy_consumption,102683,GJ (Saved),https://www.westcoastpaper.com/wp-content/uploads/BRSR-2024.pdf,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills Limited,Paper & Pulp,land_footprint,3785,hectares (Plantation area),https://www.westcoastpaper.com/wp-content/uploads/BRSR-2024.pdf,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills Limited,Paper & Pulp,renewable_energy_pct,97,% (Chemical recovery),https://www.westcoastpaper.com/wp-content/uploads/BRSR-2024.pdf,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills Limited,Paper & Pulp,waste_recycled_pct,100,% (Fly ash used in bricks),https://www.westcoastpaper.com/wp-content/uploads/BRSR-2024.pdf,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills Limited,Paper & Pulp,water_recycling_pct,20,%,https://www.westcoastpaper.com/wp-content/uploads/BRSR-2024.pdf,FY 2023-24,HIGH,1,web_search
West Coast Paper Mills Limited,Paper & Pulp,water_withdrawal,57,KL/tonne of paper,https://www.westcoastpaper.com/wp-content/uploads/BRSR-2024.pdf,FY 2023-24,HIGH,1,web_search
Wockhardt Limited,Unknown,Air_Emissions_PM,1.0,UNKNOWN,"Wockhardt Limited_2023_wockhardt esg presentation.pdf, page 4",UNKNOWN_YEAR,MEDIUM,Tier 1,PDF_Extraction
Wockhardt Limited,Unknown,ghg_scope3,7.790569614075522,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
Zydus Lifesciences Limited,Unknown,Air_Emissions_PM,1.0,UNKNOWN,"Zydus Lifesciences Limited_2025_CSR Projects – FY 2025-26.pdf, page 1",UNKNOWN_YEAR,MEDIUM,Tier 1,PDF_Extraction
Zydus Lifesciences Limited,Unknown,ghg_scope3,0.0001291194444444,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
hindalco-TNFD-2024-report,Unknown,Air_Emissions_PM,5.0,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 40",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,ghg_scope2,2050.0,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 53",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,land_footprint,17.0,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 12",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,renewable_energy_pct,300.0,mw,"hindalco-TNFD-2024-report.pdf, page 70",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,waste_generated,2.2,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 72",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,waste_recycled_pct,85.0,%,"hindalco-TNFD-2024-report.pdf, page 6",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,water_discharge,2.1,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 71",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,water_recycling_pct,2050.0,%,"hindalco-TNFD-2024-report.pdf, page 53",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,water_withdrawal,2018.0,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 5",FY 2023-24,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,Air_Emissions_PM,40.0,UNKNOWN,"itc-nature-report.pdf, page 47",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,ghg_scope1,50.0,UNKNOWN,"itc-nature-report.pdf, page 46",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,land_footprint,1.0,acres,"itc-nature-report.pdf, page 50",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,water_discharge,2.1,UNKNOWN,"itc-nature-report.pdf, page 50",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,water_withdrawal,3.0,UNKNOWN,"itc-nature-report.pdf, page 51",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
