Company_Name,NumberOfLocations,ContextRef
Eris Lifesciences Limited,1,D_Plant_National
ESAB India Limited,3,D_Plant_National
Escorts Kubota Limited,8,D_Plant_National
Eureka Forbes Limited,2,D_Plant_National
Exide Industries Limited,11,D_Plant_National
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,2,D_Plant_National
FINE ORGANIC INDUSTRIES LIMITED,7,D_Plant_National
Finolex Cables Limited,5,D_Plant_National
Finolex Industries Limited,4,D_Plant_National
Firstsource Solutions Limited,0,D_Plant_National
Five-Star Business Finance Limited,0,D_Plant_National
Force Motors Ltd,4,D_Plant_National
Fortis Healthcare Limited,0,D_Plant_National
GAIL India Limited,23,D_Plant_National
GALAXY SURFACTANTS LIMITED,5,D_Plant_National
Garden Reach Shipbuilders  Engineers Limited,7,D_Plant_National
General Insurance Corporation of India,0,D_Plant_National
Genus Power Infrastructures Limited,8,D_Plant_National
Gillette India Limited,2,D_Plant_National
GLAND PHARMA LIMITED,7,D_Plant_National
GlaxoSmithKline Pharmaceuticals Limited,1,D_Plant_National
Glenmark Pharmaceuticals Limited,8,D_Plant_National
GLOBAL HEALTH LIMITED,31,D_Plant_National
GODAWARI POWER AND ISPAT LIMITED,8,D_Plant_National
GODFREY PHILLIPS INDIA LIMITED,3,D_Plant_National
GODREJ AGROVET LIMITED,27,D_Plant_National
Godrej Consumer Products Limited,14,D_Plant_National
Godrej Industries Limited,2,D_Plant_National
Godrej Properties Limited,64,D_Plant_National
Go Digit General Insurance Limited,0,D_Plant_National
GRANULES INDIA LIMITED,12,D_Plant_National
GRAPHITE INDIA LIMITED,7,D_Plant_National
Grasim Industries Limited,27,D_Plant_National
Grindwell Norton Limited,7,D_Plant_National
Gujarat Ambuja Exports Limited,10,D_Plant_National
Gujarat Fluorochemicals Limited,3,D_Plant_National
GUJARAT GAS LIMITED,906,D_Plant_National
Gujarat Pipavav Port Limited,1,D_Plant_National
Gujarat State Petronet Limited,5,D_Plant_National
G R Infraprojects Limited,8,D_Plant_National
Happiest Minds Technologies Limited,0,D_Plant_National
Happy Forgings Limited,3,D_Plant_National
Havells India Limited,16,D_Plant_National
HCL Technologies Limited,0,D_Plant_National
HDFC Asset Management Company Limited,0,D_Plant_National
HDFC Bank Limited,0,D_Plant_National
HDFC Life Insurance Company Limited,0,D_Plant_National
HEG Limited,2,D_Plant_National
HERO MOTOCORP LIMITED,8,D_Plant_National
HFCL Limited,6,D_Plant_National
Himadri Speciality Chemical Limited,7,D_Plant_National
HINDALCO INDUSTRIES LIMITED,16,D_Plant_National
HINDUSTAN AERONAUTICS LIMITED,30,D_Plant_National
HINDUSTAN COPPER LIMITED,5,D_Plant_National
Hindustan Petroleum Corporation Limited,216,D_Plant_National
Hindustan Unilever Limited,27,D_Plant_National
Hindustan Zinc Limited,17,D_Plant_National
Hitachi Energy India Limited,8,D_Plant_National
Home First Finance Company India Limited,0,D_Plant_National
Honasa Consumer Limited,0,D_Plant_National
HONEYWELL AUTOMATION INDIA LIMITED,1,D_Plant_National
ICICI Bank Limited,0,D_Plant_National
ICICI Lombard General Insurance Company Limited,0,D_Plant_National
ICICI Prudential Life Insurance Company Limited,0,D_Plant_National
IDBI Bank Limited,0,D_Plant_National
IDFC FIRST Bank Limited,1001,D_Plant_National
IFCI Limited,0,D_Plant_National
IIFL Finance Limited,0,D_Plant_National
Indegene Limited,0,D_Plant_National
INDIAMART INTERMESH LIMITED,0,D_Plant_National
Indian Bank,5901,D_Plant_National
Indian Energy Exchange Limited,0,D_Plant_National
Indian Oil Corporation Limited,626,D_Plant_National
INDIAN OVERSEAS BANK,0,D_Plant_National
INDIAN RAILWAY FINANCE CORPORATION LIMITED,0,D_Plant_National
Indian Renewable Energy Development Agency Limited,1,D_Plant_National
IndusInd Bank Limited,3081,D_Plant_National
Indus Towers Limited,0,D_Plant_National
Infibeam Avenues Limited,0,D_Plant_National
Infosys Limited,0,D_Plant_National
INOX India Limited,4,D_Plant_National
Inox Wind Limited,4,D_Plant_National
INTELLECT DESIGN ARENA LIMITED,0,D_Plant_National
InterGlobe Aviation Limited,0,D_Plant_National
Ion Exchange India Limited,7,D_Plant_National
Ipca Laboratories Limited,17,D_Plant_National
IRB Infrastructure Developers Limited,45,D_Plant_National
Ircon International Limited,0,D_Plant_National
ISGEC Heavy Engineering Limited,7,D_Plant_National
ITC Limited,63,D_Plant_National
JAIPRAKASH POWER VENTURES LIMITED,4,D_Plant_National
JAI BALAJI INDUSTRIES LIMITED,4,D_Plant_National
JBM Auto Limited,28,D_Plant_National
Jindal Saw Limited,12,D_Plant_National
Jindal Stainless Limited,4,D_Plant_National
JINDAL STEEL  POWER LIMITED,12,D_Plant_National
Jio Financial Services Limited,0,D_Plant_National
JK CEMENT LIMITED,13,D_Plant_National
JK LAKSHMI CEMENT LIMITED,7,D_Plant_National
JK Tyre  Industries Limited,6,D_Plant_National
JM Financial Limited,0,D_Plant_National
JSW Energy Limited,61,D_Plant_National
JSW Infrastructure Limited,10,D_Plant_National
JSW Steel Limited,5,D_Plant_National
Jubilant FoodWorks Limited,8,D_Plant_National
JUBILANT INGREVIA LIMITED,5,D_Plant_National
Jubilant Pharmova Limited,2,D_Plant_National
Juniper Hotels Limited,8,D_Plant_National
Jupiter Life Line Hospitals Limited,4,D_Plant_National
Jupiter Wagons Limited,6,D_Plant_National
Just Dial Limited,0,D_Plant_National
JYOTHY LABS LIMITED,23,D_Plant_National
JYOTI CNC AUTOMATION LIMITED,2,D_Plant_National
Kajaria Ceramics Limited,11,D_Plant_National
Kalpataru Projects International Limited,237,D_Plant_National
Kalyan Jewellers India Limited,0,D_Plant_National
Kansai Nerolac Paints Limited,10,D_Plant_National
KARUR VYSYA BANK LIMITED,0,D_Plant_National
Kaynes Technology India Limited,15,D_Plant_National
KEC International Limited,5,D_Plant_National
KEI INDUSTRIES LIMITED,8,D_Plant_National
Keystone Realtors Limited,0,D_Plant_National
KFin Technologies Limited,0,D_Plant_National
KIOCL Limited,2,D_Plant_National
Kirloskar Brothers Limited,6,D_Plant_National
Kirloskar Oil Engines Limited,5,D_Plant_National
KNR Constructions Limited,0,D_Plant_National
KOTAK MAHINDRA BANK LIMITED,2149,D_Plant_National
KPIT Technologies Limited,0,D_Plant_National
