Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website,Source
Vinati Organics Ltd.,VINATIORGA,VINATIORGA,Chemicals & Fertilizers,17276.5703040285,6910.63,,Original
Navin Fluorine International Ltd.,NAVINFLUOR,NAVINFLUOR,Chemicals & Fertilizers,16376.796182397,6550.72,,Original
Himadri Speciality Chemical Ltd.,HSCL,HSCL,Chemicals & Fertilizers,16354.26207228,6541.7,,Original
BASF India Ltd.,BASF,BASF,Chemicals & Fertilizers,16035.4119488705,6414.16,,Original
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,CHAMBLFERT,Chemicals & Fertilizers,15827.214478971498,6330.89,,Original
Clean Science and Technology Ltd.,CLEAN,CLEAN,Chemicals & Fertilizers,14706.6505548965,5882.66,,Original
Fine Organic Industries Ltd.,FINEORG,FINEORG,Chemicals & Fertilizers,13612.4559057555,5444.98,,Original
Aether Industries Ltd.,AETHER,AETHER,Chemicals & Fertilizers,11201.614328688,4480.65,,Original
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,ALKYLAMINE,Chemicals & Fertilizers,10888.1271424045,4355.25,,Original
PCBL Chemical Ltd.,PCBL,PCBL,Chemicals & Fertilizers,10304.7341205295,4121.89,,Original
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,GNFC,Chemicals & Fertilizers,10148.2265753165,4059.29,,Original
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,GSFC,Chemicals & Fertilizers,9566.4452305185,3826.58,,Original
Anupam Rasayan India Ltd.,ANURAS,ANURAS,Chemicals & Fertilizers,9541.5771228885,3816.63,,Original
Rashtriya Chemicals & Fertilizers Ltd.,RCF,RCF,Chemicals & Fertilizers,8561.225028524499,3424.49,,Original
Archean Chemical Industries Ltd.,ACI,ACI,Chemicals & Fertilizers,8032.406702804,3212.96,,Original
Jubilant Ingrevia Ltd.,JUBLINGREA,JUBLINGREA,Chemicals & Fertilizers,7852.810650229,3141.12,,Original
Balaji Amines Ltd.,BALAMINES,BALAMINES,Chemicals & Fertilizers,7308.9310802845,2923.57,,Original
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,DEEPAKFERT,Chemicals & Fertilizers,7195.0881426005,2878.04,,Original
Laxmi Organic Industries Ltd.,LXCHEM,LXCHEM,Chemicals & Fertilizers,7025.766155986001,2810.31,,Original
Paradeep Phosphates Ltd.,PARADEEP,PARADEEP,Chemicals & Fertilizers,6027.798661798501,2411.12,,Original
Rain Industries Ltd,RAIN,RAIN,Chemicals & Fertilizers,5704.90277416,2281.96,,Original
Dhanuka Agritech Ltd.,DHANUKA,DHANUKA,Chemicals & Fertilizers,5662.8176688275,2265.13,,Original
Rallis India Ltd.,RALLIS,RALLIS,Chemicals & Fertilizers,5217.134149322001,2086.85,,Original
National Fertilizers Ltd.,NFL,NFL,Chemicals & Fertilizers,5156.174954566,2062.47,,Original
GHCL Ltd.,GHCL,GHCL,Chemicals & Fertilizers,4991.5457508035,1996.62,,Original
Epigral Ltd.,EPIGRAL,EPIGRAL,Chemicals & Fertilizers,4912.965656209,1965.19,,Original
Privi Speciality Chemicals Ltd.,PRIVISCL,PRIVISCL,Chemicals & Fertilizers,4578.917368027,1831.57,,Original
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,SUDARSCHEM,Chemicals & Fertilizers,4531.2009560975,1812.48,,Original
NEOGEN CHEMICALS LTD.,NEOGEN,NEOGEN,Chemicals & Fertilizers,3747.7980756035,1499.12,,Original
Sharda Cropchem Ltd.,SHARDACROP,SHARDACROP,Chemicals & Fertilizers,3501.924916714,1400.77,,Original
Styrenix Performance Materials Ltd.,STYRENIX,STYRENIX,Chemicals & Fertilizers,2846.6810407775,1138.67,,Original
Refex Industries Ltd.,REFEX,REFEX,Chemicals & Fertilizers,1561.0666571275,624.43,,Original
Bayer Cropscience Ltd.,506285,BAYERCROP,Chemicals & Fertilizers,0.0,0.0,,Original
Swan Corp Ltd.,503310,SWANCORP,Chemicals & Fertilizers,0.0,0.0,,Original
Page Industries Ltd.,PAGEIND,PAGEIND,Textiles & Apparel,40586.1232787305,16234.45,,Original
K.P.R. Mill Ltd.,KPRMILL,KPRMILL,Textiles & Apparel,27480.400232805,10992.16,,Original
Trident Ltd.,TRIDENT,TRIDENT,Textiles & Apparel,20731.647450326494,8292.66,,Original
Welspun Living Ltd.,WELSPUNLIV,WELSPUNLIV,Textiles & Apparel,14385.6999844565,5754.28,,Original
Alok Industries Ltd.,ALOKINDS,ALOKINDS,Textiles & Apparel,14151.788720393,5660.72,,Original
Vardhman Textiles Ltd.,VTL,VTL,Textiles & Apparel,12682.9698182195,5073.19,,Original
Arvind Ltd.,ARVIND,ARVIND,Textiles & Apparel,8208.386070596,3283.35,,Original
Garware Technical Fibres Ltd.,GARFIBRES,GARFIBRES,Textiles & Apparel,7062.959900509501,2825.18,,Original
Jindal Worldwide Ltd.,JINDWORLD,JINDWORLD,Textiles & Apparel,6768.113176049001,2707.25,,Original
Indo Count Industries Ltd.,ICIL,ICIL,Textiles & Apparel,6643.270644432,2657.31,,Original
Gokaldas Exports Ltd.,GOKEX,GOKEX,Textiles & Apparel,5391.6106072505,2156.64,,Original
Lux Industries Ltd.,LUXIND,LUXIND,Textiles & Apparel,3919.556303784,1567.82,,Original
Pearl Global Industries Ltd.,PGIL,PGIL,Textiles & Apparel,2695.9542674040003,1078.38,,Original
Ganesha Ecosphere Ltd.,GANECOS,GANECOS,Textiles & Apparel,2615.255402886,1046.1,,Original
Kitex Garments Ltd.,KITEX,KITEX,Textiles & Apparel,1453.7233536585,581.49,,Original
Raymond Lifestyle Ltd.,544240,RAYMONDLSL,Textiles & Apparel,0.0,0.0,,Original
NTPC Ltd.,NTPC,NTPC,Power Generation,332600.9008917805,133040.36,,Original
Adani Green Energy Ltd.,ADANIGREEN,ADANIGREEN,Power Generation,287301.301119451,114920.52,,Original
Power Grid Corporation of India Ltd.,POWERGRID,POWERGRID,Power Generation,265104.404097148,106041.76,,Original
Adani Power Ltd.,ADANIPOWER,ADANIPOWER,Power Generation,233359.540641503,93343.82,,Original
Tata Power Co. Ltd.,TATAPOWER,TATAPOWER,Power Generation,128992.80427176852,51597.12,,Original
Adani Energy Solutions Ltd.,ADANIENSOL,ADANIENSOL,Power Generation,118282.837548594,47313.14,,Original
JSW Energy Ltd.,JSWENERGY,JSWENERGY,Power Generation,93268.410586064,37307.36,,Original
NHPC Ltd.,NHPC,NHPC,Power Generation,91551.29527503248,36620.52,,Original
Torrent Power Ltd.,TORNTPOWER,TORNTPOWER,Power Generation,62106.4560709805,24842.58,,Original
SJVN Ltd.,SJVN,SJVN,Power Generation,49000.413431018,19600.17,,Original
NLC India Ltd.,NLCINDIA,NLCINDIA,Power Generation,32265.7278029295,12906.29,,Original
CESC Ltd.,CESC,CESC,Power Generation,18258.303672297,7303.32,,Original
Jaiprakash Power Ventures Ltd.,JPPOWER,JPPOWER,Power Generation,12493.599296134,4997.44,,Original
Reliance Power Ltd.,RPOWER,RPOWER,Power Generation,10537.018571491,4214.81,,Original
KPI Green Energy Ltd.,KPIGREEN,KPIGREEN,Power Generation,9548.0767050515,3819.23,,Original
Reliance Infrastructure Ltd.,RELINFRA,RELINFRA,Power Generation,8396.0816531695,3358.43,,Original
Nava Ltd.,NAVA,NAVA,Power Generation,7806.6043980225,3122.64,,Original
RattanIndia Power Ltd.,RTNPOWER,RTNPOWER,Power Generation,6272.259303006,2508.9,,Original
PTC India Ltd.,PTC,PTC,Power Generation,6141.641114607501,2456.66,,Original
Inox Green Energy Services Ltd.,INOXGREEN,INOXGREEN,Power Generation,3948.1768209755,1579.27,,Original
GMR Power and Urban Infra Ltd.,GMRP&UI,GMRP&UI,Power Generation,3565.4986066215,1426.2,,Original
ACME Solar Holdings Ltd.,544283,ACMESOLAR,Power Generation,0.0,0.0,,Original
NTPC Green Energy Ltd.,544289,NTPCGREEN,Power Generation,0.0,0.0,,Original
