Company_Name,Sector,Total_Points,Tier1_Points,Unique_Indicators,Tier1_Unique_Indicators,Tier1_Coverage_Pct
Cochin Shipyard Limited,Unknown,6,6,4,4,36.36363636363637
Damodar Valley Corporation (DVC),Power,4,4,4,4,36.36363636363637
Mrs. Bectors Food Specialities,FMCG,4,4,4,4,36.36363636363637
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,4,4,4,4,36.36363636363637
ARVIND LIMITED,,8,4,7,4,36.36363636363637
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,4,4,4,4,36.36363636363637
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,8,8,4,4,36.36363636363637
Punjab & Sind Bank,Banking,4,4,4,4,36.36363636363637
Hindustan Coca-Cola Beverages (Coca-Cola India),FMCG,4,4,4,4,36.36363636363637
Garden Reach Shipbuilders & Engineers Limited,Shipbuilding,4,4,4,4,36.36363636363637
Techno Electric & Engineering Company Limited,IT Services,4,4,4,4,36.36363636363637
Britannia Industries,FMCG,4,4,4,4,36.36363636363637
Castrol India Limited,Other Business Services,4,4,4,4,36.36363636363637
Mahindra & Mahindra Limited,Other Business Services,4,4,4,4,36.36363636363637
Mukand Limited,Steel & Iron,4,4,4,4,36.36363636363637
Ratnamani Metals & Tubes Limited,Steel & Iron,4,4,4,4,36.36363636363637
Inox Wind Limited,Unknown,4,4,4,4,36.36363636363637
UCO BANK,Financial Services,3,3,3,3,27.27272727272727
Amara Raja Energy & Mobility Limited,Power,3,3,3,3,27.27272727272727
Dr. Reddy's Laboratories Limited,Other Business Services,3,3,3,3,27.27272727272727
Dixon Technologies (India) Limited,IT Services,3,3,3,3,27.27272727272727
Air India,Aviation,3,3,3,3,27.27272727272727
Electrosteel Steels (ESL Steel Limited),Steel & Iron,3,3,3,3,27.27272727272727
Archean Chemical Industries Limited,Chemicals,3,3,3,3,27.27272727272727
HFCL Limited,Unknown,4,4,3,3,27.27272727272727
JK Lakshmi Cement,Cement,3,3,3,3,27.27272727272727
Amul (GCMMF),FMCG (Dairy),3,3,3,3,27.27272727272727
Birla Corporation,Unknown,4,4,3,3,27.27272727272727
Ion Exchange (India) Limited,Water Treatment,3,3,3,3,27.27272727272727
Birla Corporation Limited,Unknown,4,4,3,3,27.27272727272727
Hatsun Agro Products,FMCG,3,3,3,3,27.27272727272727
Akasa Air,Other Business Services,4,4,3,3,27.27272727272727
Angel One Limited,Financial Services,3,3,3,3,27.27272727272727
Sobha Limited,Unknown,3,3,3,3,27.27272727272727
Procter & Gamble Health Limited,Healthcare,3,3,3,3,27.27272727272727
Bhushan Steel (Tata Steel BSL),Steel & Iron,3,3,3,3,27.27272727272727
Kesoram Industries (Cement Division),Cement,2,2,2,2,18.181818181818183
Atul Limited,Unknown,2,2,2,2,18.181818181818183
Nuvoco Vistas Corp (Nirma Cement),Cement,2,2,2,2,18.181818181818183
Gujarat State Electricity Corporation,Power,2,2,2,2,18.181818181818183
Safari Industries (India) Limited,Other Business Services,2,2,2,2,18.181818181818183
Pfizer Limited,Unknown,2,2,2,2,18.181818181818183
Usha Martin,Unknown,2,2,2,2,18.181818181818183
Century Plyboards (India) Limited,Other Business Services,2,2,2,2,18.181818181818183
Vistara (TATA SIA Airlines),Other Business Services,3,3,2,2,18.181818181818183
Monnet Ispat (JSW Ispat Special Products Limited),Steel & Iron,2,2,2,2,18.181818181818183
Raymond Limited,Textiles,2,2,2,2,18.181818181818183
Airports Authority of India (AAI),Other Business Services,2,2,2,2,18.181818181818183
SpiceJet,Other Business Services,2,2,2,2,18.181818181818183
Siyaram Silk Mills,Textiles,2,2,2,2,18.181818181818183
Data Patterns (India) Limited,Defense & Aerospace,2,2,2,2,18.181818181818183
Century Pulp and Paper (Century Textiles),Paper,2,2,2,2,18.181818181818183
TNFD-Report-FY-2023-24-LTIMindtree,Unknown,2,2,2,2,18.181818181818183
Bajaj Holdings & Investment Limited,Financial Services,2,2,2,2,18.181818181818183
IIFL Finance Limited,Unknown,1,1,1,1,9.090909090909092
Uttam Galva Steels,Steel & Iron,1,1,1,1,9.090909090909092
Route Mobile Limited,Unknown,1,1,1,1,9.090909090909092
JINDAL STEEL & POWER LIMITED,Power/Steel,1,1,1,1,9.090909090909092
MOIL (Manganese Ore India),Mining,1,1,1,1,9.090909090909092
Eureka Forbes Limited,Unknown,1,1,1,1,9.090909090909092
S Kumars Nationwide,Textiles,2,2,1,1,9.090909090909092
PB FINTECH LIMITED,Unknown,1,1,1,1,9.090909090909092
Metro Brands Limited,Unknown,1,1,1,1,9.090909090909092
Engineers India Limited,Unknown,1,1,1,1,9.090909090909092
Zydus Lifesciences Limited,Unknown,1,1,1,1,9.090909090909092
Shreyans Industries (Paper),Paper,1,1,1,1,9.090909090909092
Bombay Dyeing,Textiles,1,1,1,1,9.090909090909092
NBCC (India) Limited,Other Business Services,1,1,1,1,9.090909090909092
Kwality,FMCG,1,1,1,1,9.090909090909092
Authum Investment & Infrastructure Limited,Financial Services,1,1,1,1,9.090909090909092
Tayo Rolls,Steel & Iron,1,1,1,1,9.090909090909092
Air Asia India,Other Business Services,1,1,1,1,9.090909090909092
Axis Bank Limited,Unknown,1,1,1,1,9.090909090909092
Chalet Hotels Limited,Unknown,1,1,1,1,9.090909090909092
Go First (GoAir),Other Business Services,1,1,1,1,9.090909090909092
Hindustan Paper Corporation,Paper,1,1,1,1,9.090909090909092
Infibeam Avenues Limited,Unknown,1,1,1,1,9.090909090909092
JYOTHY LABS LIMITED,Unknown,1,1,1,1,9.090909090909092
Kajaria Ceramics Limited,Unknown,1,1,1,1,9.090909090909092
MUTHOOT FINANCE LIMITED,Unknown,1,1,1,1,9.090909090909092
Cement Corporation of India,Cement,1,1,1,1,9.090909090909092
Burnpur Cement,Cement,1,1,1,1,9.090909090909092
Torrent Power,Power,1,1,1,1,9.090909090909092
Vedant Fashions Limited,Unknown,1,1,1,1,9.090909090909092
Visa Steel,Unknown,1,1,1,1,9.090909090909092
Wockhardt Limited,Unknown,1,1,1,1,9.090909090909092
Indus Towers Limited,Unknown,2,2,1,1,9.090909090909092
Odisha Mining Corporation,Unknown,1,0,1,0,0.0
