Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,PDF_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Jindal Stainless Ltd.,JSL,Mining & Minerals,56012.5207915725,https://nsearchives.nseindia.com/corporate/JSL_08082025221459_JSLBRSR08082025F.pdf,08-Aug-2025,True,data\brsr_reports\JSL_Jindal Stainless Ltd_BRSR.pdf,849.37890625
Lloyds Metals And Energy Ltd.,LLOYDSME,Mining & Minerals,32197.3514399055,https://nsearchives.nseindia.com/corporate/LLOYDSME_17062025145727_20250509_Intimation_of_BRSR.pdf,09-May-2025,True,data\brsr_reports\LLOYDSME_Lloyds Metals And Energy Ltd_BRSR.pdf,1597.583984375
Hindustan Copper Ltd.,HINDCOPPER,Mining & Minerals,30154.491717645004,https://nsearchives.nseindia.com/corporate/HINDCOPPERMKD_29082025155022_LettertoBSENSE_BRSR202425_29082025_.pdf,29-Aug-2025,True,data\brsr_reports\HINDCOPPER_Hindustan Copper Ltd_BRSR.pdf,1568.5908203125
Jai Balaji Industries Ltd.,JAIBALAJI,Mining & Minerals,15997.3796024815,https://nsearchives.nseindia.com/corporate/JAIBALAJI_25082025182859_BRSR2025signed.pdf,25-Aug-2025,True,data\brsr_reports\JAIBALAJI_Jai Balaji Industries Ltd_BRSR.pdf,331.259765625
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining & Minerals,13019.5569512195,https://nsearchives.nseindia.com/corporate/GMDCLTD_01092025181437_GMDC_AR_BRSR.pdf,01-Sep-2025,True,data\brsr_reports\GMDCLTD_Gujarat Mineral Development Co_BRSR.pdf,886.2783203125
MOIL Ltd.,MOIL,Mining & Minerals,7590.147635497,https://nsearchives.nseindia.com/corporate/MOIL_06092025131947_BRSR_PDF.pdf,06-Sep-2025,True,data\brsr_reports\MOIL_MOIL Ltd_BRSR.pdf,2356.0283203125
Gravita India Ltd.,GRAVITA,Mining & Minerals,6988.462064252,https://nsearchives.nseindia.com/corporate/GRAVITA_13082025182655_BRSR2025Final.pdf,13-Aug-2025,True,data\brsr_reports\GRAVITA_Gravita India Ltd_BRSR.pdf,617.9755859375
Indian Metals & Ferro Alloys Ltd.,IMFA,Mining & Minerals,3513.0033365345,https://nsearchives.nseindia.com/corporate/IMFA_07072025180748_IMFA_BRSR_2425.pdf,07-Jul-2025,True,data\brsr_reports\IMFA_Indian Metals  Ferro Alloys Lt_BRSR.pdf,304.9873046875
Lloyds Enterprises Ltd.,LLOYDSENT,Mining & Minerals,0.0,https://nsearchives.nseindia.com/corporate/SGTL2008_05082025170008_IntimationBRSR.pdf,05-Aug-2025,True,data\brsr_reports\LLOYDSENT_Lloyds Enterprises Ltd_BRSR.pdf,529.2568359375
Pidilite Industries Ltd.,PIDILITIND,Chemicals & Fertilizers,146204.9756783405,https://nsearchives.nseindia.com/corporate/Nisha_11072025162512_BRSR2024-2025.pdf,11-Jul-2025,False,,0.0
Solar Industries India Ltd.,SOLARINDS,Chemicals & Fertilizers,73755.542429169,https://nsearchives.nseindia.com/corporate/SOLARINDS_27062025215740_SignedBRSR2025.pdf,27-Jun-2025,True,data\brsr_reports\SOLARINDS_Solar Industries India Ltd_BRSR.pdf,2858.662109375
SRF Ltd.,SRF,Chemicals & Fertilizers,71289.831696779,https://nsearchives.nseindia.com/corporate/ekta_maheshwari_18062025092419_CombinedBRSRF.pdf,18-Jun-2025,True,data\brsr_reports\SRF_SRF Ltd_BRSR.pdf,960.22265625
Linde India Ltd.,LINDEINDIA,Chemicals & Fertilizers,59459.198419865,https://nsearchives.nseindia.com/corporate/LINDEINDIA1_12082025174254_Linde_India_BRSR_FY_2024-25.pdf,12-Aug-2025,True,data\brsr_reports\LINDEINDIA_Linde India Ltd_BRSR.pdf,729.0791015625
PI Industries Ltd.,PIIND,Chemicals & Fertilizers,54823.477577136495,https://nsearchives.nseindia.com/corporate/PIIND_21072025195914_BRSR_2025_signed.pdf,21-Jul-2025,False,,0.0
UPL Ltd.,UPL,Chemicals & Fertilizers,38700.190577629,https://nsearchives.nseindia.com/corporate/UPL_03072025175450_BRSRintimation.pdf,03-Jul-2025,True,data\brsr_reports\UPL_UPL Ltd_BRSR.pdf,738.1416015625
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals & Fertilizers,37426.891031504,https://nsearchives.nseindia.com/corporate/FLUOROCHEM_04092025184026_BRSR.pdf,04-Sep-2025,True,data\brsr_reports\FLUOROCHEM_Gujarat Fluorochemicals Ltd_BRSR.pdf,761.3916015625
Coromandel International Ltd.,COROMANDEL,Chemicals & Fertilizers,35301.956243875,https://nsearchives.nseindia.com/corporate/COROMANDELINT_02072025223937_CIL_letter_SD.pdf,02-Jul-2025,False,,0.0
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals & Fertilizers,31631.0404687745,https://nsearchives.nseindia.com/corporate/DEEPAKNTR_23072025215148_Deepak_Nitrite_IR_2024-25_BRSR.pdf,23-Jul-2025,True,data\brsr_reports\DEEPAKNTR_Deepak Nitrite Ltd_BRSR.pdf,352.6826171875
Tata Chemicals Ltd.,TATACHEM,Chemicals & Fertilizers,27257.52139647,https://nsearchives.nseindia.com/corporate/TATACHEMYS_24062025123338_Tata_Chemicals_BRSRfinal.pdf,24-Jun-2025,True,data\brsr_reports\TATACHEM_Tata Chemicals Ltd_BRSR.pdf,525.8798828125
Aarti Industries Ltd.,AARTIIND,Chemicals & Fertilizers,24148.151656029,https://nsearchives.nseindia.com/corporate/AARTIIND_31072025224645_AARTIIND_BRSR.pdf,31-Jul-2025,True,data\brsr_reports\AARTIIND_Aarti Industries Ltd_BRSR.pdf,1154.1611328125
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals & Fertilizers,20250.540754667494,https://nsearchives.nseindia.com/corporate/SUMICHEM_08072025170341_BRSR.pdf,08-Jul-2025,False,,0.0
Atul Ltd.,ATUL,Chemicals & Fertilizers,18213.308218279,https://nsearchives.nseindia.com/corporate/ATUL1_12072025113135_Atul_Ltd_IAR_2024-25_BRSR.pdf,12-Jul-2025,True,data\brsr_reports\ATUL_Atul Ltd_BRSR.pdf,742.158203125
Vinati Organics Ltd.,VINATIORGA,Chemicals & Fertilizers,17276.5703040285,https://nsearchives.nseindia.com/corporate/VINATIORGA_02092025113349_BRSR_VOL_2024-2025_02092025.pdf,02-Sep-2025,True,data\brsr_reports\VINATIORGA_Vinati Organics Ltd_BRSR.pdf,2018.9326171875
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals & Fertilizers,16376.796182397,https://nsearchives.nseindia.com/corporate/NAVINFLUOR_09072025230806_NFIL-IntimationBRSR-2025__2_.pdf,09-Jul-2025,False,,0.0
Himadri Speciality Chemical Ltd.,HSCL,Chemicals & Fertilizers,16354.26207228,https://nsearchives.nseindia.com/corporate/HSCL_20052025173733_BRSRFY202425.pdf,20-May-2025,True,data\brsr_reports\HSCL_Himadri Speciality Chemical Lt_BRSR.pdf,5962.1064453125
BASF India Ltd.,BASF,Chemicals & Fertilizers,16035.4119488705,https://nsearchives.nseindia.com/corporate/BASFIL_14072025135813_BRSRsigned.pdf,14-Jul-2025,True,data\brsr_reports\BASF_BASF India Ltd_BRSR.pdf,2865.427734375
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals & Fertilizers,15827.214478971498,https://nsearchives.nseindia.com/corporate/JOYLINJ_02082025122637_Intimation_of_BRSR_FY25.pdf,02-Aug-2025,True,data\brsr_reports\CHAMBLFERT_Chambal Fertilizers  Chemicals_BRSR.pdf,608.6328125
Clean Science and Technology Ltd.,CLEAN,Chemicals & Fertilizers,14706.6505548965,https://nsearchives.nseindia.com/corporate/CLEAN_12082025180749_CSTL_BRSR_FY_2024_25.pdf,12-Aug-2025,True,data\brsr_reports\CLEAN_Clean Science and Technology L_BRSR.pdf,535.6435546875
Fine Organic Industries Ltd.,FINEORG,Chemicals & Fertilizers,13612.4559057555,https://nsearchives.nseindia.com/corporate/FINEORG_25072025201011_IntimationofBRSR.pdf,25-Jul-2025,True,data\brsr_reports\FINEORG_Fine Organic Industries Ltd_BRSR.pdf,541.2919921875
Aether Industries Ltd.,AETHER,Chemicals & Fertilizers,11201.614328688,https://nsearchives.nseindia.com/corporate/AETHER_21082025184116_34.pdf,21-Aug-2025,True,data\brsr_reports\AETHER_Aether Industries Ltd_BRSR.pdf,463.607421875
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals & Fertilizers,10888.1271424045,https://nsearchives.nseindia.com/corporate/ALKYLAMINE_18062025171559_BRSR_-_SE.pdf,18-Jun-2025,False,,0.0
PCBL Chemical Ltd.,PCBL,Chemicals & Fertilizers,10304.7341205295,https://nsearchives.nseindia.com/corporate/PCBL_08082025201002_IR202425.pdf,08-Aug-2025,True,data\brsr_reports\PCBL_PCBL Chemical Ltd_BRSR.pdf,21948.6533203125
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,Chemicals & Fertilizers,10148.2265753165,https://nsearchives.nseindia.com/corporate/rajeshpillai8741_13082025164339_F_SE_BRSR_24-25_Singed.pdf,13-Aug-2025,True,data\brsr_reports\GNFC_Gujarat Narmada Valley Fertili_BRSR.pdf,773.53515625
