Company_Name,Sector,Sector_Original,Revenue_Cr
Brigade Enterprises Limited,Cement,Chemicals & Fertilizers,5074.207710948835
Britannia Industries Limited,Pharmaceuticals,Chemicals & Fertilizers,17295.866037299525
CCL Products India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1717.9971000960393
CE INFO SYSTEMS LIMITED,Information Technology,Chemicals & Fertilizers,0.0038386999998908
CEAT Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,13171.669285723718
CERA Sanitaryware Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0191525120003619
CESC Limited,Power Generation,Chemicals & Fertilizers,9583.999406498822
CG Power and Industrial Solutions Limited,Power Generation,Power Generation,9328.76195862199
CHENNAI PETROLEUM CORPORATION LIMITED,Oil & Gas,Oil & Gas,0.0071049909998973
CITY UNION BANK LIMITED,Financial Services,Financial Services,6732.232042648709
COAL INDIA LIMITED,Steel & Iron,Chemicals & Fertilizers,14336.893989228613
COROMANDEL INTERNATIONAL LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,24063.96343549885
Campus Activewear Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1592.938299183485
Can Fin Homes Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3986.666666666667
Canara Bank,Financial Services,Financial Services,142214.23726559384
Caplin Point Laboratories Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1921.2272050166173
Capri Global Capital Limited,Financial Services,Chemicals & Fertilizers,2410.1510824504835
Carborundum Universal Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2786.2745098039213
Cello World Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1112.734375
Century Plyboards India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0406790970000061
Chalet Hotels Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.001717824999996
Chemplast Sanmar Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2408.7398055336025
Cholamandalam Financial Holdings Limited,Financial Services,Financial Services,33456.89655172414
Cholamandalam Investment and Finance Company Limited,Financial Services,Chemicals & Fertilizers,26051.85078079815
Cipla Limited,Pharmaceuticals,Chemicals & Fertilizers,27547.60979401477
Clean Science and Technology Limited,Information Technology,Information Technology,922.3146191187452
Cochin Shipyard Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4527.850814446703
Coforge Limited,Information Technology,Chemicals & Fertilizers,5556.727186236422
Computer Age Management Services Limited,Information Technology,Chemicals & Fertilizers,1422.4932963476651
Concord Biotech Limited,Pharmaceuticals,Information Technology,1200.0874441278045
Container Corporation of India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,8863.360711714871
Craftsman Automation Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0384794359991981
CreditAccess Grameen Limited,Financial Services,Cement,5755.92504177608
Crompton Greaves Consumer Electricals Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,7028.938636817909
Cummins India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,10166.1519769149
Cyient Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2413.619421778986
Cyient Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2413.619421778986
Cyient Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2413.619421778986
Cyient Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2413.619421778986
DCM Shriram Limited,Financial Services,Chemicals & Fertilizers,12368.80644373932
DIVIS LABORATORIES LIMITED,Pharmaceuticals,Chemicals & Fertilizers,9198.08368892662
DLF Limited,Cement,Chemicals & Fertilizers,7993.685441941074
DOMS Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0170910000002113
Dabur India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,9070.730265551108
Dalmia Bharat Limited,Cement,Chemicals & Fertilizers,13978.956999085089
Data Patterns India Limited,Information Technology,Chemicals & Fertilizers,708.3478260869564
Deepak Nitrite Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2526.472289615035
Delhivery Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,8931.904135787712
Devyani International Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0033493329999967
Dixon Technologies India Limited,Information Technology,Information Technology,5418.125
Dr Reddys Laboratories Limited,Pharmaceuticals,Chemicals & Fertilizers,0.0326439000000683
EICHER MOTORS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0018451460000007
EIH Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0002743149999999
ESAB India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0137347000000253
Easy Trip Planners Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,403.2814045499505
Electronics Mart India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,6964.742416452442
Elgi Equipments Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2080.906982736408
Emami Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3123.513034674766
Endurance Technologies Limited,Information Technology,Information Technology,8846.154628118917
Engineers India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3028.352547070541
Equitas Small Finance Bank Limited,Financial Services,Financial Services,63.120003974950805
Eris Lifesciences Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1663.601981633639
Escorts Kubota Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,11030.78947368421
Eureka Forbes Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0024360620007069
Exide Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,16588.117086356524
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,4050.908927764959
FINE ORGANIC INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,2205.192652662433
Finolex Cables Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5318.910611431104
Finolex Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4141.968617340705
