Company_Name,Sector,Sector_Original,Revenue_Cr
POLY MEDICURE LIMITED,Pharmaceuticals,Chemicals & Fertilizers,1601.8041310541312
PTC Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,241.18572650773805
PUNJAB NATIONAL BANK,Financial Services,Financial Services,138071.280361284
PVR INOX LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,5442.45499341367
Page Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,49350.03631411712
Persistent Systems Limited,Information Technology,Chemicals & Fertilizers,0.0119387169988812
Petronet LNG Limited,Oil & Gas,Chemicals & Fertilizers,50979.6680869683
Pfizer Limited,Pharmaceuticals,Chemicals & Fertilizers,2281.36180034622
Pidilite Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,12072.666764189584
Piramal Enterprises Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0010269560000037
Piramal Pharma Limited,Pharmaceuticals,Pharmaceuticals,5285.707423844545
Polycab India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0021913000000015
Poonawalla Fincorp Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0004222839999998
Power Finance Corporation Limited,Financial Services,Power Generation,53087.11711711712
Power Grid Corporation of India Limited,Power Generation,Power Generation,0.0045792320000043
Power Mech Projects Limited,Chemicals & Fertilizers,Power Generation,4435.42312377932
Praj Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3227.94846382557
Prestige Estates Projects Limited,Cement,Chemicals & Fertilizers,7349.4142492995425
Prism Johnson Limited,Cement,Chemicals & Fertilizers,6725.689469258392
Procter  Gamble Health Limited,Pharmaceuticals,Chemicals & Fertilizers,934.170692431562
Punjab  Sind Bank,Financial Services,Financial Services,13048.714518298297
Quess Corp Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,13791.989100817438
R R Kabel Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0007601579999997
RATTANINDIA ENTERPRISES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,6.866345640413548
RBL Bank Limited,Financial Services,Financial Services,10269.8105081826
REC Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,56317.15210355988
RELIANCE POWER LIMITED,Power Generation,Oil & Gas,7582.889996797752
RHI Magnesita India Ltd,Chemicals & Fertilizers,Chemicals & Fertilizers,2891.855415371944
RITES Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0002095309999998
Radico Khaitan Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,17098.513154113014
Rail Vikas Nigam Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,19855.40268456376
Railtel Corporation of India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3477.4912989783315
Ramkrishna Forgings Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3634.295999120686
RateGain Travel Technologies Limited,Information Technology,Information Technology,210.40672859653523
Ratnamani Metals  Tubes Limited,Steel & Iron,Chemicals & Fertilizers,4883.195876288661
Raymond Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0181464609931938
Redington Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,99228.16901408452
Redtape Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2063.744091855428
Relaxo Footwears Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2776.14257017616
Reliance Industries Limited,Oil & Gas,Oil & Gas,557162.5521282195
Reliance Infrastructure Limited,Cement,Oil & Gas,30424.824239810223
Responsive Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0055573889999998
Route Mobile Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,832.0733944954128
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,113661.9302728097
SAPPHIRE FOODS INDIA LIMITED,Pharmaceuticals,Chemicals & Fertilizers,2446.774193548387
SARDA ENERGY  MINERALS LIMITED,Steel & Iron,Power Generation,3484.170092882273
SAREGAMA India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1009.2127865907296
SBFC Finance Limited,Financial Services,Chemicals & Fertilizers,1305.0690318801771
SBI Cards and Payment Services Limited,Financial Services,Chemicals & Fertilizers,18650.491803278688
SBI Life Insurance Company Limited,Financial Services,Chemicals & Fertilizers,84942.50252270435
SHIPPING CORPORATION OF INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,0.05592329999997
SJVN Limited,Power Generation,Chemicals & Fertilizers,2897.297270715515
SKF INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,4919.904024030624
SRF LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,11695.340501792116
STATE BANK OF INDIA,Financial Services,Financial Services,481351.9763070965
SUMITOMO CHEMICAL INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,3060.8265521315243
SUNDARAM FINANCE LIMITED,Financial Services,Chemicals & Fertilizers,6520.260270863282
SUPREME PETROCHEM LIMITED,Oil & Gas,Chemicals & Fertilizers,6001.634354430001
SUZLON ENERGY LIMITED,Chemicals & Fertilizers,Power Generation,10806.856015779093
Safari Industries India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1771.5679015497742
Sandur Manganese  Iron Ores Limited,Steel & Iron,Chemicals & Fertilizers,1938.537976428868
Schneider Electric Infrastructure Limited,Cement,Chemicals & Fertilizers,2636.6369780809805
Sheela Foam Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0002587509999992
Shoppers Stop Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4435.585006512289
Shree Renuka Sugars Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,10279.398527332653
Shriram Finance Limited,Financial Services,Chemicals & Fertilizers,41863.29918032786
Shyam Metalics and Energy Limited,Steel & Iron,Power Generation,15137.488700043405
Signatureglobal India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2498.01546589082
Sobha Limited,Cement,Chemicals & Fertilizers,4202.513527609362
Solar Industries India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.00044566
Sona BLW Precision Forgings Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0035460209999936
Sonata Software Limited,Information Technology,Information Technology,10157.24743653327
Star Cement Limited,Cement,Cement,3173.8009283135634
Star Health and Allied Insurance Company Limited,Pharmaceuticals,Chemicals & Fertilizers,16781.319043693322
Steel Authority of India Limited,Steel & Iron,Steel & Iron,98.56972367018042
Sterling and Wilson Renewable Energy Limited,Chemicals & Fertilizers,Power Generation,6301.974404876073
Sun Pharma Advanced Research Company Limited,Pharmaceuticals,Pharmaceuticals,71.76597637901307
Sun Pharmaceutical Industries Limited,Pharmaceuticals,Pharmaceuticals,23003.37447094656
Sun TV Network Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3878.7021484375
Sundram Fasteners Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5209.736594891671
Supreme Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,10446.267746091524
Syngene International Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3642.403119940663
Syrma SGS Technology Limited,Information Technology,Information Technology,2277.749981555505
TATA CHEMICALS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,14886.9999537262
TATA COMMUNICATIONS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0013046212866417
TBO Tek Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,575.942267073457
TEGA INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,892.6470588235294
THE NEW INDIA ASSURANCE COMPANY LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,43619.85920711376
THE PHOENIX MILLS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,486.120420617409
TITAGARH RAIL SYSTEMS LIMITED,Information Technology,Chemicals & Fertilizers,0.000386582
TRIDENT LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,6965.889977267415
TTK PRESTIGE LIMITED,Cement,Chemicals & Fertilizers,0.0002530319999998
TVS Motor Company Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0036251325954419
TVS Supply Chain Solutions Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1870.625
Tamilnad Mercantile Bank Limited,Financial Services,Financial Services,6141.865702694268
Tanla Platforms Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4028.6090686274506
Tata Consultancy Services Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,255323.986535328
Tata Consumer Products Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,17618.27490618341
Tata Elxsi Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0003729039999987
Tata Investment Corporation Limited,Financial Services,Chemicals & Fertilizers,808.4
Tata Motors Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,68023.02656618711
Tata Steel Limited,Steel & Iron,Steel & Iron,132516.66421586153
Tata Technologies Limited,Information Technology,Information Technology,5168.514478381595
Tata Teleservices Maharashtra Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1308.0316536292523
Tech Mahindra Limited,Information Technology,Information Technology,52987.4324987727
Techno Electric  Engineering Company Limited,Information Technology,Information Technology,0.0002402000000004
Tejas Networks Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.000891573
The Ramco Cements Limited,Cement,Cement,8495.67519858782
Thermax Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,6254.140026658834
Thomas Cook  India  Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2073.705396508184
Timken India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3147.814896535273
Titan Company Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,54846.649781257205
Torrent Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,9682.420076233282
Torrent Power Limited,Power Generation,Power Generation,29165.26983472974
Triveni Engineering  Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,6655.39905759552
Triveni Turbine Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1792.867394457592
Tube Investments of India Limited,Financial Services,Chemicals & Fertilizers,7431.411310808297
UNION BANK OF INDIA,Financial Services,Financial Services,127543.17620650955
UNITED BREWERIES LIMITED,Pharmaceuticals,Chemicals & Fertilizers,19469.04761904762
UPL LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,11462.9157128527
UTI Asset Management Company Limited,Financial Services,Chemicals & Fertilizers,1449.2334352701323
Ujjivan Small Finance Bank Limited,Financial Services,Financial Services,7200.494489417732
UltraTech Cement Limited,Cement,Cement,0.00759551300003
United Spirits Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,26780.207529371408
Uno Minda Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,12455.656102722562
Usha Martin Limited,Steel & Iron,Chemicals & Fertilizers,2171.062205256991
V-GUARD INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,5308.778689664765
VALOR ESTATE LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,1133.077999373499
VIP INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,2169.62574579642
Varroc Engineering Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,7365.828537277289
Vedant Fashions Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1386.3504092149135
Vedanta Limited,Steel & Iron,Chemicals & Fertilizers,152967.98381651443
Vinati Organics Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2248.099502691924
Vodafone Idea Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,43157.13082786741
Voltamp Transformers Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1934.181818181818
Voltas Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,11295.802516569014
Waaree Renewable Technologies Limited,Information Technology,Information Technology,1597.514582804971
Welspun Corp Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,8835.189952922843
Welspun Living Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,8622.454304554973
Whirlpool of India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,7420.689961767583
Wipro Limited,Information Technology,Chemicals & Fertilizers,89088.39515174735
Wockhardt Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1402.302530533594
YES Bank Limited,Financial Services,Financial Services,36754.65645933015
ZENSAR TECHNOLOGIES LIMITED,Information Technology,Information Technology,5280.222055888224
ZF Commercial Vehicle Control Systems India Limited,Information Technology,Chemicals & Fertilizers,3804.09205327246
Zee Entertainment Enterprises Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,11533.389859250465
Zen Technologies Limited,Information Technology,Information Technology,930.5682096497673
Zydus Lifesciences Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0232414999999991
Zydus Wellness Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2708.898496378212
eClerx Services Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2484.3628045993983
Kalyani Steels,Steel & Iron,Steel & Iron,456.0
Sunflag Iron and Steel,Steel & Iron,Steel & Iron,3446.0
Electrosteel Castings,Steel & Iron,Steel & Iron,6433.74
Essar Steel India (AM/NS India),Steel & Iron,Steel & Iron,62700.0
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,Steel & Iron,1822.0
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,Steel & Iron,23328.0
Mrs. Bectors Food Specialities,Pharmaceuticals,Information Technology,1962.57
Bikaji Foods,Pharmaceuticals,Pharmaceuticals,2810.79
Varun Beverages (PepsiCo franchise),Pharmaceuticals,Pharmaceuticals,16042.0
Heritage Foods,Pharmaceuticals,Information Technology,4331.67
Vardhman Textiles,Chemicals & Fertilizers,Chemicals & Fertilizers,9839.63
Himadri Speciality Chemical Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4595.803474847
SARDA ENERGY & MINERALS LIMITED,Steel & Iron,Power Generation,3889.0
Tata Power,Power Generation,Power Generation,15545.0
JSW Energy,Power Generation,Power Generation,15949.06
Prism Johnson (Cement),Cement,Cement,7654.0
Mangalam Cement,Cement,Cement,1787.89
Sanghi Industries,Chemicals & Fertilizers,Chemicals & Fertilizers,285.0
LT Technology Services Limited,Information Technology,Information Technology,10670.1063134
Larsen & Toubro Limited,Chemicals & Fertilizers,Information Technology,275513.5
LTIMindtree Limited,Information Technology,Information Technology,38008.1009632
APL Apollo Tubes,Steel & Iron,Chemicals & Fertilizers,21325.99
IndiGo (InterGlobe Aviation),Information Technology,Cement,68904.0
"GMR Airports (Delhi, Hyderabad)",Cement,Cement,8959.0
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Cement,Cement,8062.0
GVK Mumbai Airport,Cement,Cement,4964.0
Bangalore International Airport Ltd (BIAL),Cement,Cement,3833.0
Sanofi India Limited,Pharmaceuticals,Information Technology,19996.1
DIVI'S LABORATORIES LIMITED,Pharmaceuticals,Information Technology,2715.0
JK Tyre & Industries Limited,Chemicals & Fertilizers,Information Technology,15312.53
Schaeffler India Limited,Chemicals & Fertilizers,Information Technology,8076.29
Jindal Saw Limited,Steel & Iron,Information Technology,17961.9683798
Narayana Hrudayalaya Ltd.,Chemicals & Fertilizers,Pharmaceuticals,5961.09
Minda Corporation Limited,Chemicals & Fertilizers,Information Technology,4144.3
West Coast Paper Mills Limited,Chemicals & Fertilizers,Information Technology,4062.12
Bharat Heavy Electricals Limited (BHEL),Chemicals & Fertilizers,Power Generation,29269.17
Emami Paper Mills Limited,Chemicals & Fertilizers,Information Technology,1839.63
Seshasayee Paper and Boards Limited,Chemicals & Fertilizers,Information Technology,1665.4
Mahindra Holidays & Resorts India Limited,Chemicals & Fertilizers,Information Technology,2876.0
Punjab & Sind Bank,Financial Services,Financial Services,10883.0
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Chemicals & Fertilizers,Information Technology,362.0
Damodar Valley Corporation (DVC),Power Generation,Chemicals & Fertilizers,21200.0
West Coast Paper Mills,Chemicals & Fertilizers,Chemicals & Fertilizers,4062.12
Welspun Living Limited (formerly Welspun India),Chemicals & Fertilizers,Information Technology,9836.99
CCL Products (India) Limited,Chemicals & Fertilizers,Information Technology,3784.99
ITC Limited (Paperboards Division),Pharmaceuticals,Information Technology,78551.59
Nestle India,Pharmaceuticals,Chemicals & Fertilizers,20970.46
JK Paper,Chemicals & Fertilizers,Chemicals & Fertilizers,6661.19
K.P.R. MILL LIMITED,Chemicals & Fertilizers,Information Technology,1632.0
Mother Dairy,Pharmaceuticals,Pharmaceuticals,15037.0
Haldiram Snacks Food Private Limited,Pharmaceuticals,Information Technology,10500.0
Cochin International Airport (CIAL),Cement,Cement,951.0
L&T Finance Limited,Financial Services,Information Technology,7988.13
IndiaMART InterMESH Limited,Chemicals & Fertilizers,Information Technology,1472.23
GAIL (India) Limited,Oil & Gas,Information Technology,144124.63
Sagar Cements,Cement,Cement,2494.44
Siemens Limited,Chemicals & Fertilizers,Information Technology,20496.6
Hindustan,Chemicals & Fertilizers,Chemicals & Fertilizers,346.64
Tata,Chemicals & Fertilizers,Chemicals & Fertilizers,23848.02
Tech,Information Technology,Information Technology,13995.0
Vedanta,Steel & Iron,Chemicals & Fertilizers,39868.0
