Company_Name,NOx Emissions,Particulate Matter Emissions,Plastic Waste Generated,SOx Emissions,Water Recycling %
SJVN Limited,163.3,852.4,1.4,99.7,1.06875e-05
SKF INDIA LIMITED,0.48,7.03,84.9,0.1,4.2513e-06
SRF LIMITED,653.8,220.27,4315.0,883.34,4.32186e-05
STATE BANK OF INDIA,,,683.42,,3.257e-07
SUMITOMO CHEMICAL INDIA LIMITED,11.0,45.0,3107.0,17.2,1.61243e-05
SUNDARAM FINANCE LIMITED,160.84,10.72,0.0,53.61,1.37e-06
SUPREME PETROCHEM LIMITED,3.85,39.18,23.18,3.73,9.4257e-06
SUZLON ENERGY LIMITED,22.38,4.02,1637.0,1.15,1.9006e-06
Safari Industries India Limited,,,369.48,,1.4531e-06
Sandur Manganese  Iron Ores Limited,54895.81,83976.16,0.0,50905.71,2.23076e-05
Sanofi India Limited,1.28,14.9,15.45,5.89,5.6015e-06
Schaeffler India Limited,6.4,12.2,316.5,0.5,2.6524e-06
Schneider Electric Infrastructure Limited,37.39,41.42,36.0,22.39,2.4041e-06
Sheela Foam Limited,1591.5,691.0,206.256,555.2,22.1346429579
Shoppers Stop Limited,0.26,0.0,8.12,1.57,4.5112e-06
Shree Renuka Sugars Limited,256277.23,681140.04,670.34,254575.59,2.48798e-05
Shriram Finance Limited,0.0,0.0,0.42,0.0,2.679e-06
Shyam Metalics and Energy Limited,17.0,39.0,2.13,3.3,4.73986e-05
Siemens Limited,4.28,16.74,402.0,2.83,1.3774e-06
Signatureglobal India Limited,38.19,261.85,2.5,11.95,4.9492e-06
Sobha Limited,80.0,100.0,215.45,80.0,2.97284e-05
Solar Industries India Limited,11.86,7.05,579.16,11.36,113.7270565005
Sona BLW Precision Forgings Limited,69.0,13.0,97.13,3.0,4.1917405452
Sonata Software Limited,0.0,0.0,0.4,0.0,7.17e-08
Star Cement Limited,998.0,385.0,2261.13,1560.0,3.98787e-05
Star Health and Allied Insurance Company Limited,,,0.0,,1.0198e-06
Steel Authority of India Limited,0.8,0.56,0.97,0.95,0.0890416286
Sterling and Wilson Renewable Energy Limited,18.96,87.51,0.0,11.67,1.965e-06
Sun Pharma Advanced Research Company Limited,106.0,42.0,0.0,131.0,4.96962e-05
Sun Pharmaceutical Industries Limited,129.0,198.0,1111.94,96.0,7.3379e-06
Sun TV Network Limited,,,2.93,,6.708e-07
Sundram Fasteners Limited,44.13,73.91,178.68,25.69,1.20506e-05
Supreme Industries Limited,47.0,3.54,8026.81,3.12,1.04144e-05
Syngene International Limited,41.22,0.0,181.98,5.63,4.8193e-06
Syrma SGS Technology Limited,38.4,53.2,181.47,22.1,3.2604e-06
TATA CHEMICALS LIMITED,4436.0,2611.0,1399.0,3238.0,0.0001242863
TATA COMMUNICATIONS LIMITED,23.69,51.47,7.2,1.25,
TBO Tek Limited,,,0.0,,6.319e-07
TEGA INDUSTRIES LIMITED,61.11,43.33,9.33,57.66,1.11123e-05
THE NEW INDIA ASSURANCE COMPANY LIMITED,,,0.0,,2.044e-07
THE PHOENIX MILLS LIMITED,39.0,21.8,31.29,25.0,3.63181e-05
TITAGARH RAIL SYSTEMS LIMITED,9001.63,22067.17,38.77,5762.62,12.9442136468
TRIDENT LIMITED,823.23,617.2,1034.97,911.91,0.000189877
TTK PRESTIGE LIMITED,17.6,25.8,78.48,16.0,51.8918555756
TVS Holdings Limited,,,0.0,,0.0
TVS Motor Company Limited,148.38,84.79,582.23,55.52,18.9005
TVS Supply Chain Solutions Limited,,,3.0,,9.674e-07
Tamilnad Mercantile Bank Limited,,,8.5,,2.4179e-06
Tanla Platforms Limited,,,0.08,,2.001e-07
Tata Consultancy Services Limited,,,262.0,,1.1248e-06
Tata Consumer Products Limited,418.0,161.0,6491.0,34.0,3.70794e-05
Tata Elxsi Limited,0.0,0.0,3.61,0.0,19.7648724605
Tata Investment Corporation Limited,,,0.01,,3.33e-08
Tata Motors Limited,192.0,519.0,1994.0,0.17,3.9127e-06
Tata Steel Limited,24.0,8.0,2359.0,46.0,7.44126e-05
Tata Technologies Limited,94.0,41.09,3.05,106.15,2.1567e-06
Tata Teleservices Maharashtra Limited,0.0,79.0,0.24,56.0,7.569e-07
Tech Mahindra Limited,0.71,0.16,14.3,0.33,1.1456e-06
Techno Electric  Engineering Company Limited,,,19.28,,13.7914238135
Tejas Networks Limited,12.0,23.0,92.47,3.5,3.2738766203
The Ramco Cements Limited,8652.0,689.0,365.0,272.0,2.50738e-05
Thermax Limited,15.0,33.0,151.0,13.0,6.2902e-06
Thomas Cook  India  Limited,,,0.0,,1.3174e-06
Timken India Limited,35.73,83.56,196.19,22.83,5.5756e-06
Titan Company Limited,196.0,1194.0,278.0,95.0,5.472e-07
Torrent Pharmaceuticals Limited,19.2,0.0,714.43,67.97,0.0
Torrent Power Limited,5438.0,651.0,246.74,16533.0,5.22515e-05
Triveni Engineering  Industries Limited,519.5,949.9,1463.52,249.31,2.19653e-05
Triveni Turbine Limited,0.02,0.03,0.27,0.01,4.9452e-06
Tube Investments of India Limited,34.0,49.0,165.0,14.0,7.4287e-06
UCO BANK,,,0.0,,8.045425203
UNION BANK OF INDIA,,,0.0,,6.759e-07
UNITED BREWERIES LIMITED,402.0,413.0,12883.19,198.0,2.04686e-05
UPL LIMITED,436.0,343.0,3622.0,121.0,2.42162e-05
UTI Asset Management Company Limited,,,0.0,,7.132e-07
Ujjivan Small Finance Bank Limited,,,0.0,,2.1621e-06
UltraTech Cement Limited,92709.3,8336.53,1141.0,28633.96,403.6105790353
United Spirits Limited,38.13,39.64,655.0,12.64,2.5084e-06
Uno Minda Limited,3.23,1.73,1936.37,1.3,6.597e-06
Usha Martin Limited,139.36,53.71,37.09,114.33,4.97645e-05
V-GUARD INDUSTRIES LIMITED,0.34,5.83,561.95,0.1,1.5053e-06
VALOR ESTATE LIMITED,24.0,62.8,20.0,15.6,2.54618e-05
VIP INDUSTRIES LIMITED,9.9,27.0,27.0,15.2,6.9515e-06
Varroc Engineering Limited,28.35,42.85,2073.0,16.58,5.5965e-06
Varun Beverages Limited,,,206682.0,,0.0324143122
Vedant Fashions Limited,,,100.598,,4.2e-08
Vedanta Limited,122452.0,18011.0,709.0,447109.0,0.0001624777
Vesuvius India Limited,68.92,3.2,18.81,1.03,4.2555e-06
Vinati Organics Limited,31.04,43.05,174.5,21.7,4.30312e-05
Vodafone Idea Limited,,,19.09,,1.583e-07
Voltamp Transformers Limited,15.44,51.69,75.0,5.0,1.2755e-06
Voltas Limited,1852.28,685.87,111.85,568.51,1.3658e-06
Waaree Renewable Technologies Limited,,,8.2,,5.0121e-06
Welspun Corp Limited,293.07,659.21,783.0,305.36,1.82936e-05
Welspun Living Limited,39.1,86.65,484.0,82.9,5.9712e-06
Westlife Foodworld Limited,,,45.0,,7.3622587099
Whirlpool of India Limited,12.74,9.29,8801.0,5.0,2.3348e-06
Wipro Limited,25.74,3.17,97.0,2.81,1.4677e-06
Wockhardt Limited,877.17,1834.64,30.051,535.54,2.88621e-05
YES Bank Limited,2780.43,258.25,4.74,625.55,8.649e-07
ZENSAR TECHNOLOGIES LIMITED,0.09,0.01,6.89,0.07,3.559e-07
ZF Commercial Vehicle Control Systems India Limited,0.74,0.01,70.1,0.0,2.2573e-06
Zee Entertainment Enterprises Limited,269.3,70.7,2.3,35.8,1.2733e-06
Zen Technologies Limited,,,0.0,,7.086e-07
Zydus Lifesciences Limited,29.36,44.19,3133.17,46.43,10.7033003894
Zydus Wellness Limited,8277.3,2726.4,1013.4,925.33,1.43915e-05
eClerx Services Limited,,,2.49,,3.4907e-06
