Company_Name,NOx Emissions,Particulate Matter Emissions,Plastic Waste Generated,SOx Emissions,Water Recycling %
CE INFO SYSTEMS LIMITED,,,0.0,,0.0010941204
CEAT Limited,9.0,314.0,1622.0,67.0,9.8824e-06
CERA Sanitaryware Limited,3.97,17.0,22.79,0.0,0.7886171798
CESC Limited,9251.0,782.0,0.0,21545.0,0.0001204294
CG Power and Industrial Solutions Limited,472.0,10960.0,34.0,76880.0,3.4815e-06
CHENNAI PETROLEUM CORPORATION LIMITED,597.0,352.0,29.6,1705.0,126.0287592201
CIE AUTOMOTIVE INDIA LIMITED,21.61,50.19,258.41,11.56,1.08216e-05
CITY UNION BANK LIMITED,,,0.0,,1.3958e-06
COAL INDIA LIMITED,22.2,155.0,60.96,20.52,4.11e-08
COROMANDEL INTERNATIONAL LIMITED,767.0,454.76,0.0,113.1,2.92109e-05
Campus Activewear Limited,0.83,0.1,44.2,0.03,6.706e-06
Can Fin Homes Limited,,,0.0,,3.396e-07
Canara Bank,,,0.0,,6.788e-07
Caplin Point Laboratories Limited,3940.31,734.97,41.51,457.23,1.1605e-06
Capri Global Capital Limited,,,0.0,,2.237e-07
Carborundum Universal Limited,258.6,200.5,695.0,76.0,1.39728e-05
Castrol India Limited,225.0,251.0,110.96,341.0,8.427e-07
Cello World Limited,,,0.0,,3.995e-07
Central Bank of India,,,0.0,,
Century Plyboards India Limited,142.48,152.97,139.87,176.22,1.2793376411
Chalet Hotels Limited,63.08,19.25,86.08,16.32,37.9577296872
Chemplast Sanmar Limited,195.34,69.92,6.29,210.14,0.000533651
Cholamandalam Financial Holdings Limited,,,0.0,,1.8507e-06
Cholamandalam Investment and Finance Company Limited,,,0.0,,2.2883e-06
Cipla Limited,54.4,56.5,3351.0,25.8,5.4233e-06
Clean Science and Technology Limited,40721.0,75902.0,29.2,33905.0,4.57552e-05
Cochin Shipyard Limited,0.0,0.0,20.2,0.0,1.2322e-05
Coforge Limited,117.0,48.0,2.7,29.0,2.3524e-06
Computer Age Management Services Limited,,,0.67,,6.733e-07
Concord Biotech Limited,2068.87,1675.6,4.64,1077.36,3.21152e-05
Container Corporation of India Limited,,,0.0,,4.533e-07
Craftsman Automation Limited,131.12,1.49,728.78,0.01,0.6099232068
CreditAccess Grameen Limited,,,0.0,,0.0
Crisil Limited,0.69,0.48,1.34,3.39,6.405e-07
Crompton Greaves Consumer Electricals Limited,7.7,15.32,111.43,49.32,1.1582e-06
Cummins India Limited,152111.0,10676.0,131.48,3477.0,1.7316e-06
Cyient Limited,0.08,0.38,0.76,0.16,3.3958e-06
DCM Shriram Limited,2716.0,1878.0,1484.0,2169.0,0.000100416
DIVIS LABORATORIES LIMITED,79.09,32.12,539.68,60.75,3.78684e-05
DLF Limited,256.65,44.04,481.36,23.29,0.0001445369
DOMS Industries Limited,6.2,17.41,303.14,8.63,0.0755836405
Dabur India Limited,30.5,42.0,2016.0,9.3,1.29602e-05
Dalmia Bharat Limited,16884.0,1767.0,191.0,5178.0,3.50645e-05
Data Patterns India Limited,1.05,0.03,0.0,0.33,2.2588e-06
Deepak Nitrite Limited,630.0,64.0,1347.04,136.0,2.65203e-05
Delhivery Limited,3969.47,132.21,1686.59,2.21,7.699e-07
Devyani International Limited,2.36,0.41,520.7,0.44,7.1005492735
