Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity,Scope3_Biodiversity_MSA,Exiobase_Sector,Factor_Used,Sector_Original,Revenue_INR,Revenue_Million_EUR,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Aditya Birla Fashion and Retail Limited,Retail,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,14972.999999271226,0.0464836706093552,8.31833333292846e-06,Other business activities,0.05,Chemicals & Fertilizers,14972.999999271226,0.00016636666665856918,0.04970125473011899,0.5207746405376565,459.0,403.0
Aditya Birla Sun Life AMC Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,16591299165.67342,3.254717997715534e-08,9.217388425374123,Other business activities,0.05,Chemicals & Fertilizers,16591299165.67342,184.34776850748244,0.04999999972877351,0.5555555220708046,336.0,316.0
Aegis Logistics Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,29767790765.536674,1.6931051550641118e-08,16.537661536409264,Other business activities,0.05,Chemicals & Fertilizers,29767790765.536674,330.75323072818526,0.0499999998488299,0.5555555368925805,259.0,250.0
Aether Industries Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,8328.340012372964,0.0734840315225825,4.626855562429425e-06,Other business activities,0.05,Chemicals & Fertilizers,8328.340012372964,9.253711124858849e-05,0.04946545280977176,0.49599988382632226,465.0,409.0
Ajanta Pharma Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,46480911934.38521,5.9164071563011465e-09,77.46818655730868,Chemicals nec,0.15,Pharmaceuticals,46480911934.38521,516.4545770487246,0.14999999970955818,1.6666666308096547,104.0,41.0
Akzo Nobel India Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,40912610032.8773,1.8185102329138203e-08,22.729227796042945,Other business activities,0.05,Chemicals & Fertilizers,40912610032.8773,454.58455592085886,0.049999999890009465,0.5555555419764772,229.0,224.0
Alkem Laboratories Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,105511828984.81458,5.4591035483130414e-09,58.617682769341435,Other business activities,0.05,Chemicals & Fertilizers,105511828984.81458,1172.3536553868287,0.04999999995735075,0.5555555502902166,131.0,144.0
Amara Raja Energy  Mobility Limited,Other Business Services,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,12404.889999999374,0.1047973823226216,6.891605555555208e-06,Other business activities,0.05,Power Generation,12404.889999999374,0.00013783211111110415,0.049639852771813105,0.5141113097948234,461.0,405.0
Amber Enterprises India Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,99729047895.63042,6.978909502158146e-09,55.40502660868357,Other business activities,0.05,Chemicals & Fertilizers,99729047895.63042,1108.1005321736714,0.049999999954877736,0.5555555499849063,138.0,151.0
Ambuja Cements Limited,Cement,Hyderabad,Telangana,0.45,1.0,0.45,Tier 2,75%,188570007218.2446,2.3863816236650247e-09,209.52223024249403,Construction,0.1,Cement,188570007218.2446,2095.22230242494,0.09999999995227238,1.111111105218811,56.0,74.0
Anand Rathi Wealth Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,9051129317.980513,5.5683659164915394e-08,5.028405176655841,Other business activities,0.05,Chemicals & Fertilizers,9051129317.980513,100.56810353311681,0.04999999950282449,0.5555554941758677,378.0,353.0
Anant Raj Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,12285971345.63935,4.9812911228807044e-08,6.825539636466306,Other business activities,0.05,Chemicals & Fertilizers,12285971345.63935,136.5107927293261,0.0499999996337286,0.5555555103368672,360.0,337.0
Anupam Rasayan India Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,14369742026.988518,4.5929843330549824e-08,7.983190014993621,Other business activities,0.05,Chemicals & Fertilizers,14369742026.988518,159.6638002998724,0.04999999968684198,0.555555516894074,349.0,327.0
Apollo Tyres Limited,Healthcare,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,178705838865.33118,4.163266319242441e-09,99.28102159185066,Other business activities,0.05,Chemicals & Fertilizers,178705838865.33118,1985.620431837013,0.04999999997481896,0.5555555524467845,90.0,124.0
Aptus Value Housing Finance India Limited,Financial Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,17500013883.052864,3.2914259602833943e-08,0.972222993502937,"Financial intermediation, except insurance and pension funding",0.005,Chemicals & Fertilizers,17500013883.052864,194.4445987005874,0.004999999974285735,0.055555552380955074,405.0,471.0
Asahi India Glass Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,43116100731.34601,1.4472551771045085e-08,23.953389295192228,Other business activities,0.05,Chemicals & Fertilizers,43116100731.34601,479.06778590384454,0.049999999895630635,0.5555555426704493,219.0,216.0
Ashok Leyland Limited,Automobile,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,387524362023.6856,1.796016117194356e-09,430.5826244707618,Construction,0.1,Chemicals & Fertilizers,387524362023.6856,4305.826244707618,0.09999999997677565,1.1111111082439078,36.0,72.0
Asian Paints Limited,Chemicals,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,295526759253.8788,1.8272456997239326e-09,492.5445987564646,Chemicals nec,0.15,Chemicals & Fertilizers,295526759253.8788,3283.630658376431,0.14999999995431887,1.6666666610270195,31.0,29.0
Aster DM Healthcare Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,41384567768.32813,1.2178452673987197e-08,22.991426537960077,Other business activities,0.05,Chemicals & Fertilizers,41384567768.32813,459.8285307592015,0.04999999989126382,0.5555555421313357,227.0,223.0
AstraZeneca Pharma India Limited,Pharmaceuticals,Ahmedabad,Gujarat,0.51,0.5,0.255,Tier 2,75%,17162616962.347485,1.4857873980374694e-08,28.604361603912473,Chemicals nec,0.15,Pharmaceuticals,17162616962.347485,190.69574402608316,0.14999999921340668,1.6666665695563847,202.0,46.0
Astral Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,52960103510.35104,1.2462211292147552e-08,29.422279727972803,Other business activities,0.05,Chemicals & Fertilizers,52960103510.35104,588.445594559456,0.04999999991503038,0.5555555450654789,198.0,199.0
Atul Limited,Chemicals,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,50746812291.4792,1.4661019409980234e-08,84.57802048579866,Chemicals nec,0.15,Chemicals & Fertilizers,50746812291.4792,563.8534699053245,0.14999999973397343,1.6666666338238818,99.0,40.0
Authum Investment  Infrastructure Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,,,,Other business activities,0.05,Chemicals & Fertilizers,,,,,,
Avenue Supermarts Limited,Retail,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,57789.81000007717,0.0107977513682631,3.210545000004287e-05,Other business activities,0.05,Chemicals & Fertilizers,57789.81000007717,0.0006421090000008574,0.04992225268189384,0.5461056941670798,444.0,391.0
Axis Bank Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,144612489269.6344,4.0107185965008336e-11,8.034027181646355,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,144612489269.6344,1606.805436329271,0.004999999996888235,0.055555555171387105,348.0,459.0
