Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity,Scope3_Biodiversity_MSA,Exiobase_Sector,Factor_Used,Sector_Original,Revenue_INR,Revenue_Million_EUR,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Capri Global Capital Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,24101510824.50484,2.7384175407334023e-08,13.389728235836024,Other business activities,0.05,Chemicals & Fertilizers,24101510824.50484,267.79456471672046,0.04999999981328972,0.5555555325049039,302.0,286.0
Carborundum Universal Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,27862745098.03921,2.670232230823364e-08,15.479302832244006,Other business activities,0.05,Chemicals & Fertilizers,27862745098.03921,309.5860566448801,0.04999999983849402,0.5555555356165461,267.0,255.0
Cello World Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,11127343750.0,5.1764375482693256e-08,6.181857638888889,Other business activities,0.05,Chemicals & Fertilizers,11127343750.0,123.63715277777777,0.04999999959559083,0.5555555056285004,365.0,342.0
Central Bank of India,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,,,,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,,,,,,
Century Plyboards India Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,406790.9700000613,0.0017109524333834,0.0002259949833333674,Other business activities,0.05,Chemicals & Fertilizers,406790.9700000613,0.004519899666667348,0.049988940254443455,0.5541932018095777,422.0,376.0
Chalet Hotels Limited,Hotels & Tourism,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,17178.249999960317,0.0314350996173211,9.543472222200177e-06,Other business activities,0.05,Chemicals & Fertilizers,17178.249999960317,0.00019086944444400352,0.04973940613553717,0.524994002295106,457.0,402.0
Chemplast Sanmar Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,24087398055.336025,2.092380417520232e-08,13.381887808520014,Other business activities,0.05,Chemicals & Fertilizers,24087398055.336025,267.6377561704003,0.049999999813180325,0.5555555324913984,303.0,287.0
Cholamandalam Financial Holdings Limited,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,334568965517.2414,1.5243493944859573e-11,18.587164750957854,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,334568965517.2414,3717.432950191571,0.004999999998654986,0.05555555538950442,247.0,446.0
Cholamandalam Investment and Finance Company Limited,Financial Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,260518507807.9815,2.533409259684772e-09,14.47325043377675,"Financial intermediation, except insurance and pension funding",0.005,Chemicals & Fertilizers,260518507807.9815,2894.65008675535,0.004999999998272675,0.055555555342305614,275.0,452.0
Cipla Limited,Pharmaceuticals,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,275476097940.1477,2.700778781038374e-09,459.12682990024615,Chemicals nec,0.15,Chemicals & Fertilizers,275476097940.1477,3060.845532668308,0.14999999995099392,1.6666666606165348,32.0,30.0
Clean Science and Technology Limited,Other Business Services,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,9223146191.187452,5.204297861597719e-09,5.123970106215252,Other business activities,0.05,Information Technology,9223146191.187452,102.47940212430503,0.04999999951209708,0.5555554953206333,377.0,352.0
Cochin Shipyard Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,45278508144.46703,1.3781372787483324e-08,25.15472674692613,Other business activities,0.05,Chemicals & Fertilizers,45278508144.46703,503.0945349385226,0.0499999999006151,0.5555555432858151,213.0,211.0
Coforge Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,55567271862.36422,1.2525358483028236e-08,30.870706590202346,Other business activities,0.05,Chemicals & Fertilizers,55567271862.36422,617.4141318040469,0.04999999991901708,0.5555555455576643,188.0,189.0
Computer Age Management Services Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,14224932963.476652,3.7961514573494414e-08,7.902740535264808,Other business activities,0.05,Chemicals & Fertilizers,14224932963.476652,158.05481070529615,0.04999999968365405,0.5555555165005023,350.0,328.0
Concord Biotech Limited,Other Business Services,Pune,Maharashtra,0.42,0.1,0.042,Tier 2,75%,12000874441.278046,3.499744973211066e-09,6.667152467376693,Other business activities,0.05,Information Technology,12000874441.278046,133.34304934753385,0.04999999962502733,0.5555555092626366,361.0,338.0
Container Corporation of India Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,88633607117.14871,6.904830119247071e-09,49.2408928428604,Other business activities,0.05,Chemicals & Fertilizers,88633607117.14871,984.8178568572079,0.04999999994922919,0.5555555492875545,147.0,158.0
Craftsman Automation Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,384794.3599919816,0.0017152018548654,0.00021377464443998978,Other business activities,0.05,Chemicals & Fertilizers,384794.3599919816,0.004275492888799796,0.04998830817651283,0.5541155252877022,423.0,377.0
CreditAccess Grameen Limited,Other Business Services,Delhi,Delhi,0.62,1.0,0.62,Tier 2,75%,57559250417.7608,1.0771509279569934e-08,31.97736134320045,Other business activities,0.05,Cement,57559250417.7608,639.547226864009,0.04999999992181969,0.5555555459036658,186.0,187.0
Crompton Greaves Consumer Electricals Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,70289386368.1791,8.194693818820455e-09,39.04965909343284,Other business activities,0.05,Chemicals & Fertilizers,70289386368.1791,780.9931818686566,0.049999999935978964,0.555555547651723,165.0,171.0
Cummins India Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,101661519769.149,6.1380156564348755e-09,56.47862209397167,Other business activities,0.05,Chemicals & Fertilizers,101661519769.149,1129.5724418794334,0.04999999995573546,0.5555555500907982,136.0,149.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001663e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
Cyient Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08,13.408996787661039,Other business activities,0.05,Chemicals & Fertilizers,24136194217.789867,268.1799357532208,0.049999999813558016,0.5555555325380274,286.0,270.0
DCM Shriram Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,123688064437.3932,4.074766650222003e-09,68.71559135410733,Other business activities,0.05,Chemicals & Fertilizers,123688064437.3932,1374.3118270821467,0.04999999996361815,0.5555555510639697,116.0,136.0
DIVIS LABORATORIES LIMITED,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,91980836889.26622,6.653559814168399e-09,51.10046493848124,Other business activities,0.05,Chemicals & Fertilizers,91980836889.26622,1022.0092987696247,0.04999999995107677,0.5555555495156503,144.0,155.0
DLF Limited,Real Estate,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,79936854419.41074,8.256517032020402e-09,88.8187271326786,Construction,0.1,Chemicals & Fertilizers,79936854419.41074,888.187271326786,0.09999999988741114,1.111111097211251,96.0,78.0
DOMS Industries Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,170910.0000021139,0.0043531683341571,9.49500000011744e-05,Other business activities,0.05,Chemicals & Fertilizers,170910.0000021139,0.0018990000000234878,0.04997368421052665,0.5523238904078113,432.0,383.0
Dabur India Limited,FMCG / Consumer Goods,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,90707302655.5111,6.350095120649075e-09,503.92945919728385,Food products nec,0.5,Chemicals & Fertilizers,90707302655.5111,1007.8589183945677,0.49999999950389884,5.555555494308496,29.0,4.0
Dalmia Bharat Limited,Cement,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,139789569990.85086,4.463852346357746e-09,155.32174443427874,Construction,0.1,Chemicals & Fertilizers,139789569990.85086,1553.2174443427873,0.09999999993561752,1.1111111031626564,71.0,75.0
Data Patterns India Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,7083478260.869564,9.825681315983305e-08,3.9352657004830913,Other business activities,0.05,Chemicals & Fertilizers,7083478260.869564,78.70531400966182,0.0499999993647189,0.5555554771257988,383.0,357.0
Deepak Nitrite Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,25264722896.150352,2.1373675944107865e-08,14.035957164527975,Other business activities,0.05,Chemicals & Fertilizers,25264722896.150352,280.7191432905595,0.049999999821886035,0.5555555335661779,278.0,263.0
Delhivery Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,89319041357.87712,5.642693790012915e-09,49.62168964326507,Other business activities,0.05,Chemicals & Fertilizers,89319041357.87712,992.4337928653014,0.04999999994961881,0.5555555493356551,146.0,157.0
Devyani International Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,33493.329999967376,0.018272294812149,1.8607405555537432e-05,Other business activities,0.05,Chemicals & Fertilizers,33493.329999967376,0.00037214811111074863,0.049866004949479265,0.5394493821140213,448.0,395.0
Dixon Technologies India Limited,Other Business Services,Mumbai,Maharashtra,0.55,0.1,0.055,Tier 2,75%,54181250000.0,1.0151113161841043e-09,30.100694444444446,Other business activities,0.05,Information Technology,54181250000.0,602.0138888888889,0.04999999991694544,0.5555555453019062,194.0,195.0
Dr Reddys Laboratories Limited,Pharmaceuticals,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,326439.0000006831,0.0022791394410546,0.0005440650000011385,Chemicals nec,0.15,Chemicals & Fertilizers,326439.0000006831,0.00362710000000759,0.14995865604586428,1.6615766600802082,416.0,49.0
EICHER MOTORS LIMITED,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,18451.46000000705,0.0312170419034472,1.0250811111115027e-05,Other business activities,0.05,Chemicals & Fertilizers,18451.46000000705,0.00020501622222230054,0.04975730066564347,0.5269944318375748,456.0,401.0
EIH Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,2743.1499999999182,0.227475712228649,1.523972222222177e-06,Other business activities,0.05,Chemicals & Fertilizers,2743.1499999999182,3.0479444444443536e-05,0.04841166193106609,0.40713629489125736,475.0,417.0
ESAB India Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,137347.00000025396,0.0050674568792817,7.630388888902999e-05,Other business activities,0.05,Chemicals & Fertilizers,137347.00000025396,0.0015260777777805995,0.04996725772535787,0.551539888027134,434.0,384.0
Easy Trip Planners Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,4032814045.499505,1.3390153721633242e-07,2.240452247499725,Other business activities,0.05,Chemicals & Fertilizers,4032814045.499505,44.8090449499945,0.049999998884153886,0.5555554177968066,397.0,365.0
Electronics Mart India Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,69647424164.52441,7.236448526932274e-09,38.69301342473579,Other business activities,0.05,Chemicals & Fertilizers,69647424164.52441,773.8602684947157,0.04999999993538886,0.5555555475788709,169.0,174.0
Elgi Equipments Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,20809069827.36408,2.9410252600297174e-08,11.5605943485356,Other business activities,0.05,Chemicals & Fertilizers,20809069827.36408,231.211886970712,0.049999999783748146,0.5555555288577968,316.0,300.0
Emami Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,31235130346.747658,2.113005429057613e-08,17.352850192637586,Other business activities,0.05,Chemicals & Fertilizers,31235130346.747658,347.05700385275173,0.04999999985593145,0.5555555377693151,253.0,245.0
Endurance Technologies Limited,Other Business Services,Delhi,Delhi,0.62,0.1,0.062,Tier 2,75%,88461546281.18916,7.008695032632944e-10,49.14530348954954,Other business activities,0.05,Information Technology,88461546281.18916,982.9060697909907,0.049999999949130444,0.5555555492753631,148.0,159.0
Engineers India Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,30283525470.70541,1.9020242559182563e-08,16.82418081705856,Other business activities,0.05,Chemicals & Fertilizers,30283525470.70541,336.4836163411712,0.04999999985140435,0.5555555372104148,256.0,247.0
Equitas Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,631200039.749508,8.238275780311455e-09,0.035066668874972666,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,631200039.749508,7.013333774994534,0.004999999287072389,0.055555467539928106,412.0,476.0
Eris Lifesciences Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,16636019816.336391,4.183693020830231e-08,9.242233231297995,Other business activities,0.05,Chemicals & Fertilizers,16636019816.336391,184.8446646259599,0.04999999972950261,0.5555555221608176,335.0,315.0
Escorts Kubota Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,110307894736.8421,4.895388505856813e-09,61.28216374269006,Other business activities,0.05,Chemicals & Fertilizers,110307894736.8421,1225.6432748538011,0.049999999959205094,0.5555555505191477,126.0,142.0
Eureka Forbes Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,24360.620007069407,0.0206891285958132,1.3533677781705226e-05,Other business activities,0.05,Chemicals & Fertilizers,24360.620007069407,0.0002706735556341045,0.04981595558727349,0.5336493263150759,451.0,397.0
Exide Industries Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,165881170863.56525,3.689387992705699e-09,92.15620603531403,Other business activities,0.05,Chemicals & Fertilizers,165881170863.56525,1843.1241207062806,0.04999999997287215,0.5555555522064379,95.0,127.0
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,40509089277.64959,1.6292639794401582e-08,67.51514879608264,Chemicals nec,0.15,Chemicals & Fertilizers,40509089277.64959,450.10099197388433,0.14999999966674143,1.666666625523638,119.0,45.0
FINE ORGANIC INDUSTRIES LIMITED,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,22051926526.62433,3.3738548833895926e-08,12.251070292569072,Other business activities,0.05,Chemicals & Fertilizers,22051926526.62433,245.02140585138142,0.0499999997959362,0.5555555303624945,312.0,296.0
Finolex Cables Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,53189106114.31104,1.0829285206675464e-08,29.54950339683947,Other business activities,0.05,Chemicals & Fertilizers,53189106114.31104,590.9900679367894,0.04999999991539621,0.5555555451106433,196.0,197.0
Finolex Industries Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,41419686173.40705,1.506530004567323e-08,23.01093676300392,Other business activities,0.05,Chemicals & Fertilizers,41419686173.40705,460.21873526007835,0.04999999989135601,0.5555555421427176,226.0,222.0
Firstsource Solutions Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,23065820947.67114,3.0174516726675285e-08,12.814344970928412,Other business activities,0.05,Chemicals & Fertilizers,23065820947.67114,256.2868994185682,0.049999999804906145,0.5555555314698951,307.0,291.0
Five-Star Business Finance Limited,Financial Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,28479810676.598385,1.896080020095476e-08,1.5822117042554658,"Financial intermediation, except insurance and pension funding",0.005,Chemicals & Fertilizers,28479810676.598385,316.44234085109315,0.004999999984199333,0.05555555360485601,400.0,470.0
Force Motors Ltd,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,80069964664.31096,6.294495097044104e-09,44.48331370239498,Other business activities,0.05,Chemicals & Fertilizers,80069964664.31096,889.6662740478995,0.04999999994379916,0.5555555486171793,156.0,165.0
Fortis Healthcare Limited,Healthcare,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,652803.000006444,0.0009374956916465,0.0003626683333369134,Other business activities,0.05,Chemicals & Fertilizers,652803.000006444,0.007253366666738267,0.0499931075995608,0.5547058262708168,418.0,374.0
G R Infraprojects Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,65155698561.38938,1.0129582132837564e-08,36.19761031188299,Other business activities,0.05,Chemicals & Fertilizers,65155698561.38938,723.9522062376598,0.04999999993093467,0.5555555470289714,177.0,180.0
GAIL India Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,137287.99999998466,0.0054192646116199,7.62711111111026e-05,Other business activities,0.05,Chemicals & Fertilizers,137287.99999998466,0.0015254222222220518,0.04996724366346868,0.5515381747592781,435.0,385.0
GALAXY SURFACTANTS LIMITED,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,30012701499.09051,1.919187448079124e-08,16.673723055050285,Other business activities,0.05,Chemicals & Fertilizers,30012701499.09051,333.47446110100566,0.04999999985006349,0.5555555370448748,258.0,249.0
GLAND PHARMA LIMITED,Pharmaceuticals,Chennai,Tamil Nadu,0.52,0.5,0.26,Tier 2,75%,41161484539.96763,6.316584615589875e-09,68.60247423327938,Chemicals nec,0.15,Pharmaceuticals,41161484539.96763,457.34982822186254,0.1499999996720235,1.6666666261757406,117.0,43.0
GLOBAL HEALTH LIMITED,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,369230.9999922848,0.0018849988219151,0.00020512833332904715,Other business activities,0.05,Chemicals & Fertilizers,369230.9999922848,0.0041025666665809426,0.049987815477592415,0.5540549908930419,424.0,378.0
GODAWARI POWER AND ISPAT LIMITED,Power,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,46612446911.21709,2.4135184367016653e-08,62.14992921495611,Production of electricity by coal,0.12,Power Generation,46612446911.21709,517.916076791301,0.11999999976830222,1.333333304728671,125.0,58.0
GODFREY PHILLIPS INDIA LIMITED,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,67349311583.43508,7.483372704940334e-09,37.416284213019495,Other business activities,0.05,Chemicals & Fertilizers,67349311583.43508,748.3256842603898,0.04999999993318418,0.5555555473066881,173.0,177.0
GODREJ AGROVET LIMITED,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,70090654326.27406,8.731549246938427e-09,38.9392524034856,Other business activities,0.05,Chemicals & Fertilizers,70090654326.27406,778.7850480697118,0.04999999993579744,0.5555555476293128,166.0,172.0
GRANULES INDIA LIMITED,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,30277663230.24055,2.1798247605211788e-08,16.820924016800305,Other business activities,0.05,Chemicals & Fertilizers,30277663230.24055,336.4184803360061,0.049999999851375584,0.5555555372068628,257.0,248.0
GRAPHITE INDIA LIMITED,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,24200028250.958626,3.074376576277461e-08,13.44446013942146,Other business activities,0.05,Chemicals & Fertilizers,24200028250.958626,268.8892027884292,0.0499999998140498,0.5555555325987422,285.0,269.0
GUJARAT GAS LIMITED,Oil & Gas,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,171851574161.6735,3.351729553888835e-09,763.7847740518823,Mining of coal and lignite; extraction of peat,0.4,Chemicals & Fertilizers,171851574161.6735,1909.4619351297056,0.3999999997905169,4.444444418582335,18.0,14.0
Garden Reach Shipbuilders  Engineers Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,50759179265.658745,1.2293342978107781e-08,28.19954403647708,Other business activities,0.05,Chemicals & Fertilizers,50759179265.658745,563.9908807295416,0.049999999911346085,0.555555544610628,204.0,204.0
General Insurance Corporation of India,Financial Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,410413131313.13135,1.6958521716230744e-09,22.800729517396185,"Financial intermediation, except insurance and pension funding",0.005,Chemicals & Fertilizers,410413131313.13135,4560.145903479237,0.004999999998903544,0.0555555554201906,228.0,443.0
Genus Power Infrastructures Limited,Power,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,24419877408.05604,4.60690273419991e-08,32.55983654407472,Production of electricity by coal,0.12,Power Generation,24419877408.05604,271.33197120062266,0.11999999955773734,1.3333332787330068,185.0,60.0
Gillette India Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,22348076472.3608,2.2552276506809297e-08,12.415598040200447,Other business activities,0.05,Chemicals & Fertilizers,22348076472.3608,248.31196080400892,0.04999999979864039,0.5555555306963453,311.0,295.0
GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,Ahmedabad,Gujarat,0.51,0.5,0.255,Tier 2,75%,372361254739.7449,6.84818833200644e-10,620.602091232908,Chemicals nec,0.15,Pharmaceuticals,372361254739.7449,4137.347274886054,0.14999999996374486,1.6666666621907265,24.0,27.0
Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,92263876310.00128,2.980581469133336e-09,153.77312718333548,Chemicals nec,0.15,Pharmaceuticals,92263876310.00128,1025.1541812222365,0.14999999985368054,1.666666648602537,72.0,37.0
Go Digit General Insurance Limited,Financial Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,102855564516.12904,7.233444330406952e-09,5.714198028673836,"Financial intermediation, except insurance and pension funding",0.005,Chemicals & Fertilizers,102855564516.12904,1142.8396057347672,0.004999999995624932,0.05555555501542382,371.0,461.0
Godrej Consumer Products Limited,FMCG / Consumer Goods,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,89101499621.36166,6.4645376615177275e-09,495.008331229787,Food products nec,0.5,Chemicals & Fertilizers,89101499621.36166,990.016662459574,0.499999999494958,5.555555493204691,30.0,5.0
Godrej Industries Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,41712186264.68196,1.4959657018226008e-08,23.1734368137122,Other business activities,0.05,Chemicals & Fertilizers,41712186264.68196,463.468736274244,0.049999999892117855,0.555555542236773,224.0,220.0
Godrej Properties Limited,Real Estate,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,49228887124.52031,1.4138040501291992e-08,54.69876347168923,Construction,0.1,Chemicals & Fertilizers,49228887124.52031,546.9876347168923,0.09999999981718051,1.1111110885408042,139.0,82.0
Grasim Industries Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,315632340610.3302,1.710851299191381e-09,175.35130033907234,Other business activities,0.05,Chemicals & Fertilizers,315632340610.3302,3507.0260067814465,0.049999999985742914,0.5555555537954205,64.0,107.0
Grindwell Norton Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,27373643021.84991,1.841187158018033e-08,15.207579456583284,Other business activities,0.05,Chemicals & Fertilizers,27373643021.84991,304.1515891316657,0.049999999835608294,0.5555555352602833,270.0,257.0
Gujarat Ambuja Exports Limited,Cement,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,46125755640.71764,1.3268075319285508e-08,51.250839600797384,Construction,0.1,Chemicals & Fertilizers,46125755640.71764,512.5083960079738,0.09999999980488125,1.1111110870223766,142.0,83.0
Gujarat Fluorochemicals Limited,Chemicals,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,45645456061.65676,1.445927058124884e-08,76.07576010276127,Chemicals nec,0.15,Chemicals & Fertilizers,45645456061.65676,507.1717340184085,0.1499999997042422,1.666666630153358,108.0,42.0
