Company_Name,NSE_Symbol,BSE_Code,Sector,Market_Cap_Cr,BRSR_PDF_URL,BRSR_XBRL_URL,Submission_Date,Has_BRSR,Priority,Data_Source_Expected,Source,Revenue_Cr,Website
Container Corporation of India Limited,CONCOR,,Services,59107.49609,https://nsearchives.nseindia.com/corporate/CONCOR_02092025123057_BRSR-2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521204_02092025123236_WEB.xml,02-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Supreme Industries Limited,SUPREMEIND,,Capital Goods,58747.33004,https://nsearchives.nseindia.com/corporate/SUPREMEIND_13062025115535_BRSR2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466217_13062025115844_WEB.xml,13-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Steel Authority of India Limited,SAIL,,Metals & Mining,57942.00301,https://nsearchives.nseindia.com/corporate/SAIL_25082025170923_BRSR_SAIL.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1517071_25082025051220_WEB.xml,25-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
IDFC FIRST Bank Limited,IDFCFIRSTB,,Financial Services,57276.06791,https://nsearchives.nseindia.com/corporate/IDFCFIRSTB_05072025220730_SE_Intimation_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477854_05072025100752_WEB.xml,05-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
MRF Limited,MRF,,Automobile and Auto Components,57063.35448,https://nsearchives.nseindia.com/corporate/MRF_14072025170908_BRSRFINAL.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482303_14072025052856_WEB.xml,14-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Jindal Stainless Limited,JSL,,Metals & Mining,56007.04158,https://nsearchives.nseindia.com/corporate/JSL_08082025221459_JSLBRSR08082025F.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1507721_08082025102028_WEB.xml,08-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Ashok Leyland Limited,ASHOKLEY,,Capital Goods,55580.06724,https://nsearchives.nseindia.com/corporate/ASHOKLEY_18072025130141_ALBRSRFY2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1486271_18072025010713_WEB.xml,18-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Oberoi Realty Limited,OBEROIRLTY,,Realty,55556.17517,https://nsearchives.nseindia.com/corporate/OBEROIRLTY_04072025193716_Business_Responsibility_and_sustainability_report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477557_04072025073747_WEB.xml,04-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Prestige Estates Projects Limited,PRESTIGE,,Realty,55215.1079,https://nsearchives.nseindia.com/corporate/PRESTIGE_19082025162354_Intimation_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1514714_19082025042454_WEB.xml,19-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
PI INDUSTRIES LIMITED,PIIND,,Chemicals,54820.95515,https://nsearchives.nseindia.com/corporate/PIIND_21072025195914_BRSR_2025_signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1489695_21072025075954_WEB.xml,21-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Schaeffler India Limited,SCHAEFFLER,,Automobile and Auto Components,54723.45249,https://nsearchives.nseindia.com/corporate/SCHAEFFLERUSER1_20052025154927_SchaefflerIndia_BRSRReport.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1444134_20052025034939_WEB.xml,20-May-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Astral Limited,ASTRAL,,Capital Goods,54533.02999,https://nsearchives.nseindia.com/corporate/ASTRAL_02082025143233_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1500946_02082025023329_WEB.xml,02-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
L&T Technology Services Limited,LTTS,,Information Technology,54284.64242,https://nsearchives.nseindia.com/corporate/LTTS_23052025220125_BRSR_Extract.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1449613_23052025100148_WEB.xml,23-May-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
PATANJALI FOODS LIMITED,PATANJALI,,Fast Moving Consumer Goods,53994.57838,https://nsearchives.nseindia.com/corporate/RUCHI_04092025185848_LetterBRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1523075_04092025070357_WEB.xml,04-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
