Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,XBRL_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
NMDC Ltd.,NMDC,Mining & Minerals,69587.307520615,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1515128_20082025025901_WEB.xml,20-Aug-2025,True,data\brsr_xbrl\NMDC_NMDC Ltd_BRSR.xml,895.8271484375
Jindal Stainless Ltd.,JSL,Mining & Minerals,56012.5207915725,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1507721_08082025102028_WEB.xml,08-Aug-2025,True,data\brsr_xbrl\JSL_Jindal Stainless Ltd_BRSR.xml,935.755859375
Lloyds Metals And Energy Ltd.,LLOYDSME,Mining & Minerals,32197.3514399055,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467506_17062025025923_WEB.xml,09-May-2025,True,data\brsr_xbrl\LLOYDSME_Lloyds Metals And Energy Ltd_BRSR.xml,745.048828125
Hindustan Copper Ltd.,HINDCOPPER,Mining & Minerals,30154.491717645004,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1519197_29082025035236_WEB.xml,29-Aug-2025,True,data\brsr_xbrl\HINDCOPPER_Hindustan Copper Ltd_BRSR.xml,751.4658203125
Jai Balaji Industries Ltd.,JAIBALAJI,Mining & Minerals,15997.3796024815,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1517185_25082025062939_WEB.xml,25-Aug-2025,True,data\brsr_xbrl\JAIBALAJI_Jai Balaji Industries Ltd_BRSR.xml,665.578125
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining & Minerals,13019.5569512195,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1520865_01092025061448_WEB.xml,01-Sep-2025,True,data\brsr_xbrl\GMDCLTD_Gujarat Mineral Development Co_BRSR.xml,758.5947265625
MOIL Ltd.,MOIL,Mining & Minerals,7590.147635497,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524176_06092025012000_WEB.xml,06-Sep-2025,True,data\brsr_xbrl\MOIL_MOIL Ltd_BRSR.xml,734.6064453125
Gravita India Ltd.,GRAVITA,Mining & Minerals,6988.462064252,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1511782_13082025063605_WEB.xml,13-Aug-2025,True,data\brsr_xbrl\GRAVITA_Gravita India Ltd_BRSR.xml,758.126953125
Indian Metals & Ferro Alloys Ltd.,IMFA,Mining & Minerals,3513.0033365345,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478270_07072025060758_WEB.xml,07-Jul-2025,True,data\brsr_xbrl\IMFA_Indian Metals  Ferro Alloys Lt_BRSR.xml,677.7177734375
Lloyds Enterprises Ltd.,LLOYDSENT,Mining & Minerals,0.0,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1502847_05082025050024_WEB.xml,05-Aug-2025,True,data\brsr_xbrl\LLOYDSENT_Lloyds Enterprises Ltd_BRSR.xml,593.7529296875
