Company_Name,Indicator_ID,Value,Unit,Source,Page
Arvind Limited,water_discharge,86.0,%,ARVIND LIMITED_2024_Sustainability Report 2024.pdf,12
Arvind Limited,energy_consumption,24.0,%,ARVIND LIMITED_2024_Sustainability Report 2024.pdf,33
Arvind Limited,renewable_energy_pct,24.0,%,ARVIND LIMITED_2024_Sustainability Report 2024.pdf,33
