Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Kesoram Industries (Cement Division),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,138,85.0
JK Lakshmi Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,139,85.0
Mangalam Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,140,85.0
Nuvoco Vistas Corp (Nirma Cement),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,141,85.0
Cement Corporation of India,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,142,85.0
Techno Electric & Engineering Company Limited,IT Services,794811487482.0,8831.2387498,Computer and related activities,0.01,88.312387498,0.01,0.1111111111111111,147,548.0
Dixon Technologies (India) Limited,IT Services,794811487482.0,8831.2387498,Computer and related activities,0.01,88.312387498,0.01,0.1111111111111111,146,548.0
APL Apollo Tubes,Other Business Services,150000000000.0,1666.6666666666667,Other business activities,0.05,83.33333333333334,0.05,0.5555555555555556,153,139.0
Airports Authority of India (AAI),Other Business Services,120000000000.0,1333.3333333333333,Other business activities,0.05,66.66666666666667,0.05,0.5555555555555556,172,139.0
Havells India Limited,Other Business Services,120000000000.0,1333.3333333333333,Other business activities,0.05,66.66666666666667,0.05,0.5555555555555556,173,139.0
L&T Technology Services Limited,IT Services,529874324988.0,5887.492499866667,Computer and related activities,0.01,58.87492499866666,0.01,0.1111111111111111,183,548.0
C.E. INFO SYSTEMS LIMITED,IT Services,529874324988.0,5887.492499866667,Computer and related activities,0.01,58.87492499866666,0.01,0.1111111111111111,184,548.0
LT Technology Services Limited,IT Services,529874324988.0,5887.492499866667,Computer and related activities,0.01,58.87492499866666,0.01,0.1111111111111111,185,548.0
ABB India Limited,Other Business Services,95000000000.0,1055.5555555555557,Other business activities,0.05,52.777777777777786,0.05,0.5555555555555557,199,139.0
Mahindra & Mahindra Financial Services Limited,Other Business Services,90832989690.0,1009.255441,Other business activities,0.05,50.462772050000005,0.05,0.5555555555555556,204,139.0
