Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source,Estimated,Data_Tier,City_State_Key,Latitude,Longitude,Geocoded_Address,Geocoding_Method,Geocoding_Status
Adani Ports and Special Economic Zone Limited,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, Ahmedabad-382421 Gujarat",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India",City_Level,Success
Adani Ports and Special Economic Zone Limited,2,Plant,"Patli, Kishangarh, Kilaraipur, Malur, Loni, Kanech, Dewas, Kannauj, Kotkapura, Panipat,
Ujjain, Moga, Kaithal and Malur",Chennai,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Loni, , India",13.0836939,80.270186,"Loni, Burhanpur Nagar Tahsil, Burhanpur, Madhya Pradesh, India",City_Level,Success
ADANI POWER LIMITED,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, NA Ahmedabad Ahmedabad GJ 382421 IN",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India",City_Level,Success
ADANI POWER LIMITED,2,Plant,"Kawai, Atru Tehsil, Baran Dist, - APL. Kawai.",Chennai,Tamil Nadu,India,Forensic_Web_Search,False,Tier_1,"Industrial Area, , India",13.0836939,80.270186,"Industrial Area, Chikalthana MIDC, Chhatrapati Sambhaji Nagar, Chhatrapati Sambhajinagar, Maharashtra, 431002, India",City_Level,Success
ADANI POWER LIMITED,3,Facility,Mundra,Mundra,,India,XBRL_TextExtraction,False,Tier_1,"Mundra, , India",22.8393153,69.7249477,"મુન્દ્રા, Mundra Taluka, Kutch, Gujarat, 370421, India",City_Level,Success
Adani Total Gas Limited,1,Registered Office,"“Adani Corporate House”, Shantigram, Near VaishnoDevi
Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421,
Gujarat, India.",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India",City_Level,Success
Adani Total Gas Limited,2,Facility,its city gas station situated in Ramol,Chennai,Tamil Nadu,India,XBRL_TextExtraction,False,Tier_1,"Ramol, , India",13.0836939,80.270186,"Ramol -Jantanagar, Vatva Taluka, Ahmedabad, Gujarat, 380026, India",City_Level,Success
Aditya Birla Capital Limited,1,Registered Office,"Indian Rayon Compound, Veraval – 362266, Gujarat",Dahej,Gujarat,India,Forensic_Web_Search,False,Tier_1,"Dahej, Gujarat, India",21.709301,72.5893963,"Dahej, SH206, Dahej, Vagra Taluka, Bharuch, Gujarat, 393125, India",City_Level,Success
Aditya Birla Capital Limited,2,Corporate Office,"18th floor, One World Centre, Jupiter Mills Compound, 841, Senapati Bapat, Mumbai – 400013, 
Maharashtra",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Aditya Birla Capital Limited,3,Plant,"Jaipur, Indore, Lucknow, Chennai, Bengaluru, Gurgaon",Jaipur,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Jaipur, Karnataka, India",12.9697099,77.6368108,"Cottons Jaipur, 12th Main Road, Motappanapalya, Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",City_Level,Success
Aditya Birla Fashion and Retail Limited,1,Registered Office,"Piramal Agastya Corporate Park, Building ‘A’, 4th and 5th Floor, Unit No. 401, 403, 501, 502, L.B.S. Road, Kurla, Mumbai, Maharashtra - 400 070",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Aditya Birla Fashion and Retail Limited,2,Corporate Office,"KH No 118/110/1 Building2 Divyashree Technopolis, Yemalur Post, HAL Old Airport Rd, Bengaluru, Karnataka - 560 037",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Bengaluru, Karnataka, India",13.0836939,80.270186,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success
Aditya Birla Fashion and Retail Limited,3,Plant,Banglore and Gurugram,Gurugram,Haryana,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Gurugram, Haryana, India",28.4646148,77.0299194,"Gurugram, Haryana, India",City_Level,Success
Aditya Birla Sun Life AMC Limited,1,Registered Office,"One World Center, Tower 1, 17th Floor, Jupiter Mills, Senapati Bapat Marg Elphinstone Road, Mumbai - 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Aditya Birla Sun Life AMC Limited,2,Corporate Office,"One World Center, Tower 1, 17th Floor, Jupiter Mills, Senapati Bapat Marg, Elphinstone Road, Mumbai - 400013",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Aditya Birla Sun Life AMC Limited,3,Facility,"Mumbai
Fuel consumption pertains to the use of diesel in diesel generator",Mumbai,Maharashtra,India,XBRL_TextExtraction,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Aegis Logistics Limited,1,Registered Office,"502, 5th Floor, Skylon Co. Op. Housing Society Limited., GIDC, Char Rasta, Vapi- 396195, Dist. Valsad, Gujarat State, India",Vapi,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Vapi, Gujarat, India",20.3735482,72.9084376,"Vapi, Daman Road, Vapi, Vapi Taluka, Valsad, Gujarat, 396191, India",City_Level,Success
Aegis Logistics Limited,2,Corporate Office,"1202, Tower B, Peninsula Business Park, G K MARG, Lower Parel (WEST) Mumbai-400013 MH",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Aether Industries Limited,1,Registered Office,"Aether Industries Limited, Plot No. 8203, GIDC Sachin, Surat-394230, Gujarat.",Surat,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Surat, Gujarat, India",21.2094892,72.8317058,"Surat, Katargam Taluka, Surat, Gujarat, 395008, India",City_Level,Success
AIA ENGINEERING LIMITED,1,Registered Office,"115, G.V.M.M. ESTATE, ODAV ROAD, ODHAV, 
AHMEDABAD - 382415",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India",City_Level,Success
AIA ENGINEERING LIMITED,2,Corporate Office,"11/12, SIGMA COPRORATES, B/H. HOF 
SHOWROOM, OFF. S.G. HIGHWAY, SINDHU BHAVAN 
ROAD, BODAKDEV, AHMEDABAD - 380054",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Ahmedabad, Gujarat, India",13.0836939,80.270186,"Ahmedabad, Gujarat, 380001, India",City_Level,Success
AIA ENGINEERING LIMITED,3,Facility,Bavla District,Bavla,,India,XBRL_TextExtraction,False,Tier_1,"Bavla, , India",22.8278859,72.3684741,"Bavla, Bavla Taluka, Ahmedabad, Gujarat, 382220, India",City_Level,Success
Ajanta Pharma Limited,1,Registered Office,"Ajanta House 98, Govt Industrial Area, Charkop, Kandivli (West), Mumbai- 400067, Maharashtra, India.",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Ajanta Pharma Limited,2,Corporate Office,Same as above,Chennai,Tamil Nadu,India,Forensic_Web_Search,False,Tier_1,"Industrial Area, , India",13.0836939,80.270186,"Industrial Area, Chikalthana MIDC, Chhatrapati Sambhaji Nagar, Chhatrapati Sambhajinagar, Maharashtra, 431002, India",City_Level,Success
Akzo Nobel India Limited,1,Registered Office,"801A, South City Business Park, 770, Anandapur, Eastern Metropolitan Bypass, Near Fortis Hospital, E.K.T., Kolkata – 700 107, West Bengal",Kolkata,West Bengal,India,XBRL_RegisteredOffice,False,Tier_1,"Kolkata, West Bengal, India",22.5726459,88.3638953,"Kolkata, West Bengal, India",City_Level,Success
Akzo Nobel India Limited,2,Corporate Office,"9th Floor, Magnum Towers 1, Sector 58, Gurugram 122 011, India",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Gurugram, Haryana, India",13.0836939,80.270186,"Gurugram, Haryana, India",City_Level,Success
ALEMBIC PHARMACEUTICALS LIMITED,1,Registered Office,"ALEMBIC ROAD, VADODARA, Gujarat, India, 390003",Vadodara,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Vadodara, Gujarat, India",22.2973142,73.1942567,"Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India",City_Level,Success
Alkem Laboratories Limited,1,Registered Office,"Alkem House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Alkem Laboratories Limited,2,Plant,"Daman, Ahmedabad, Jaipur, Patna",Chennai,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Daman, Gujarat, India",13.0836939,80.270186,"Daman Ganga, Gujarat, India",City_Level,Success
ALKYL AMINES CHEMICALS LIMITED,1,Registered Office,"401-407 Nirman Vyapar Kendra, Sector 17, Vashi, Navi Mumbai - 400703",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
ALKYL AMINES CHEMICALS LIMITED,2,Corporate Office,"207A, Kakad Chambers, 132, Dr. Annie Besant Road, Worli, Mumbai - 400018",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
ALKYL AMINES CHEMICALS LIMITED,3,Facility,Gujarat this year,Dahej,Gujarat,India,Forensic_Web_Search,False,Tier_1,"Dahej, Gujarat, India",21.709301,72.5893963,"Dahej, SH206, Dahej, Vagra Taluka, Bharuch, Gujarat, 393125, India",City_Level,Success
ALKYL AMINES CHEMICALS LIMITED,4,Facility,Patalganga MIDC,Patalganga,,India,XBRL_TextExtraction,False,Tier_1,"Patalganga, , India",18.8388649,73.3169822,"Patalganga, Jambrung, Khalapur Taluka, Raigad, Maharashtra, India",City_Level,Success
ALOK INDUSTRIES LIMITED,1,Registered Office,"Survey Nos. 17/5/1 & 521/1, Village Rakholi/ Sayli, Silvassa, Union Territory of Dadra and Nagar Haveli and Daman and Diu – 396230",Silvassa,Dadra and Nagar Haveli,India,XBRL_RegisteredOffice,False,Tier_1,"Silvassa, Dadra and Nagar Haveli, India",20.2736768,73.0045787,"Silvassa, Nagar Haveli, Dadra and Nagar Haveli, Dadra and Nagar Haveli and Daman and Diu, 396230, India",City_Level,Success
ALOK INDUSTRIES LIMITED,2,Corporate Office,"Dhirubhai Ambani Knowledge City (DAKC), Building No. 24, 5th and 6th floor, MIDC, Plot no. 1 of 2, TTC Industrial area, Kopar Khairane, Navi Mumbai - 400 710.",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Amara Raja Energy  Mobility Limited,1,Registered Office,"Renignuta-Cuddapah Road, Karakambadi, Tirupati, Andhra Pradesh – 517520.",,Andhra Pradesh,India,XBRL_RegisteredOffice,False,Tier_1,", Andhra Pradesh, India",15.9240905,80.1863809,"Andhra Pradesh, India",City_Level,Success
Amara Raja Energy  Mobility Limited,2,Corporate Office,"TERMINAL A, 1-18/1/AMR/NR, Nanakramguda, Gachibowli, Hyderabad – 500032.",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Hyderabad, Telangana, India",13.0836939,80.270186,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",City_Level,Success
Amber Enterprises India Limited,1,Registered Office,C – 1 Phase – II Focal Point Rajpura Town Punjab – 140401,,Punjab,India,XBRL_RegisteredOffice,False,Tier_1,", Punjab, India",30.9293211,75.5004841,"Punjab, India",City_Level,Success
Amber Enterprises India Limited,2,Corporate Office,Universal Trade Tower 1st Floor Sector – 49 Sohna Road Gurgaon – 122018,Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Gurgaon, Haryana, India",13.0836939,80.270186,"Gurugram, Haryana, India",City_Level,Success
Amber Enterprises India Limited,3,Plant,Faridabad Manesar Pune Rajpura Kothputli,Faridabad,Maharashtra,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Faridabad, Maharashtra, India",19.0543115,72.8329515,"Faridabad, Bazar Road, Vaidya Nagar, H/W Ward, Zone 3, Mumbai, Mumbai Suburban, Maharashtra, 400050, India",City_Level,Success
Ambuja Cements Limited,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India",City_Level,Success
Anand Rathi Wealth Limited,1,Registered Office,"Express Zone, A Wing, 10th Floor, Western Express Highway, Goregaon (E), Mumbai - 400063",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
