Company,Total_Indicators,Has_Core,Has_Biodiversity
Grasim Industries Limited,22,True,False
Grindwell Norton Limited,22,True,False
Gujarat Ambuja Exports Limited,22,True,False
Gujarat Fluorochemicals Limited,22,True,False
Gujarat Pipavav Port Limited,21,True,False
Gujarat State Petronet Limited,22,True,False
HCL Technologies Limited,22,True,False
HDFC Asset Management Company Limited,21,True,False
HDFC Bank Limited,22,True,False
HDFC Life Insurance Company Limited,21,True,False
HEG Limited,22,True,False
HERO MOTOCORP LIMITED,22,True,False
HFCL Limited,22,True,False
HINDALCO INDUSTRIES LIMITED,22,True,False
HINDUSTAN AERONAUTICS LIMITED,21,True,False
HINDUSTAN COPPER LIMITED,22,True,False
HONEYWELL AUTOMATION INDIA LIMITED,22,True,False
Happiest Minds Technologies Limited,22,True,False
Happy Forgings Limited,21,True,False
Hindustan Petroleum Corporation Limited,22,True,False
Hindustan Unilever Limited,22,True,False
Hindustan Zinc Limited,22,True,False
Hitachi Energy India Limited,21,True,False
Home First Finance Company India Limited,20,True,False
Honasa Consumer Limited,20,True,False
ICICI Bank Limited,21,True,False
ICICI Lombard General Insurance Company Limited,21,True,False
ICICI Prudential Life Insurance Company Limited,21,True,False
IDBI Bank Limited,21,True,False
IDFC FIRST Bank Limited,21,True,False
IFCI Limited,18,False,False
IIFL Finance Limited,21,True,False
INDIAN OVERSEAS BANK,21,True,False
INDIAN RAILWAY FINANCE CORPORATION LIMITED,20,True,False
INOX India Limited,21,True,False
INTELLECT DESIGN ARENA LIMITED,22,True,False
IRB Infrastructure Developers Limited,22,True,False
ISGEC Heavy Engineering Limited,21,True,False
ITC Limited,22,True,False
Indegene Limited,21,True,False
Indian Energy Exchange Limited,21,True,False
Indian Oil Corporation Limited,22,True,False
Indian Renewable Energy Development Agency Limited,20,True,False
Indus Towers Limited,22,True,False
IndusInd Bank Limited,21,True,False
Infibeam Avenues Limited,18,False,False
Infosys Limited,22,True,False
Inox Wind Limited,21,True,False
InterGlobe Aviation Limited,22,True,False
Ion Exchange India Limited,21,True,False
Ipca Laboratories Limited,22,True,False
Ircon International Limited,21,True,False
JAI BALAJI INDUSTRIES LIMITED,21,True,False
JAIPRAKASH POWER VENTURES LIMITED,21,True,False
JBM Auto Limited,21,True,False
JINDAL STEEL  POWER LIMITED,21,True,False
JK CEMENT LIMITED,22,True,False
JK LAKSHMI CEMENT LIMITED,22,True,False
JK Tyre  Industries Limited,22,True,False
JM Financial Limited,21,True,False
JSW Energy Limited,22,True,False
JSW Infrastructure Limited,22,True,False
JSW Steel Limited,22,True,False
JUBILANT INGREVIA LIMITED,21,True,False
JYOTHY LABS LIMITED,21,True,False
JYOTI CNC AUTOMATION LIMITED,21,True,False
Jindal Stainless Limited,22,True,False
Jio Financial Services Limited,21,True,False
Jubilant FoodWorks Limited,21,True,False
Jubilant Pharmova Limited,22,True,False
Juniper Hotels Limited,22,True,False
Jupiter Life Line Hospitals Limited,21,True,False
Jupiter Wagons Limited,22,True,False
Just Dial Limited,20,True,False
KARUR VYSYA BANK LIMITED,21,True,False
KEC International Limited,22,True,False
KEI INDUSTRIES LIMITED,22,True,False
KFin Technologies Limited,22,True,False
KIOCL Limited,21,True,False
KNR Constructions Limited,21,True,False
KOTAK MAHINDRA BANK LIMITED,21,True,False
KPI GREEN ENERGY LIMITED,20,True,False
KPIT Technologies Limited,22,True,False
KPR MILL LIMITED,21,True,False
Kajaria Ceramics Limited,21,True,False
Kalpataru Projects International Limited,22,True,False
Kalyan Jewellers India Limited,20,True,False
Kansai Nerolac Paints Limited,22,True,False
Kaynes Technology India Limited,21,True,False
Keystone Realtors Limited,22,True,False
Kirloskar Brothers Limited,22,True,False
Kirloskar Oil Engines Limited,22,True,False
Krishna Institute of Medical Sciences Limited,21,True,False
LAURUS LABS LIMITED,22,True,False
LIC Housing Finance Limited,21,True,False
Latent View Analytics Limited,22,True,False
Lemon Tree Hotels Limited,20,True,False
Life Insurance Corporation of India,20,True,False
Linde India Limited,21,True,False
Lloyds Metals and Energy Limited,21,True,False
Lupin Limited,22,True,False
MACROTECH DEVELOPERS LIMITED,22,True,False
MAHARASHTRA SCOOTERS LIMITED,18,False,False
MANKIND PHARMA LIMITED,21,True,False
MAX HEALTHCARE INSTITUTE LIMITED,21,True,False
MMTC LIMITED,14,False,False
MOIL Limited,22,True,False
MRF Limited,21,True,False
MUTHOOT FINANCE LIMITED,21,True,False
Mahanagar Gas Limited,22,True,False
Maharashtra Seamless Limited,21,True,False
Mahindra  Mahindra Financial Services Limited,22,True,False
Mahindra  Mahindra Limited,22,True,False
Mahindra Holidays  Resorts India Limited,20,True,False
Mahindra Lifespace Developers Limited,22,True,False
Man Infraconstruction Limited,21,True,False
Manappuram Finance Limited,20,True,False
Marico Limited,22,True,False
Maruti Suzuki India Limited,22,True,False
Mastek Limited,22,True,False
Max Financial Services Limited,20,True,False
Mazagon Dock Shipbuilders Limited,22,True,False
MedPlus Health Services Limited,20,True,False
Metro Brands Limited,21,True,False
Metropolis Healthcare Limited,21,True,False
Mishra Dhatu Nigam Limited,21,True,False
Motherson Sumi Wiring India Limited,21,True,False
Motilal Oswal Financial Services Limited,21,True,False
Mphasis Limited,21,True,False
NATCO Pharma Limited,21,True,False
NAVA LIMITED,21,True,False
NBCC India Limited,20,True,False
NCC LIMITED,21,True,False
NETWEB TECHNOLOGIES INDIA LIMITED,22,True,False
NHPC Limited,22,True,False
NLC India Limited,22,True,False
NMDC Limited,22,True,False
NMDC Steel Limited,21,True,False
NTPC LIMITED,22,True,False
NUVAMA WEALTH MANAGEMENT LIMITED,21,True,False
Narayana Hrudayalaya Ltd,22,True,False
Navin Fluorine International Limited,22,True,False
Nestle India Limited,21,True,False
Neuland Laboratories Limited,22,True,False
Newgen Software Technologies Limited,21,True,False
Nippon Life India Asset Management Limited,21,True,False
Nuvoco Vistas Corporation Limited,21,True,False
Oberoi Realty Limited,21,True,False
Oil India Limited,22,True,False
Olectra Greentech Limited,21,True,False
One 97 Communications Limited,22,True,False
Oracle Financial Services Software Limited,21,True,False
PATANJALI FOODS LIMITED,21,True,False
PB FINTECH LIMITED,21,True,False
PI INDUSTRIES LIMITED,22,True,False
PNB Housing Finance Limited,21,True,False
PNC Infratech Limited,21,True,False
POLY MEDICURE LIMITED,21,True,False
PTC Industries Limited,21,True,False
PUNJAB NATIONAL BANK,21,True,False
PVR INOX LIMITED,21,True,False
Page Industries Limited,22,True,False
Persistent Systems Limited,22,True,False
Petronet LNG Limited,22,True,False
Pfizer Limited,21,True,False
Pidilite Industries Limited,21,True,False
Piramal Enterprises Limited,20,True,False
Piramal Pharma Limited,20,True,False
Polycab India Limited,22,True,False
Poonawalla Fincorp Limited,21,True,False
Power Finance Corporation Limited,20,True,False
Power Grid Corporation of India Limited,20,True,False
Power Mech Projects Limited,18,False,False
Praj Industries Limited,21,True,False
Prestige Estates Projects Limited,21,True,False
Prism Johnson Limited,21,True,False
Procter  Gamble Health Limited,21,True,False
Punjab  Sind Bank,21,True,False
Quess Corp Limited,20,True,False
R R Kabel Limited,22,True,False
RAJESH EXPORTS LIMITED,14,False,False
RATTANINDIA ENTERPRISES LIMITED,18,False,False
RBL Bank Limited,20,True,False
REC Limited,22,True,False
RELIANCE POWER LIMITED,21,True,False
RHI Magnesita India Ltd,21,True,False
RITES Limited,21,True,False
Radico Khaitan Limited,21,True,False
Rail Vikas Nigam Limited,21,True,False
Railtel Corporation of India Limited,20,True,False
Ramkrishna Forgings Limited,21,True,False
