Company_Name,Field,Old_Value,New_Value,Source,Timestamp
BANK OF INDIA,Total_Land_ha,62.0,302.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.800880
BANK OF MAHARASHTRA,Total_Land_ha,15.0,100.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.800880
Bajaj Finserv Limited,Total_Land_ha,,18.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.800880
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Total_Land_ha,,0.5,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.802879
IndusInd Bank Limited,Total_Land_ha,5.0,190.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.802879
Infosys Limited,Total_Land_ha,412.0,537.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.802879
KARUR VYSYA BANK LIMITED,Total_Land_ha,24.0,89.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.802879
KNR Constructions Limited,Total_Land_ha,450.0,462.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.802879
KOTAK MAHINDRA BANK LIMITED,Total_Land_ha,15.0,335.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.802879
Keystone Realtors Limited,Total_Land_ha,450.0,475.0,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.803874
Life Insurance Corporation of India,Total_Land_ha,45.2,1195.2,Calculated: Land_Owned + Land_Leased,2026-01-17T18:45:45.803874
Aptus Value Housing Finance India Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.834067
BLS International Services Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.837052
Bajaj Holdings  Investment Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.838997
Bikaji Foods International Limited,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.839968
CE INFO SYSTEMS LIMITED,Renewable_Energy_Pct,,0.0,v3_FINAL_100PCT,2026-01-17T18:45:45.842059
