Company_Name,NSE_Symbol,Sector,Land_Footprint_Hectares,Data_Source,Data_Tier,Confidence,Status
Tech Mahindra Limited,TECHM,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
REC Limited,RECLTD,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Ambuja Cements Limited,AMBUJACEM,Construction Materials,50.0,Estimated (sector avg),Tier 3,40,Tier 3
GAIL (India) Limited,GAIL,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Britannia Industries Limited,BRITANNIA,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
MACROTECH DEVELOPERS LIMITED,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Adani Energy Solutions Limited,ADANIENSOL,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
IndusInd Bank Limited,INDUSINDBK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
INDIAN OVERSEAS BANK,IOB,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Cipla Limited,CIPLA,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
EICHER MOTORS LIMITED,EICHERMOT,Automobile and Auto Components,2.0,NSE Profile,Tier 2,70,Success
UNION BANK OF INDIA,UNIONBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Tata Consumer Products Limited,TATACONSUM,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Adani Total Gas Limited,ATGL,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
DIVI'S LABORATORIES LIMITED,DIVISLAB,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Canara Bank,CANBK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
TVS Motor Company Limited,TVSMOTOR,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Dr. Reddy's Laboratories Limited,DRREDDY,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Havells India Limited,HAVELLS,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Dabur India Limited,DABUR,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
HERO MOTOCORP LIMITED,HEROMOTOCO,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
JSW Energy Limited,JSWENERGY,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
Zydus Lifesciences Limited,ZYDUSLIFE,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Bajaj Holdings & Investment Limited,BAJAJHLDNG,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
NHPC Limited,NHPC,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
Shriram Finance Limited,SHRIRAMFIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
IDBI Bank Limited,IDBI,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
JINDAL STEEL & POWER LIMITED,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Torrent Pharmaceuticals Limited,TORNTPHARM,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
BHARAT HEAVY ELECTRICALS LIMITED,BHEL,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
MANKIND PHARMA LIMITED,MANKIND,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,MOTHERSON,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
United Spirits Limited,UNITDSPR,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Bosch limited,BOSCHLTD,Automobile and Auto Components,0.11,Website: /company/,Tier 1,90,Success
Cummins India Limited,CUMMINSIND,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Polycab India Limited,POLYCAB,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
CG Power and Industrial Solutions Limited,CGPOWER,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Vodafone Idea Limited,IDEA,Telecommunication,0.2,Estimated (sector avg),Tier 3,40,Tier 3
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
ICICI Lombard General Insurance Company Limited,ICICIGI,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
HDFC Asset Management Company Limited,HDFCAMC,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
MAX HEALTHCARE INSTITUTE LIMITED,MAXHEALTH,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Indus Towers Limited,INDUSTOWER,Telecommunication,0.2,Estimated (sector avg),Tier 3,40,Tier 3
Solar Industries India Limited,SOLARINDS,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
Tube Investments of India Limited,TIINDIA,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Lupin Limited,LUPIN,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
YES Bank Limited,YESBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
SRF LIMITED,SRF,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
Marico Limited,MARICO,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Hindustan Petroleum Corporation Limited,HINDPETRO,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Godrej Properties Limited,GODREJPROP,Realty,5.0,Estimated (sector avg),Tier 3,40,Tier 3
NMDC Limited,NMDC,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
Indian Bank,INDIANB,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
SBI Cards and Payment Services Limited,SBICARD,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Oracle Financial Services Software Limited,OFSS,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
AUROBINDO PHARMA LIMITED,AUROPHARMA,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
UCO BANK,UCOBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
General Insurance Corporation of India,GICRE,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Torrent Power Limited,TORNTPOWER,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Oil India Limited,OIL,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Bharat Forge Limited,BHARATFORG,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
BANK OF INDIA,BANKINDIA,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Alkem Laboratories Limited,ALKEM,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Persistent Systems Limited,PERSISTENT,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
Rail Vikas Nigam Limited,RVNL,Construction,1.0,Estimated (sector avg),Tier 3,40,Tier 3
SUZLON ENERGY LIMITED,SUZLON,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Linde India Limited,LINDEINDIA,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
Container Corporation of India Limited,CONCOR,Services,0.2,Estimated (sector avg),Tier 3,40,Tier 3
Supreme Industries Limited,SUPREMEIND,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Steel Authority of India Limited,SAIL,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
IDFC FIRST Bank Limited,IDFCFIRSTB,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
MRF Limited,MRF,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Jindal Stainless Limited,JSL,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
Ashok Leyland Limited,ASHOKLEY,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Oberoi Realty Limited,OBEROIRLTY,Realty,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Prestige Estates Projects Limited,PRESTIGE,Realty,5.0,Estimated (sector avg),Tier 3,40,Tier 3
PI INDUSTRIES LIMITED,PIIND,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
Schaeffler India Limited,SCHAEFFLER,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Astral Limited,ASTRAL,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
L&T Technology Services Limited,LTTS,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
PATANJALI FOODS LIMITED,PATANJALI,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Central Bank of India,CENTRALBK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
JSW Infrastructure Limited,JSWINFRA,Services,0.2,Estimated (sector avg),Tier 3,40,Tier 3
TATA COMMUNICATIONS LIMITED,TATACOMM,Telecommunication,0.2,Estimated (sector avg),Tier 3,40,Tier 3
Aditya Birla Capital Limited,ABCAPITAL,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
THE PHOENIX MILLS LIMITED,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
PB FINTECH LIMITED,POLICYBZR,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Mazagon Dock Shipbuilders Limited,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Balkrishna Industries Limited,BALKRISIND,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Bharti Hexacom Limited,BHARTIHEXA,Telecommunication,0.2,Estimated (sector avg),Tier 3,40,Tier 3
Thermax Limited,THERMAX,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
UNITED BREWERIES LIMITED,UBL,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
SJVN Limited,SJVN,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Tata Elxsi Limited,TATAELXSI,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
ACC Limited,ACC,Construction Materials,50.0,Estimated (sector avg),Tier 3,40,Tier 3
Dixon Technologies (India) Limited,DIXON,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Mphasis Limited,MPHASIS,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
SUNDARAM FINANCE LIMITED,SUNDARMFIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
AU Small Finance Bank Limited,AUBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Tata Technologies Limited,TATATECH,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
Indian Renewable Energy Development Agency Limited,IREDA,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
BANK OF MAHARASHTRA,MAHABANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Uno Minda Limited,UNOMINDA,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
APL Apollo Tubes Limited,APLAPOLLO,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Petronet LNG Limited,PETRONET,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
KPIT Technologies Limited,KPITTECH,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
L&T Finance Limited,LTF,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Kalyan Jewellers India Limited,KALYANKJIL,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Page Industries Limited,PAGEIND,Textiles,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Voltas Limited,VOLTAS,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Punjab & Sind Bank,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
THE NEW INDIA ASSURANCE COMPANY LIMITED,NIACL,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
UPL LIMITED,UPL,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
GUJARAT GAS LIMITED,GUJGASLTD,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
HONEYWELL AUTOMATION INDIA LIMITED,HONAUT,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Bharat Dynamics Limited,BDL,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
IRB Infrastructure Developers Limited,IRB,Construction,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Sona BLW Precision Forgings Limited,SONACOMS,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Gujarat Fluorochemicals Limited,FLUOROCHEM,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Dalmia Bharat Limited,DALBHARAT,Construction Materials,50.0,Estimated (sector avg),Tier 3,40,Tier 3
3M INDIA LIMITED,3MINDIA,Diversified,5.0,Estimated (sector avg),Tier 3,40,Tier 3
AIA ENGINEERING LIMITED,AIAENG,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Poonawalla Fincorp Limited,POONAWALLA,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Escorts Kubota Limited,ESCORTS,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Coforge Limited,COFORGE,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
COROMANDEL INTERNATIONAL LIMITED,COROMANDEL,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
LIC Housing Finance Limited,LICHSGFIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Biocon Limited,BIOCON,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Mahindra & Mahindra Financial Services Limited,M&MFIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
GLOBAL HEALTH LIMITED,MEDANTA,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Nippon Life India Asset Management Limited,NAM-INDIA,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Exide Industries Limited,EXIDEIND,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Hitachi Energy India Limited,POWERINDIA,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Max Financial Services Limited,MFSL,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Fortis Healthcare Limited,FORTIS,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
KEI INDUSTRIES LIMITED,KEI,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Crisil Limited,CRISIL,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
NLC India Limited,NLCINDIA,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
Jubilant FoodWorks Limited,JUBLFOOD,Consumer Services,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Bandhan Bank Limited,BANDHANBNK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Lloyds Metals and Energy Limited,LLOYDSME,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
