Company_Name,Sector,Revenue_Cr
GODREJ AGROVET LIMITED,Unknown,0
Godrej Consumer Products Limited,Unknown,0
Godrej Industries Limited,Unknown,0
Godrej Properties Limited,Unknown,0
Go Digit General Insurance Limited,Unknown,0
GRANULES INDIA LIMITED,Unknown,0
GRAPHITE INDIA LIMITED,Unknown,0
Grasim Industries Limited,Unknown,0
Grindwell Norton Limited,Unknown,0
Gujarat Ambuja Exports Limited,Unknown,0
Gujarat Fluorochemicals Limited,Unknown,0
GUJARAT GAS LIMITED,Unknown,0
Gujarat Pipavav Port Limited,Unknown,0
Gujarat State Petronet Limited,Unknown,0
G R Infraprojects Limited,Unknown,0
Happiest Minds Technologies Limited,Unknown,0
Happy Forgings Limited,Unknown,0
HCL Technologies Limited,Unknown,0
HDFC Asset Management Company Limited,Unknown,0
HDFC Bank Limited,Unknown,0
HDFC Life Insurance Company Limited,Unknown,0
HEG Limited,Unknown,0
HERO MOTOCORP LIMITED,Unknown,0
HFCL Limited,Unknown,0
HINDALCO INDUSTRIES LIMITED,Unknown,0
HINDUSTAN AERONAUTICS LIMITED,Unknown,0
HINDUSTAN COPPER LIMITED,Unknown,0
Hindustan Petroleum Corporation Limited,Unknown,0
Hindustan Unilever Limited,Unknown,0
Hindustan Zinc Limited,Unknown,0
Hitachi Energy India Limited,Unknown,0
Home First Finance Company India Limited,Unknown,0
Honasa Consumer Limited,Unknown,0
HONEYWELL AUTOMATION INDIA LIMITED,Unknown,0
ICICI Bank Limited,Unknown,0
ICICI Lombard General Insurance Company Limited,Unknown,0
ICICI Prudential Life Insurance Company Limited,Unknown,0
IDBI Bank Limited,Unknown,0
IDFC FIRST Bank Limited,Unknown,0
IFCI Limited,Unknown,0
IIFL Finance Limited,Unknown,0
Indegene Limited,Unknown,0
Indian Energy Exchange Limited,Unknown,0
Indian Oil Corporation Limited,Unknown,0
INDIAN OVERSEAS BANK,Unknown,0
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Unknown,0
Indian Renewable Energy Development Agency Limited,Unknown,0
IndusInd Bank Limited,Unknown,0
Indus Towers Limited,Unknown,0
Infibeam Avenues Limited,Unknown,0
Infosys Limited,Unknown,0
INOX India Limited,Unknown,0
Inox Wind Limited,Unknown,0
INTELLECT DESIGN ARENA LIMITED,Unknown,0
InterGlobe Aviation Limited,Unknown,0
Ion Exchange India Limited,Unknown,0
Ipca Laboratories Limited,Unknown,0
IRB Infrastructure Developers Limited,Unknown,0
Ircon International Limited,Unknown,0
ISGEC Heavy Engineering Limited,Unknown,0
ITC Limited,Unknown,0
JAIPRAKASH POWER VENTURES LIMITED,Unknown,0
JAI BALAJI INDUSTRIES LIMITED,Unknown,0
JBM Auto Limited,Unknown,0
Jindal Stainless Limited,Unknown,0
JINDAL STEEL  POWER LIMITED,Unknown,0
Jio Financial Services Limited,Unknown,0
JK CEMENT LIMITED,Unknown,0
JK LAKSHMI CEMENT LIMITED,Unknown,0
JK Tyre  Industries Limited,Unknown,0
JM Financial Limited,Unknown,0
JSW Energy Limited,Unknown,0
JSW Infrastructure Limited,Unknown,0
JSW Steel Limited,Unknown,0
Jubilant FoodWorks Limited,Unknown,0
JUBILANT INGREVIA LIMITED,Unknown,0
Jubilant Pharmova Limited,Unknown,0
Juniper Hotels Limited,Unknown,0
Jupiter Life Line Hospitals Limited,Unknown,0
Jupiter Wagons Limited,Unknown,0
Just Dial Limited,Unknown,0
JYOTHY LABS LIMITED,Unknown,0
JYOTI CNC AUTOMATION LIMITED,Unknown,0
Kajaria Ceramics Limited,Unknown,0
Kalpataru Projects International Limited,Unknown,0
Kalyan Jewellers India Limited,Unknown,0
