Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Land_Degraded_ha,Land_Restored_ha,Total_Land_ha,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Renewable_Energy_Pct,Total_Energy_GJ,Renewable_Energy_GJ
Aarti Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,8078.5789829,0.45,0.0374641669027132,0.005225,0.002645359345084,0.005225,0.007870359345084,0.033298925,Tier 2,75%,620823.0,171010.0,1941181.0,2931534.0,468736.07,1120.0,2733014.0,338303.8038973185,362877.4325540673,58022.09410741392,0.0,OK,450.0,85.0,0.0,0.0,535.0,0.0,0.0,0.0,14.0,,
Aavas Financiers Limited,Financial Services,Pune,Maharashtra,2358.415041658,0.42,0.0011797441546504,0.000297,0.000308142129946,0.000297,0.000605142129946,0.000477576,Tier 2,75%,33.02,2746.2,14430.15,119033.79,12.96,,17209.37,7297.006547202804,50471.94318957426,5.495215969657712,,OK,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,
Adani Energy Solutions Limited,Power Generation,Ahmedabad,Gujarat,24446.55,0.51,0.1562256571307733,0.0054449999999999,0.0047661114516177,0.0054449999999999,0.0102111114516176,0.0910240649999983,Tier 2,75%,1340619.0,420669.0,3963034.0,257504976.0,3789.36,0.0,3926173.0,160602.33448073448,10533387.1650601,155.00592108088873,0.0,OK,850.0,14200.0,0.0,45.0,15050.0,0.0,0.0029900332225913,45.0,18.0,,
Adani Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,97894.75,0.55,0.0374641669027132,0.005225,0.0002137035033861,0.005225,0.0054387035033861,0.5037944999999999,Tier 2,75%,1255719.0,419927.0,9365982.0,5852818.0,247572956.0,342.0,11041628.0,112790.80849585906,59786.842501768486,2528970.71599856,0.0,OK,12400.0,1500.0,450.0,210.0,13900.0,0.0323741007194244,0.0151079136690647,-240.0,2.8,,
Adani Ports and Special Economic Zone Limited,Transportation & Logistics,Delhi,Delhi,32383.08,0.62,0.065,0.0125,0.0015087982029202,0.0125,0.0140087982029202,0.333875,Tier 2,75%,150398.25,323098.43,2005650.0,7795719.0,12344.53594,0.0,2479146.68,76556.8525291603,240734.3279268062,381.2032684970052,0.0,OK,8500.0,4500.0,0.0,2100.0,13000.0,0.0,0.1615384615384615,2100.0,15.0,,
Adani Total Gas Limited,Oil & Gas,Bangalore,Karnataka,5411.68,0.48,0.0971185610539406,0.0154274999999999,0.0096735649109548,0.0154274999999999,0.0251010649109547,0.0743451224999995,Tier 2,75%,80662.0,45200.0,2074877.0,107708.0,139.77,2.4,2200739.0,406664.6586642225,19902.876740679418,25.82746947343524,0.0,OK,45.0,1200.0,0.0,0.0,1245.0,0.0,0.0,0.0,0.1,,
Aditya Birla Capital Limited,Financial Services,Chennai,Tamil Nadu,40589.98,0.52,0.0011797441546504,0.000297,1.7416658445283144e-05,0.000297,0.0003144166584452,0.010461231,Tier 2,75%,39.6,5541.77,12400.0,677104.0,96.23,,5581.370000000001,137.50610372313562,16681.555398647644,2.3707821486977823,,OK,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,87.7,96012.33,84230.95
Aditya Birla Fashion and Retail Limited,Pharmaceuticals & Healthcare,Kolkata,West Bengal,7733.12,0.58,0.0144770016599194,0.003465,0.0005999757744018,0.003465,0.0040649757744018,0.048492675,Tier 2,75%,3024.0,106953.0,1584928.0,204591.0,5156.31,0.0,1694905.0,219174.79620127453,26456.462592071508,666.7826181411901,0.0,OK,0.0,34.6,0.0,0.0,34.6,0.0,0.0,0.0,24.0,,
Aditya Birla Sun Life AMC Limited,Financial Services,Hyderabad,Telangana,1659.0874554,0.45,0.0011797441546504,0.000297,0.000323710286337,0.000297,0.000620710286337,0.00048708,Tier 2,75%,0.25,0.0,1450.0,2851.2,1.9497,,0.25,0.1506852451848151,1718.5350842837793,1.175164090147336,,OK,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,99.8,1490.82,1487.68
Aegis Logistics Limited,Chemicals & Fertilizers,Pune,Maharashtra,2980.3505,0.42,0.0374641669027132,0.005225,0.0022025406073823,0.005225,0.0074275406073823,0.0373274,Tier 2,75%,,,21500.0,13388.0,14.96,0.0,,,4492.0891016006335,5.019543842242716,0.0,PARTIAL ENV DATA,85.0,145.0,0.0,0.0,230.0,0.0,0.0,0.0,0.5,,
Aether Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,991.99,0.51,0.0374641669027132,0.005225,0.0293498081726324,0.005225,0.0345748081726324,0.0034014749999999,Tier 2,75%,7718.84,16496.52,561.77,183505.0,5061.54,14.5,24777.13,24977.19735077975,184986.74381798203,5102.41030655551,0.0,OK,115.0,15.0,0.0,0.0,130.0,0.0,0.0,0.0,8.2,436100.0,35760.0
Ajanta Pharma Limited,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,4648.1,0.55,0.0144770016599194,0.003465,0.0018508486548014,0.003465,0.0053158486548014,0.01490643,Tier 2,75%,6392.0,43598.47,10789.88,490670.4,3071.09,0.0,60780.35,13076.386050214063,105563.64966330328,660.7194337471225,0.0,OK,215.0,15.0,0.0,0.0,230.0,0.0,0.0,0.0,12.5,,
Akzo Nobel India Limited,Chemicals & Fertilizers,Delhi,Delhi,4091.211,0.62,0.0374641669027132,0.005225,0.0058626409590313,0.005225,0.0110876409590313,0.0207014499999999,Tier 2,75%,304.0,8133.0,777.0,130360.0,3398.4,0.0,9214.0,2252.144902817284,31863.42625692002,830.6586973881329,0.0,OK,115.0,15.0,0.0,0.0,130.0,0.0,0.0,0.0,22.0,,
Alkem Laboratories Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,10551.132578511,0.48,0.0144770016599194,0.003465,0.0005487176876785,0.003465,0.0040137176876785,0.04388076,Tier 2,75%,33018.0,76079.0,95400.0,684761.0,5578.0,0.0,109097.0,10339.837850411695,64899.28876399685,528.6636253022214,0.0,OK,620.0,45.0,0.0,0.0,665.0,0.0,0.0,0.0,9.5,,
