Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Land_Degraded_ha,Land_Restored_ha,Total_Land_ha,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Renewable_Energy_Pct,Total_Energy_GJ,Renewable_Energy_GJ
Eris Lifesciences Limited,Pharmaceuticals & Healthcare,Kolkata,West Bengal,1663.6297121,0.58,0.0144770016599194,0.003465,0.0041732907369548,0.003465,0.0076382907369548,0.00697158,Tier 2,75%,342.74,1666.89,8900.0,19124.98,116.18,0.0,2009.63,1207.9791466715535,11495.935580435464,69.83525189228916,0.0,OK,115.0,15.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,,
Escorts Kubota Limited,Chemicals & Fertilizers,Hyderabad,Telangana,11099.751105703,0.45,0.0374641669027132,0.005225,0.0019221155063528,0.005225,0.0071471155063528,0.045828475,Tier 2,75%,11639.29,42962.51,24610.56,514586.01,17185.89,0.0,79212.36,7136.408667695356,46360.139529219545,1548.3130960630251,0.0,OK,450.0,45.0,0.0,12.0,495.0,0.0,0.0242424242424242,12.0,11.0,,
Eureka Forbes Limited,Chemicals & Fertilizers,Pune,Maharashtra,2590.34,0.42,0.0374641669027132,0.005225,0.005372123625517,0.005225,0.010597123625517,0.0153040249999999,Tier 2,75%,109.0,762.0,12400.0,19111.0,1018.67,0.0,871.0,336.24929545928336,7377.795965008454,393.2572558042573,0.0,OK,45.0,85.0,0.0,0.0,130.0,0.0,0.0,0.0,5.0,50000.0,2500.0
Exide Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,17344.1401336,0.51,0.0374641669027132,0.005225,0.001172983309005,0.005225,0.006397983309005,0.0851100249999999,Tier 2,75%,35896.0,350643.0,869455.0,2348994.0,63321.32,1.2,1255994.0,72416.04313187144,135434.44540380544,3650.876867474712,1.2,OK,620.0,45.0,0.0,0.0,665.0,0.0,0.0,0.0,5.4,,
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,5054.9261423,0.55,0.0374641669027132,0.005225,0.005086584804527,0.005225,0.010311584804527,0.0211659991475719,Tier 2,75%,234928.79,111094.0,456000.0,8445168.0,297.131,420.0,346022.79000000004,68452.59065299797,1670680.789839876,58.780482965633375,0.0,OK,1450.0,115.0,0.0,42.0,1565.0,0.0,0.0268370607028754,42.0,5.0,1200000.0,60000.0
FINE ORGANIC INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,2205.19441,0.62,0.0374641669027132,0.005225,0.0107885664095133,0.005225,0.0160135664095133,0.0112494249999999,Tier 2,75%,25520.72,22990.95,34069.79,169850.61,1130.763,0.5,82581.45999999999,37448.60753569568,77022.9641567067,512.772477053395,0.5,OK,115.0,12.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,340662.1,0.0
Finolex Cables Limited,Chemicals & Fertilizers,Bangalore,Karnataka,5318.89,0.48,0.0374641669027132,0.005225,0.0035893812601401,0.005225,0.0088143812601401,0.0261772499999999,Tier 2,75%,6145.0,55108.0,12400.0,285437.0,2277.18,0.0,61253.0,11516.124604945768,53664.76840092575,428.13068140157054,0.0,OK,215.0,15.0,0.0,0.0,230.0,0.0,0.0,0.0,16.5,,
Finolex Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4566.836077,0.52,0.0374641669027132,0.005225,0.0045137550485196,0.005225,0.0097387550485196,0.0225510999999999,Tier 2,75%,353473.99,54106.07,25832.0,3203286.28,17567.387,115.0,433412.06,94904.2296882074,701423.5295487704,3846.730362947512,0.0,OK,450.0,45.0,0.0,0.0,495.0,0.0,0.0,0.0,5.4,,
Firstsource Solutions Limited,Information Technology,Kolkata,West Bengal,2346.843,0.58,0.0009696637386769,0.000396,8.636439932933078e-05,0.000396,0.0004823643993293,0.0025787519999999,Tier 2,75%,0.0,16867.06,26655.0,178673.0,379.34,0.0,43522.06,18544.938881723232,76133.3416849785,161.6384223401395,0.0,OK,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,22.0,,
Five-Star Business Finance Limited,Financial Services,Hyderabad,Telangana,2866.0239,0.45,0.0011797441546504,0.000297,0.0002418609884249,0.000297,0.0005388609884249,0.000651915,Tier 2,75%,1.11,3646.79,450.0,0.0,0.0,,3647.9,1272.8086461526018,0.0,0.0,,OK,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,
Force Motors Ltd,Chemicals & Fertilizers,Pune,Maharashtra,8071.2325704,0.42,0.0374641669027132,0.005225,0.0022572012765943,0.005225,0.0074822012765943,0.036423475,Tier 2,75%,9649.0,36887.0,1245000.0,445298.0,17759.83,0.0,46536.0,5765.662133273621,55171.00345157463,2200.3863530251174,0.0,OK,420.0,15.0,0.0,12.0,435.0,0.0,0.0275862068965517,12.0,1.88,350814.0,6593.0
Fortis Healthcare Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,6931.167,0.51,0.0144770016599194,0.003465,0.0010711259025908,0.003465,0.0045361259025908,0.023884245,Tier 2,75%,4599.54,52228.25,12400.0,1220615.5,3991.65,0.0,56827.79,8198.877620464202,176105.33695119448,575.8986906533921,0.0,OK,85.0,115.0,0.0,0.0,200.0,0.0,0.0,0.0,4.5,,
G R Infraprojects Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,80132.537,0.55,0.0374641669027132,0.005225,0.0022073156718256,0.005225,0.0074323156718256,0.0487753749999999,Tier 2,75%,137340.32,143330.09,452067.5,1106339.0,207997.81687,0.0,732737.91,9144.074772024254,13806.364323645465,2595.672427917764,0.0,OK,45.0,850.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,150000.0,0.0
GAIL India Limited,Oil & Gas,Delhi,Delhi,35537.0,0.62,0.0971185610539406,0.0154274999999999,0.0004510375120108,0.0154274999999999,0.0158785375120107,2.059571249999987,Tier 2,75%,3433115.0,430242.0,30890931.0,20954755.0,12518.47,1563.0,34754288.0,977974.7305625124,589660.2132988153,352.26580746827244,0.0,OK,2150.0,850.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.18,50912004.0,92182.0
GALAXY SURFACTANTS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,3001.27,0.48,0.0374641669027132,0.005225,0.0035239663165397,0.005225,0.0087489663165397,0.0266631749999999,Tier 2,75%,14649.0,27000.0,661027.0,328626.0,13813.59,0.0,702676.0,234126.21990024223,109495.64684283652,4602.581573800425,0.0,OK,115.0,12.0,0.0,0.0,127.0,0.0,0.0,0.0,6.29,497731.0,31313.0
GLAND PHARMA LIMITED,Pharmaceuticals & Healthcare,Chennai,Tamil Nadu,4334.094285633,0.52,0.0144770016599194,0.003465,0.0013291032597383,0.003465,0.0047941032597383,0.01962576,Tier 2,75%,13920.0,80824.0,11200.0,524710.0,1976.66,0.0,94744.0,21860.16126000418,121065.66341654134,456.0722194144205,0.0,OK,345.0,15.0,0.0,0.0,360.0,0.0,0.0,0.0,10.2,,
GLOBAL HEALTH LIMITED,Pharmaceuticals & Healthcare,Kolkata,West Bengal,3771.412,0.58,0.0144770016599194,0.003465,0.0025560611758761,0.003465,0.0060210611758761,0.011382525,Tier 2,75%,5352.6,45915.3,8900.0,535991.0,2071.71,0.0,51267.9,13593.821094062385,142119.45022182676,549.3194591309568,0.0,OK,45.0,315.0,0.0,0.0,360.0,0.0,0.0,0.0,4.2,,
GODAWARI POWER AND ISPAT LIMITED,Steel & Iron,Hyderabad,Telangana,5042.1159505,0.45,0.0840934065650114,0.0096249999999999,0.0069371279476178,0.0096249999999999,0.0165621279476177,0.0525043749999994,Tier 2,75%,1553940.0,266491.0,124000.0,3683124.0,1036724.834,850.0,1820431.0,361045.0489182974,730471.8963543003,205613.04900122213,0.0,OK,247.5,15.2,0.0,0.0,262.7,0.0,0.0,0.0,15.0,2500000.0,375000.0
GODFREY PHILLIPS INDIA LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,6734.931,0.42,0.0374641669027132,0.005225,0.0029499344017884,0.005225,0.0081749344017884,0.02787015,Tier 2,75%,2460.0,14455.0,32400.0,76363.0,3590.9,0.0,16915.0,2511.532783335123,11338.349271878213,533.1754698006558,0.0,OK,142.0,12.5,0.0,0.0,154.5,0.0,0.0,0.0,22.5,107279.7,24174.1
GODREJ AGROVET LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,7087.799636,0.51,0.0374641669027132,0.005225,0.0020105992971044,0.005225,0.0072355992971044,0.049653175,Tier 2,75%,2045.0,39435.0,908833.0,937884.0,40144.88,0.0,950313.0,134077.29461950608,132323.71796126207,5663.941146995482,0.0,OK,850.0,2100.0,0.0,45.0,2950.0,0.0,0.0152542372881355,45.0,89.3,2027010.6,1810552.5
GRANULES INDIA LIMITED,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,3755.0,0.55,0.0144770016599194,0.003465,0.0017670552403363,0.003465,0.0052320552403363,0.01561329,Tier 2,75%,57414.0,18853.0,468062.0,359149.0,6085.91,0.0,544329.0,144961.1185086551,95645.53928095872,1620.7483355525965,0.0,OK,215.0,15.0,0.0,0.0,230.0,0.0,0.0,0.0,24.0,,
GRAPHITE INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,2894.382802882,0.62,0.0374641669027132,0.005225,0.0084403282993031,0.005225,0.0136653282993031,0.0143791999999999,Tier 2,75%,89350.0,181590.0,649973.0,187167.0,33478.906,43.0,920913.0,318172.4957331238,64665.59980028687,11566.854932479671,43.0,OK,215.0,12.0,0.0,0.0,227.0,0.0,0.0,0.0,12.0,,
GUJARAT GAS LIMITED,Oil & Gas,Bangalore,Karnataka,17321.876384,0.48,0.0971185610539406,0.0154274999999999,0.0029813833017326,0.0154274999999999,0.0184088833017325,0.2412243899999984,Tier 2,75%,4088.7,117937.1,20224.4,82349.5,596.0,3.8,142250.2,8212.170370375969,4754.07503058186,34.40735788592267,0.0,OK,112.0,450.0,0.0,0.0,562.0,0.0,0.0,0.0,0.01,588141.37,2.71
Garden Reach Shipbuilders  Engineers Limited,Transportation & Logistics,Chennai,Tamil Nadu,5075.6877,0.52,0.065,0.0125,0.0094097995545657,0.0125,0.0219097995545657,0.0449,Tier 2,75%,0.0,7972.0,18500.0,1178643.0,128.82,,7972.0,1570.624607183771,232213.4594687533,25.37981207945477,,OK,112.0,85.0,0.0,0.0,197.0,0.0,0.0,0.0,1.2,,
General Insurance Corporation of India,Financial Services,Kolkata,West Bengal,49231.65865432,0.58,0.0011797441546504,0.000297,1.5854571798907086e-05,0.000297,0.0003128545717989,0.012817926,Tier 2,75%,0.0,0.0,85.0,5935.0,1.8,,0.0,0.0,120.55250954822772,0.0365618394586031,,OK,0.0,2.1,0.0,0.0,2.1,0.0,0.0,0.0,0.0,,
Genus Power Infrastructures Limited,Power Generation,Hyderabad,Telangana,2442.0126352,0.45,0.1562256571307733,0.0054449999999999,0.0585358415560765,0.0054449999999999,0.0639808415560764,0.0065394449999998,Tier 2,75%,244.0,8078.24,1103804.9,42754.37,1787.52,0.0,1112127.14,455414.1628791847,17507.84143526695,731.9863846050913,0.0,OK,85.0,15.0,0.0,0.0,100.0,0.0,0.0,0.0,23.3,48114.0,11235.0
Gillette India Limited,Chemicals & Fertilizers,Pune,Maharashtra,3217.389261499,0.42,0.0374641669027132,0.005225,0.00597605396853,0.005225,0.01120105396853,0.013757425,Tier 2,75%,288.0,11925.0,4500.0,58272.0,4396.19,0.0,12213.0,3795.9348426214033,18111.579067324525,1366.3842459497082,0.0,OK,15.0,12.0,0.0,0.0,27.0,0.0,0.0,0.0,10.0,,
GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,37234.876,0.51,0.0144770016599194,0.003465,0.0021394583733871,0.003465,0.0056044583733871,0.011957715,Tier 2,75%,1002.89,941911.0,12400.0,78057.0,508.27,0.0,942913.89,25323.40620658976,2096.3410755013665,13.650374450018312,0.0,OK,112.0,15.0,0.0,0.0,127.0,0.0,0.0,0.0,12.0,,
Glenmark Pharmaceuticals Limited,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,9226.4092796,0.55,0.0144770016599194,0.003465,0.0006307312193405,0.003465,0.0040957312193405,0.04374216,Tier 2,75%,17263.0,76186.0,156645.0,529632.0,3808.0,0.0,250094.0,27106.3197416322,57403.9134781328,412.728276472588,0.0,OK,850.0,85.0,0.0,0.0,935.0,0.0,0.0,0.0,12.5,,
Go Digit General Insurance Limited,Financial Services,Delhi,Delhi,10282.1407794,0.62,0.0011797441546504,0.000297,9.31772453354456e-05,0.000297,0.0003901772453354,0.00233145,Tier 2,75%,25.59,2536.65,,12906.0,58.0,,2562.24,249.1932424357952,1255.1860820517877,5.640848656361667,,OK,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1500.0,0.0
Godrej Consumer Products Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,10055.0,0.48,0.0144770016599194,0.003465,0.0004929739498269,0.003465,0.0039579739498269,0.04884264,Tier 2,75%,26047.0,23589.0,2208455.0,503608.0,7493.08,0.0,2258091.0,224573.9433117852,50085.3306812531,745.2093485827946,0.0,OK,412.0,45.0,0.0,0.0,457.0,0.0,0.0,0.0,1.19,,
Godrej Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4171.2152764,0.52,0.0374641669027132,0.005225,0.0011698412772119,0.005225,0.0063948412772119,0.0870119249999999,Tier 2,75%,32796.0,44487.0,431864.0,926067.0,14780.08009,24.0,509147.0,122062.02899204553,222013.7151010938,3543.3510645262263,0.0,OK,540.0,115.0,0.0,0.0,655.0,0.0,0.0,0.0,18.0,,
Godrej Properties Limited,Real Estate & Construction,Kolkata,West Bengal,4922.84,0.58,0.07,0.0035,0.0135153129161118,0.0035,0.0170153129161118,0.0105139999999999,Tier 2,75%,668.3,4433.36,2737107.39,332925.0,1838084.09,0.0,2742209.0500000003,557038.0207359979,67628.64525355282,373378.7996359825,0.0,OK,3450.0,0.0,0.0,0.0,3450.0,0.0,0.0,0.0,12.0,,
Grasim Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,31563.2319949,0.45,0.0374641669027132,0.005225,0.0001287153194141,0.005225,0.0053537153194141,0.68436005,Tier 2,75%,5112096.87,1223512.84,4850000.0,60220464.28,1131684.23,12450.0,12485076.71,395557.6131119064,1907930.857325715,35854.51040574229,0.0,OK,5400.0,620.0,0.0,85.0,6020.0,0.0,0.0141196013289036,85.0,8.4,,
Grindwell Norton Limited,Chemicals & Fertilizers,Pune,Maharashtra,2737.3643486630003,0.42,0.0374641669027132,0.005225,0.0058515991443434,0.005225,0.0110765991443434,0.0140500249999999,Tier 2,75%,29153.0,53183.0,32400.0,168844.0,6461.2,0.0,82336.0,30078.568108850777,61681.23000596095,2360.372671309107,0.0,OK,185.0,15.0,0.0,0.0,200.0,0.0,0.0,0.0,18.0,,
Gujarat Ambuja Exports Limited,Transportation & Logistics,Ahmedabad,Gujarat,4926.9284899,0.51,0.065,0.0125,0.0066834677419354,0.0125,0.0191834677419354,0.062,Tier 2,75%,772138.22,22325.79,23418.25,2392500.0,6685.28,450.0,817882.26,166002.46211744798,485596.6561935141,1356.885940947701,0.0,OK,450.0,22.0,0.0,0.0,472.0,0.0,0.0,0.0,0.01,1250000.0,125.78
Gujarat Fluorochemicals Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,4564.55,0.55,0.0374641669027132,0.005225,0.0048323855057439,0.005225,0.0100573855057439,0.0222793999999999,Tier 2,75%,709492.0,402888.0,3338033.0,4812903.0,89447.36,1120.0,4450413.0,974994.906398221,1054409.087423733,19596.09600070105,0.0,OK,850.0,115.0,0.0,45.0,965.0,0.0,0.0466321243523316,45.0,5.8,,
Gujarat Pipavav Port Limited,Transportation & Logistics,Delhi,Delhi,988.429,0.62,0.065,0.0125,0.0410805300713557,0.0125,0.0535805300713557,0.0122625,Tier 2,75%,578.36,7990.63,45600.0,1042425.0,540.55,0.0,8568.99,8669.302499218456,1054628.101765529,546.8779244639726,0.0,OK,85.0,1250.0,0.0,115.0,1335.0,0.0,0.0861423220973782,115.0,14.2,,
Gujarat State Petronet Limited,Oil & Gas,Bangalore,Karnataka,2031.5390301,0.48,0.0971185610539406,0.0154274999999999,0.0025289919875164,0.0154274999999999,0.0179564919875163,0.2843751074999981,Tier 2,75%,1269.33,6493.71,611.63,38822.0,63.34,4.2,8374.67,4122.327888324039,19109.65008537839,31.178332811495217,0.0,OK,145.0,1200.0,0.0,0.0,1345.0,0.0,0.0,0.0,15.0,450000.0,67500.0
HCL Technologies Limited,Information Technology,Chennai,Tamil Nadu,51105.0,0.52,0.0009696637386769,0.000396,4.587493236577912e-06,0.000396,0.0004005874932365,0.043525548,Tier 2,75%,12900.5,109074.02,269567.38,849928.34,1803.01,0.0,391541.9,7661.518442422464,16631.021230799335,35.28050092945895,0.0,OK,210.0,45.0,0.0,15.0,255.0,0.0,0.0588235294117647,15.0,17.7,,
HDFC Asset Management Company Limited,Financial Services,Kolkata,West Bengal,3498.0295175,0.58,0.0011797441546504,0.000297,0.000216398358538,0.000297,0.000513398358538,0.000939114,Tier 2,75%,441.0,3023.0,9025.0,22305.0,5.86,,12489.0,3570.2957729544087,6376.447050664431,1.6752288597576137,,OK,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,17860.0,0.0
HDFC Bank Limited,Financial Services,Hyderabad,Telangana,346149.3235,0.45,0.0011797441546504,0.000297,1.861225764083805e-06,0.000297,0.000298861225764,0.084714498,Tier 2,75%,77999.5,284877.91,12992.0,2602703.66,4073.1,0.0,593187.45,1713.6750232591453,7519.019923781536,11.76688707294267,0.0,OK,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,
HDFC Life Insurance Company Limited,Financial Services,Pune,Maharashtra,71044.9130582,0.42,0.0011797441546504,0.000297,4.52492210216312e-06,0.000297,0.0003015249221021,0.032522391,Tier 2,75%,226.9,11870.3,6563.75,499415.5,35.3,,34093.2,479.8823523377506,7029.5743706643525,0.4968687901846291,,OK,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,5.2,,
HEG Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,2394.9,0.51,0.0374641669027132,0.005225,0.0079977920135553,0.005225,0.0132227920135553,0.012482525,Tier 2,75%,178393.0,306219.0,360639.0,394428.0,4751.3027,85.0,845251.0,352937.909724832,164694.97682575474,1983.9252995949728,0.0,OK,215.0,15.0,0.0,0.0,230.0,0.0,0.0,0.0,8.5,,
HERO MOTOCORP LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,40756.37,0.55,0.0374641669027132,0.005225,0.0005501199219482,0.005225,0.0057751199219482,0.1957075999999999,Tier 2,75%,19938.0,70547.0,18940829.0,784577.0,19076.13,0.0,19031314.0,466953.1167765922,19250.41410704633,468.0527240281703,0.0,OK,650.0,45.0,0.0,32.0,695.0,0.0,0.0460431654676259,32.0,8.5,,
HFCL Limited,Chemicals & Fertilizers,Delhi,Delhi,4174.72,0.62,0.0374641669027132,0.005225,0.0052021911488649,0.005225,0.0104271911488649,0.0233296249999999,Tier 2,75%,3572.0,19842.0,73611.0,165802.0,1377.24,0.0,97025.0,23241.07964126936,39715.71746129081,329.8999693392611,0.0,OK,145.0,45.0,0.0,0.0,190.0,0.0,0.0,0.0,6.5,,
HINDALCO INDUSTRIES LIMITED,Steel & Iron,Bangalore,Karnataka,93309.1167528,0.48,0.0840934065650114,0.0096249999999999,0.000186907118619,0.0096249999999999,0.0098119071186189,2.078634249999978,Tier 2,75%,25200000.0,410000.0,12410000.0,76570000.0,9529354.67,148260.0,27860000.0,298577.4699144174,820605.774276631,102126.72675110328,0.0,OK,9840.0,1250.0,410.0,320.0,11090.0,0.0369702434625789,0.0288548241659152,-90.0,1.8,,
HINDUSTAN AERONAUTICS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,30980.92,0.52,0.0374641669027132,0.005225,0.0006412352058658,0.005225,0.0058662352058658,0.158740725,Tier 2,75%,75808.0,106510.0,14500.0,14681052.0,18286.26,0.0,182318.0,5884.847835377387,473873.9843748992,590.2426396633799,0.0,OK,2480.0,150.0,0.0,0.0,2630.0,0.0,0.0,0.0,15.2,,
HINDUSTAN COPPER LIMITED,Steel & Iron,Kolkata,West Bengal,2070.967634962,0.58,0.0840934065650114,0.0096249999999999,0.0283570789579689,0.0096249999999999,0.0379820789579688,0.0165549999999998,Tier 2,75%,9186.43,107638.0,154000.0,11420715.0,3200997.216,850.0,116824.43,56410.55322534946,5514675.752144025,1545652.9411473563,0.0,OUTLIER - VERIFY,14500.0,850.0,2100.0,1850.0,15350.0,0.1368078175895765,0.1205211726384364,-250.0,5.0,1200000.0,60000.0
HONEYWELL AUTOMATION INDIA LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,4189.5423787,0.45,0.0374641669027132,0.005225,0.0041937500264231,0.005225,0.0094187500264231,0.0210045,Tier 2,75%,232.09,3772.93,12400.0,32455.0,191.175,0.0,4005.02,955.956435805942,7746.669460847099,45.63147540217052,0.0,OK,0.0,4.2,0.0,0.0,4.2,0.0,0.0,0.0,25.0,,
Happiest Minds Technologies Limited,Information Technology,Pune,Maharashtra,1481.373724,0.42,0.0009696637386769,0.000396,0.0002381630235346,0.000396,0.0006341630235346,0.00067716,Tier 2,75%,1012.0,2872.0,4672.0,71618.6,149.29,5.6,8556.0,5775.720104510237,48346.07151436149,100.77808022467664,5.6,OK,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,9.95,17826.11,1773.21
Happy Forgings Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,1408.895,0.51,0.0374641669027132,0.005225,0.0143659587371306,0.005225,0.0195909587371306,0.0069492499999999,Tier 2,75%,8771.0,96761.0,15400.0,260263.0,27341.96,0.0,105532.0,74904.09150433495,184728.4574081106,19406.669766022307,0.0,OK,45.0,12.0,0.0,0.0,57.0,0.0,0.0,0.0,1.99,557549.0,11078.0
Hindustan Petroleum Corporation Limited,Oil & Gas,Mumbai,Maharashtra,468762.09,0.55,0.0971185610539406,0.0154274999999999,0.0001157079975644,0.0154274999999999,0.0155432079975643,7.121920244999954,Tier 2,75%,5513044.0,1199251.0,143923201.0,56497276.0,134594.2,6499.0,150635496.0,321347.436606915,120524.4135676586,287.1268877566443,0.0,OK,5420.0,1120.0,0.0,15.0,6540.0,0.0,0.0022935779816513,15.0,0.21,,
Hindustan Unilever Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,63121.0,0.62,0.0144770016599194,0.003465,0.0001484354136689,0.003465,0.0036134354136689,0.209525085,Tier 2,75%,8944.0,0.0,9582781.0,2907721.0,90977.0,0.0,11346799.0,179762.6621884951,46065.82595332774,1441.3111325866194,0.0,OK,450.0,25.0,0.0,12.0,475.0,0.0,0.0252631578947368,12.0,97.0,,
Hindustan Zinc Limited,Steel & Iron,Bangalore,Karnataka,34083.392369297995,0.48,0.0840934065650114,0.0096249999999999,0.0013951622822896,0.0096249999999999,0.0110201622822895,0.278470499999997,Tier 2,75%,4467830.0,385798.0,1539762.0,27756734.0,19756818.0,2100.0,6393390.0,187580.799784446,814377.0930795905,579661.1377744417,0.0,OK,18500.0,1250.0,850.0,720.0,19750.0,0.0430379746835443,0.0364556962025316,-130.0,4.8,,
Hitachi Energy India Limited,Power Generation,Chennai,Tamil Nadu,6384.93,0.52,0.1562256571307733,0.0054449999999999,0.0154855779085021,0.0054449999999999,0.020930577908502,0.0285644699999994,Tier 2,75%,4447.0,0.0,729348.61,367776.0,8968.31,,733795.61,114926.17930032122,57600.63148695444,1404.605845326417,,OK,115.0,45.0,0.0,0.0,160.0,0.0,0.0,0.0,87.4,395523.0,345702.0
Home First Finance Company India Limited,Financial Services,Kolkata,West Bengal,1529.95,0.58,0.0011797441546504,0.000297,0.0005929390032038,0.000297,0.0008899390032038,0.000342738,Tier 2,75%,16.47,781.15,450.0,2151.7,0.0,,797.62,521.3372986045296,1406.3858296022745,0.0,,OK,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,
Honasa Consumer Limited,Chemicals & Fertilizers,Hyderabad,Telangana,1865.7065781,0.45,0.0374641669027132,0.005225,0.0087806641178234,0.005225,0.0140056641178234,0.010032,Tier 2,75%,79.2,988.79,5400.0,430.0,162.45,,1067.99,572.4319207190772,230.47568414423657,87.07156950984006,,OK,0.0,115.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,,
ICICI Bank Limited,Financial Services,Pune,Maharashtra,191770.4843,0.42,0.0011797441546504,0.000297,2.7769109130775587e-06,0.000297,0.000299776910913,0.052994601,Tier 2,75%,26337.16,120039.73,161250.0,1573448.0,334.61,,279836.38,1459.225495630664,8204.849696987492,1.7448461958126262,,OK,85.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,7.0,,
ICICI Lombard General Insurance Company Limited,Financial Services,Ahmedabad,Gujarat,28257.7423149,0.51,0.0011797441546504,0.000297,3.139418308748782e-05,0.000297,0.0003283941830874,0.005692005,Tier 2,75%,1424.92,5875.87,5660.4,186490.76,76.81,,12961.19,458.6774787441425,6599.634108124253,2.718193093561439,,OK,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,8.0,,
ICICI Prudential Life Insurance Company Limited,Financial Services,Mumbai,Maharashtra,72135.0,0.55,0.0011797441546504,0.000297,7.828617268411134e-06,0.000297,0.0003048286172684,0.024616251,Tier 2,75%,759.0,6579.0,18062.0,158792.0,42.68,,25400.0,352.11755735773204,2201.3169751161017,0.5916683995286615,,OK,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,4.5,,
IDBI Bank Limited,Financial Services,Delhi,Delhi,33828.33,0.62,0.0011797441546504,0.000297,2.435134586953584e-05,0.000297,0.0003213513458695,0.008920989,Tier 2,75%,2360.87,57763.14,1573.92,333091.94,408.71,,61697.93,1823.853852673188,9846.538093958525,12.081885212778754,,OK,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.4,,
IDFC FIRST Bank Limited,Financial Services,Bangalore,Karnataka,43523.2,0.48,0.0011797441546504,0.000297,1.654765185798755e-05,0.000297,0.0003135476518579,0.010163637,Tier 2,75%,19417.16,42284.12,42680.95,580914.84,799.8,,104382.23,2398.312394309242,13347.245606940663,18.376406146606868,,OK,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,4.8,,
IFCI Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,895.94,0.52,0.0374641669027132,0.005225,0.0087912305006366,0.005225,0.0140162305006366,0.0115786,Tier 2,75%,,,,530.0,0.0,,,,591.5574703663191,0.0,,PARTIAL ENV DATA,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3500.0,0.0
IIFL Finance Limited,Financial Services,Kolkata,West Bengal,4649.4352271,0.58,0.0011797441546504,0.000297,6.522894277380667e-05,0.000297,0.0003622289427738,0.00311553,Tier 2,75%,23.65,12360.26,21818.79,94906.0,34.46,,34202.7,7356.312827124447,20412.371689108542,7.411652881869224,,OK,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,3.21,66155.13,2121.64
