Company_Name,Sector,Facilities_Extracted,Estimated_Total_Facilities,Missing_Facilities,Facility_Types_Expected
C.E. INFO SYSTEMS LIMITED,Information Technology,0,4,4,"['Office', 'Data Center', 'Development Center']"
CEAT Limited,Automobile and Auto Components,1,6,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Techno Electric & Engineering Company Limited,Construction,0,6,6,"['Office', 'Yard', 'Warehouse']"
SHIPPING CORPORATION OF INDIA LIMITED,Services,2,5,3,"['Office', 'Branch']"
Can Fin Homes Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Usha Martin Limited,Capital Goods,3,5,2,"['Office', 'Facility']"
Sun Pharma Advanced Research Company Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Ujjivan Small Finance Bank Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Juniper Hotels Limited,,1,4,3,"['Office', 'Facility']"
TTK PRESTIGE LIMITED,,2,5,3,"['Office', 'Facility']"
Latent View Analytics Limited,Information Technology,1,4,3,"['Office', 'Data Center', 'Development Center']"
Jubilant Pharmova Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Kirloskar Brothers Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
JK LAKSHMI CEMENT LIMITED,Construction Materials,2,8,6,"['Plant', 'Quarry', 'Office', 'Warehouse']"
DOMS Industries Limited,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
NETWEB TECHNOLOGIES INDIA LIMITED,Information Technology,1,4,3,"['Office', 'Data Center', 'Development Center']"
Minda Corporation Limited,Automobile and Auto Components,7,8,1,"['Plant', 'Office', 'Warehouse', 'R&D']"
Electrosteel Castings Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Route Mobile Limited,Telecommunication,3,15,12,"['Office', 'Tower', 'Data Center', 'Store']"
Praj Industries Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
CERA Sanitaryware Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Shree Renuka Sugars Limited,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Anupam Rasayan India Limited,Chemicals,2,7,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
KPI GREEN ENERGY LIMITED,Power,1,12,11,"['Power Plant', 'Substation', 'Office']"
Safari Industries (India) Limited,Consumer Durables,0,5,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Craftsman Automation Limited,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Gujarat Pipavav Port Limited,Services,2,5,3,"['Office', 'Branch']"
Happy Forgings Limited,,2,5,3,"['Office', 'Facility']"
RAJESH EXPORTS LIMITED,,2,5,3,"['Office', 'Facility']"
Voltamp Transformers Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
SAPPHIRE FOODS INDIA LIMITED,Consumer Services,1,12,11,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Mahindra Lifespace Developers Limited,Realty,2,5,3,"['Office', 'Facility']"
Redtape Limited,,1,4,3,"['Office', 'Facility']"
SBFC Finance Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
GALAXY SURFACTANTS LIMITED,,1,4,3,"['Office', 'Facility']"
Infibeam Avenues Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Syrma SGS Technology Limited,Capital Goods,3,5,2,"['Office', 'Facility']"
Force Motors Ltd,Automobile and Auto Components,1,6,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Metropolis Healthcare Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Eureka Forbes Limited,Consumer Durables,1,5,4,"['Factory', 'Office', 'Warehouse', 'Store']"
TEGA INDUSTRIES LIMITED,Capital Goods,1,4,3,"['Office', 'Facility']"
RateGain Travel Technologies Limited,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
MAHARASHTRA SCOOTERS LIMITED,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Thomas Cook  (India)  Limited,Consumer Services,0,12,12,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
JM Financial Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Prism Johnson Limited,Construction Materials,2,8,6,"['Plant', 'Quarry', 'Office', 'Warehouse']"
Star Cement Limited,Construction Materials,2,8,6,"['Plant', 'Quarry', 'Office', 'Warehouse']"
Reliance Infrastructure Limited,Power,1,12,11,"['Power Plant', 'Substation', 'Office']"
ESAB India Limited,,1,4,3,"['Office', 'Facility']"
Varroc Engineering Limited,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Mastek Limited,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
MedPlus Health Services Limited,Consumer Services,1,12,11,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Neuland Laboratories Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Mahindra Holidays & Resorts India Limited,,0,4,4,"['Office', 'Facility']"
Procter & Gamble Health Limited,,0,4,4,"['Office', 'Facility']"
Quess Corp Limited,Services,2,5,3,"['Office', 'Branch']"
Vesuvius India Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
ARVIND LIMITED,Textiles,2,5,3,"['Office', 'Facility']"
Electronics Mart India Limited,Consumer Services,2,12,10,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
SARDA ENERGY & MINERALS LIMITED,,0,4,4,"['Office', 'Facility']"
NAVA LIMITED,Power,2,12,10,"['Power Plant', 'Substation', 'Office']"
Home First Finance Company India Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
CCL Products (India) Limited,,0,4,4,"['Office', 'Facility']"
Shoppers Stop Limited,,2,5,3,"['Office', 'Facility']"
Mishra Dhatu Nigam Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
SAREGAMA India Limited,Media Entertainment & Publication,3,5,2,"['Office', 'Facility']"
Archean Chemical Industries Limited,Chemicals,1,5,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Easy Trip Planners Limited,Consumer Services,1,12,11,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Wockhardt Limited,Healthcare,3,8,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Responsive Industries Limited,,1,4,3,"['Office', 'Facility']"
Jupiter Life Line Hospitals Limited,,2,5,3,"['Office', 'Facility']"
Balrampur Chini Mills Limited,Fast Moving Consumer Goods,1,16,15,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Campus Activewear Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Power Mech Projects Limited,Construction,1,6,5,"['Office', 'Yard', 'Warehouse']"
TVS Supply Chain Solutions Limited,Services,2,5,3,"['Office', 'Branch']"
HEG Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
JUBILANT INGREVIA LIMITED,Chemicals,2,7,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Keystone Realtors Limited,,1,4,3,"['Office', 'Facility']"
KNR Constructions Limited,Construction,2,8,6,"['Office', 'Yard', 'Warehouse']"
Just Dial Limited,,2,5,3,"['Office', 'Facility']"
Man Infraconstruction Limited,Construction,1,6,5,"['Office', 'Yard', 'Warehouse']"
Gujarat Ambuja Exports Limited,Fast Moving Consumer Goods,1,16,15,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Genus Power Infrastructures Limited,,2,5,3,"['Office', 'Facility']"
Sandur Manganese & Iron Ores Limited,Oil Gas & Consumable Fuels,0,6,6,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
Zen Technologies Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
Tamilnad Mercantile Bank Limited,,1,4,3,"['Office', 'Facility']"
Ion Exchange (India) Limited,Utilities,0,4,4,"['Office', 'Facility']"
Chemplast Sanmar Limited,,1,4,3,"['Office', 'Facility']"
MOIL Limited,Metals & Mining,1,9,8,"['Mine', 'Plant', 'Office', 'Warehouse']"
Triveni Engineering & Industries Limited,Fast Moving Consumer Goods,0,16,16,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
VIP INDUSTRIES LIMITED,Consumer Durables,1,5,4,"['Factory', 'Office', 'Warehouse', 'Store']"
ISGEC Heavy Engineering Limited,Construction,2,8,6,"['Office', 'Yard', 'Warehouse']"
IndiGo (InterGlobe Aviation),Aviation & Airports,0,4,4,"['Office', 'Facility']"
Air India,Aviation & Airports,0,4,4,"['Office', 'Facility']"
SpiceJet,Aviation & Airports,0,4,4,"['Office', 'Facility']"
Go First (GoAir),Aviation & Airports,0,4,4,"['Office', 'Facility']"
Vistara (TATA SIA Airlines),Aviation & Airports,0,4,4,"['Office', 'Facility']"
Air Asia India,Aviation & Airports,0,4,4,"['Office', 'Facility']"
Alliance Air,Aviation & Airports,0,4,4,"['Office', 'Facility']"
Akasa Air,Aviation & Airports,0,4,4,"['Office', 'Facility']"
"GMR Airports (Delhi, Hyderabad)",Aviation & Airports,0,4,4,"['Office', 'Facility']"
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Aviation & Airports,0,4,4,"['Office', 'Facility']"
GVK Mumbai Airport,Aviation & Airports,0,4,4,"['Office', 'Facility']"
Bangalore International Airport Ltd (BIAL),Aviation & Airports,0,4,4,"['Office', 'Facility']"
Cochin International Airport,Aviation & Airports,0,4,4,"['Office', 'Facility']"
Airports Authority of India (AAI),Aviation & Airports,0,4,4,"['Office', 'Facility']"
Delhi International Airport Ltd (DIAL),Aviation & Airports,0,4,4,"['Office', 'Facility']"
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,0,4,4,"['Office', 'Facility']"
Essar Steel India,Steel & Iron,0,4,4,"['Office', 'Facility']"
Electrosteel Castings,Steel & Iron,0,4,4,"['Office', 'Facility']"
Uttam Galva Steels,Steel & Iron,0,4,4,"['Office', 'Facility']"
Monnet Ispat,Steel & Iron,0,4,4,"['Office', 'Facility']"
Bhushan Steel,Steel & Iron,0,4,4,"['Office', 'Facility']"
Usha Martin,Steel & Iron,0,4,4,"['Office', 'Facility']"
Kalyani Steels,Steel & Iron,0,4,4,"['Office', 'Facility']"
Sunflag Iron and Steel,Steel & Iron,0,4,4,"['Office', 'Facility']"
Electrosteel Steels,Steel & Iron,0,4,4,"['Office', 'Facility']"
Visa Steel,Steel & Iron,0,4,4,"['Office', 'Facility']"
Adhunik Metaliks,Steel & Iron,0,4,4,"['Office', 'Facility']"
Tayo Rolls,Steel & Iron,0,4,4,"['Office', 'Facility']"
Mukand,Steel & Iron,0,4,4,"['Office', 'Facility']"
APL Apollo Tubes,Steel & Iron,0,4,4,"['Office', 'Facility']"
Nuvoco Vistas Corp (Nirma Cement),Cement,0,4,4,"['Office', 'Facility']"
Sagar Cements,Cement,0,4,4,"['Office', 'Facility']"
Sanghi Industries,Cement,0,4,4,"['Office', 'Facility']"
Birla Corporation,Cement,0,4,4,"['Office', 'Facility']"
JK Lakshmi Cement,Cement,0,4,4,"['Office', 'Facility']"
Kesoram Industries (Cement Division),Cement,0,4,4,"['Office', 'Facility']"
Prism Johnson (Cement),Cement,0,4,4,"['Office', 'Facility']"
Mangalam Cement,Cement,0,4,4,"['Office', 'Facility']"
Burnpur Cement,Cement,0,4,4,"['Office', 'Facility']"
Cement Corporation of India,Cement,0,4,4,"['Office', 'Facility']"
Nestle India,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Britannia Industries,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Amul (GCMMF),Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Mother Dairy,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Parle Products,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Varun Beverages (PepsiCo franchise),Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Coca-Cola India,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Marico,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Dabur India,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Haldiram,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Bikaji Foods,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Mrs. Bectors Food Specialities,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Hatsun Agro Products,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Heritage Foods,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
Kwality,Agriculture & Food Processing,0,4,4,"['Office', 'Facility']"
ITC Limited (Paperboards Division),Paper & Pulp,0,4,4,"['Office', 'Facility']"
West Coast Paper Mills,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Tamil Nadu Newsprint and Papers (TNPL),Paper & Pulp,0,4,4,"['Office', 'Facility']"
Ballarpur Industries (BILT),Paper & Pulp,0,4,4,"['Office', 'Facility']"
JK Paper,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Seshasayee Paper and Boards,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Andhra Pradesh Paper Mills,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Century Pulp and Paper,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Rama Paper Mills,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Shreyans Industries (Paper),Paper & Pulp,0,4,4,"['Office', 'Facility']"
Emami Paper Mills,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Hindustan Paper Corporation,Paper & Pulp,0,4,4,"['Office', 'Facility']"
Coal India Limited,Mining & Minerals,0,4,4,"['Office', 'Facility']"
NMDC (National Mineral Development Corporation),Mining & Minerals,0,4,4,"['Office', 'Facility']"
"Vedanta Resources (Zinc, Copper, Iron)",Mining & Minerals,0,4,4,"['Office', 'Facility']"
MOIL (Manganese Ore India),Mining & Minerals,0,4,4,"['Office', 'Facility']"
Hindustan Copper,Mining & Minerals,0,4,4,"['Office', 'Facility']"
GMDC (Gujarat Mineral Development Corporation),Mining & Minerals,0,4,4,"['Office', 'Facility']"
KIOCL (Kudremukh Iron Ore Company),Mining & Minerals,0,4,4,"['Office', 'Facility']"
Karnataka State Mineral Corporation,Mining & Minerals,0,4,4,"['Office', 'Facility']"
Odisha Mining Corporation,Mining & Minerals,0,4,4,"['Office', 'Facility']"
AP Mineral Development Corporation,Mining & Minerals,0,4,4,"['Office', 'Facility']"
Raymond,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
Arvind Limited,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
"Aditya Birla Fashion (Allen Solly, Peter England)",Textiles & Apparel,0,4,4,"['Office', 'Facility']"
Vardhman Textiles,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
Trident Limited,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
Welspun India,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
Bombay Dyeing,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
KPR Mill,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
Siyaram Silk Mills,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
S Kumars Nationwide,Textiles & Apparel,0,4,4,"['Office', 'Facility']"
Tata Power,Power Generation,0,4,4,"['Office', 'Facility']"
JSW Energy,Power Generation,0,4,4,"['Office', 'Facility']"
Torrent Power,Power Generation,0,4,4,"['Office', 'Facility']"
CESC Limited,Power Generation,1,4,3,"['Office', 'Facility']"
Gujarat State Electricity Corporation,Power Generation,0,4,4,"['Office', 'Facility']"
Damodar Valley Corporation,Power Generation,0,4,4,"['Office', 'Facility']"
Neyveli Lignite Corporation,Power Generation,0,4,4,"['Office', 'Facility']"
Bharat Heavy Electricals Limited (BHEL),Power Generation,0,4,4,"['Office', 'Facility']"
