Company_Name,Sector,Facilities_Extracted,Estimated_Total_Facilities,Missing_Facilities,Facility_Types_Expected
Cochin Shipyard Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
Apollo Tyres Limited,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Metro Brands Limited,,1,4,3,"['Office', 'Facility']"
Ipca Laboratories Limited,Healthcare,3,8,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
GLAND PHARMA LIMITED,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
HINDUSTAN COPPER LIMITED,Metals & Mining,2,9,7,"['Mine', 'Plant', 'Office', 'Warehouse']"
Motherson Sumi Wiring India Limited,Automobile and Auto Components,3,8,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Go Digit General Insurance Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Motilal Oswal Financial Services Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
ZF Commercial Vehicle Control Systems India Limited,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Endurance Technologies Limited,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
One 97 Communications Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Syngene International Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Glenmark Pharmaceuticals Limited,Healthcare,3,8,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Ajanta Pharma Limited,,2,5,3,"['Office', 'Facility']"
APAR Industries Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Godrej Industries Limited,Diversified,2,5,3,"['Office', 'Facility']"
Blue Star Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
K.P.R. MILL LIMITED,Textiles,0,4,4,"['Office', 'Facility']"
TATA CHEMICALS LIMITED,Chemicals,2,7,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
360 ONE WAM LIMITED,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
KIOCL Limited,,1,4,3,"['Office', 'Facility']"
Narayana Hrudayalaya Ltd.,Healthcare,0,6,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Sun TV Network Limited,Media Entertainment & Publication,1,4,3,"['Office', 'Facility']"
EIH Limited,Consumer Services,3,15,12,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Timken India Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
Angel One Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Carborundum Universal Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
Grindwell Norton Limited,,2,5,3,"['Office', 'Facility']"
Vedant Fashions Limited,Consumer Services,1,12,11,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Aditya Birla Fashion and Retail Limited,Consumer Services,3,15,12,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
SKF INDIA LIMITED,,1,4,3,"['Office', 'Facility']"
Brigade Enterprises Limited,Realty,2,5,3,"['Office', 'Facility']"
Sundram Fasteners Limited,Automobile and Auto Components,1,6,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Aarti Industries Limited,Chemicals,4,7,3,"['Plant', 'Office', 'Warehouse', 'R&D']"
Kansai Nerolac Paints Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
CreditAccess Grameen Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
NBCC (India) Limited,Construction,0,6,6,"['Office', 'Yard', 'Warehouse']"
Emami Limited,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
JBM Auto Limited,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
LAURUS LABS LIMITED,Healthcare,3,8,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Radico Khaitan Limited,Fast Moving Consumer Goods,3,16,13,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Ratnamani Metals & Tubes Limited,Capital Goods,0,4,4,"['Office', 'Facility']"
Gillette India Limited,Fast Moving Consumer Goods,1,16,15,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Ircon International Limited,Construction,1,6,5,"['Office', 'Yard', 'Warehouse']"
Cyient Limited,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
Cyient Limited,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
Five-Star Business Finance Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Crompton Greaves Consumer Electricals Limited,Consumer Durables,1,5,4,"['Factory', 'Office', 'Warehouse', 'Store']"
Relaxo Footwears Limited,Consumer Durables,1,5,4,"['Factory', 'Office', 'Warehouse', 'Store']"
Cholamandalam Financial Holdings Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
TRIDENT LIMITED,Textiles,3,5,2,"['Office', 'Facility']"
Aster DM Healthcare Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Pfizer Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
SUMITOMO CHEMICAL INDIA LIMITED,Chemicals,3,7,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
The Ramco Cements Limited,Construction Materials,3,10,7,"['Plant', 'Quarry', 'Office', 'Warehouse']"
Kajaria Ceramics Limited,Consumer Durables,3,7,4,"['Factory', 'Office', 'Warehouse', 'Store']"
Birlasoft Limited,Information Technology,4,5,1,"['Office', 'Data Center', 'Development Center']"
Elgi Equipments Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Devyani International Limited,Consumer Services,3,15,12,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Piramal Enterprises Limited,,3,5,2,"['Office', 'Facility']"
PNB Housing Finance Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Castrol India Limited,Oil Gas & Consumable Fuels,2,6,4,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
Sonata Software Limited,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
IIFL Finance Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
TVS Holdings Limited,,1,4,3,"['Office', 'Facility']"
Gujarat State Petronet Limited,Oil Gas & Consumable Fuels,3,8,5,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
CIE AUTOMOTIVE INDIA LIMITED,Automobile and Auto Components,2,6,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Kaynes Technology India Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
ALEMBIC PHARMACEUTICALS LIMITED,Healthcare,1,6,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Piramal Pharma Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Capri Global Capital Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
KEC International Limited,Construction,2,8,6,"['Office', 'Yard', 'Warehouse']"
BATA INDIA LIMITED,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
CESC Limited,Power,1,12,11,"['Power Plant', 'Substation', 'Office']"
Aegis Logistics Limited,Oil Gas & Consumable Fuels,2,6,4,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
Atul Limited,Chemicals,2,7,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Whirlpool of India Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Cello World Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Jupiter Wagons Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Inox Wind Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Signatureglobal (India) Limited,Realty,0,4,4,"['Office', 'Facility']"
JYOTI CNC AUTOMATION LIMITED,Capital Goods,1,4,3,"['Office', 'Facility']"
R R Kabel Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Shyam Metalics and Energy Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Amara Raja Energy & Mobility Limited,Automobile and Auto Components,0,6,6,"['Plant', 'Office', 'Warehouse', 'R&D']"
NMDC Steel Limited,Metals & Mining,2,9,7,"['Mine', 'Plant', 'Office', 'Warehouse']"
NATCO Pharma Limited,Healthcare,2,8,6,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Vinati Organics Limited,Chemicals,2,7,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
Finolex Cables Limited,Capital Goods,1,4,3,"['Office', 'Facility']"
Chalet Hotels Limited,Consumer Services,1,12,11,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
Kalpataru Projects International Limited,Construction,3,8,5,"['Office', 'Yard', 'Warehouse']"
TBO Tek Limited,Consumer Services,2,12,10,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
