Facility_ID,Company_Name,Corrected_City,Corrected_State,Latitude,Longitude,Confidence
EST_18,Mahindra & Mahindra Financial Services Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_19,Mahindra & Mahindra Financial Services Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_20,Mahindra & Mahindra Financial Services Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_21,Mahindra & Mahindra Financial Services Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_22,Mahindra & Mahindra Financial Services Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_23,Mahindra & Mahindra Financial Services Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_24,Mahindra & Mahindra Financial Services Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_2,K.P.R. MILL LIMITED,Coimbatore,Tamil Nadu,11.0018115,76.9628425,High
EST_3,K.P.R. MILL LIMITED,Coimbatore,Tamil Nadu,11.0018115,76.9628425,High
EST_4,K.P.R. MILL LIMITED,Coimbatore,Tamil Nadu,11.0018115,76.9628425,High
EST_2,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_3,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_4,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_6,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_7,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_8,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_9,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_10,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_11,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_12,Tata Teleservices (Maharashtra) Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_2,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
EST_3,Authum Investment & Infrastructure Limited,Mumbai,Maharashtra,19.054999,72.8692035,High
