Company_Name,Battery Waste,Biomedical Waste,E-Waste Generated,Energy Intensity,Hazardous Air Pollutants,Plastic Waste Generated,Radioactive Waste,Scope 1 GHG Emissions,Scope 2 GHG Emissions,Scope 3 GHG Emissions,Total Energy Consumption,Total Energy from Non-Renewable Sources,Total Energy from Renewable Sources,Total Waste Disposed,Total Waste Generated,Total Waste Recovered,Total Water Discharged,Total Water Withdrawal,Waste Intensity,Waste Recycled,Waste Reused,Water Intensity,Land_Footprint_Hectares_x,Biodiversity_MSA_Loss,Sector,Data_Tier,Land_Footprint_Hectares_y,Total_Indicators,Data_Completeness_Pct
Aarti Industries Limited,22.0,0.07,25.0,0.0001003698,0.0,716.0,0.0,620823.0,171010.0,1941181.0,8075770.0,7874304.0,201466.0,25874.07,468736.07,442862.0,283047.0,2931534.0,5.8257e-06,423623.0,0.0,3.29167e-05,20.0,0.54,Chemicals & Fertilizers,Tier 2,20.0,25,100.0
Aavas Financiers Limited,0.0,0.0,2.95,5.827e-07,,3.954,0.0,33.02,2746.2,14430.15,13741.68,13741.68,0.0,8.62,12.96,4.34,0.0,119033.79,5e-10,4.34,0.0,5.0472e-06,0.1,0.504,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
Adani Energy Solutions Limited,472.92,0.09,366.23,8.28664e-05,0.0,31.25,0.0,1340619.0,420669.0,2164885.0,20257972.0,20201629.0,56343.0,18.54,3789.36,3770.83,129460678.0,257504976.0,1.55e-08,3760.64,7.3,4.2106e-06,100.0,1.275,Power Generation,Tier 2,100.0,25,100.0
Adani Enterprises Limited,99.0,0.0,31.0,1.6483e-05,0.0,4431.0,0.0,1255719.0,419927.0,9365982.0,6808816.0,6210796.0,598020.0,279669.0,247572956.0,247287040.0,1509232.0,5852818.0,0.0005993342,17823.0,247239539.0,1.05151e-05,500.0,0.66,Chemicals & Fertilizers,Tier 2,500.0,25,100.0
Adani Ports and Special Economic Zone Limited,36.61,14.95,58.05,1.24e-08,0.0,318.0,0.0,150398.25,323098.43,2005650.0,3789.68,3506.85,282.83,3053.4675,12344.53594,9291.30622,0.0,7795719.0,4.05e-08,4707.96322,539.343,2.51777e-05,0.2,0.744,Chemicals & Fertilizers,Tier 2,0.2,25,100.0
Adani Total Gas Limited,3.24,0.0,3.18,1.40067e-05,0.0,11.75,0.0,80662.0,45200.0,2074877.0,757997.0,754031.0,3966.0,3.24,139.77,136.53,0.0,107708.0,2.6e-09,136.53,0.0,1.9903e-06,5.0,0.576,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Aditya Birla Capital Limited,0.0,1.3,2.46,1.088e-07,,4.61,0.0,39.6,5541.77,,44157.08,27975.63,16181.45,16.52,96.23,79.7,0.0,677104.0,2e-10,36.97,0.0,1.6682e-06,0.1,0.624,Chemicals & Fertilizers,Tier 2,0.1,23,92.0
Aditya Birla Fashion and Retail Limited,0.0,5.73,2.44,0.0528284245,0.0,136.0,0.0,3024.0,106953.0,1584928.0,791.0,675.0,116.0,5.73,5156.31,5150.0,12655.0,204591.0,0.344373873,3034.0,2116.0,12.8188071863,5.0,0.696,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Aditya Birla Sun Life AMC Limited,0.0,0.4313,0.0446,8.39e-08,,0.0628,0.0,0.25,0.0,,1392.01,3.31,1388.7,0.0,1.9497,0.0,0.0,2851.2,1e-10,0.0,0.0,1.719e-07,0.1,0.54,Chemicals & Fertilizers,Tier 2,0.1,23,92.0
Aegis Logistics Limited,0.0,0.0,0.0,0.00119942,0.0,0.0,0.0,,,,35704083.6,21540322.8,14163760.8,14.96,14.96,0.0,0.0,13388.0,5e-10,0.0,0.0,5.999e-07,5.0,0.504,Chemicals & Fertilizers,Tier 2,5.0,22,88.0
Aether Industries Limited,0.0,0.0,0.0,0.0250698218,0.0,20.41,0.0,7718.84,16496.52,561.77,208.79,97.14,111.65,1005.89,5061.54,4055.64,0.0,183505.0,0.6077489632,852.07,0.0,22.0338026546,1.05,0.612,Chemicals & Fertilizers,Tier 2,1.05,25,100.0
Ajanta Pharma Limited,5.0,12.83,0.09,7.1935e-06,0.0,566.0,0.0,6392.0,43598.47,10789.88,334360.44,274975.35,59385.09,205.98,3071.09,2299.57,142858.4,490670.4,6.61e-08,2286.0,0.0,7.4829e-06,5.0,0.275,Pharmaceuticals,Tier 2,5.0,25,100.0
Akzo Nobel India Limited,0.0,0.0,0.0,1.8858e-06,0.0,0.0,0.0,304.0,8133.0,777.0,77153.0,38929.0,38224.0,450.93,3398.4,2947.55,14209.0,130360.0,8.31e-08,2947.55,0.0,3.1863e-06,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Alkem Laboratories Limited,6.0,17.0,2.0,9.2062e-06,0.0,1528.0,0.0,33018.0,76079.0,,971363.0,763018.0,208345.0,386.37,5578.0,5288.75,28320.0,684761.0,5.29e-08,4546.37,128.23,6.2215e-06,1.0,0.576,Chemicals & Fertilizers,Tier 2,1.0,24,96.0
Amara Raja Energy  Mobility Limited,3680.38,0.18,4.06,126.4520684988,1.73,1987.09,0.0,6816.0,230765.0,451864.0,1568624.0,1171286.0,397338.0,1699.73,27573.26,25873.37,0.0,941500.0,2.2227734385,25873.37,0.0,75.8974888129,,1.3,Power Generation,Tier 2,,23,92.0
Amber Enterprises India Limited,5.47,0.0,103.49,4.4764e-06,0.0,1446.64,0.0,8150.35,57550.75,0.0,446427.11,410645.82,35781.29,59.09,26753.35,26712.02,39718.95,277748.68,2.683e-07,26693.67,18.35,2.3766e-06,5.0,0.696,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Ambuja Cements Limited,35.0,1.0,32.02,0.0003844425,0.0,27195.0,0.0,14756978.0,485448.0,,72494325.0,66306573.0,6187752.0,1.0,283850.79,283850.34,0.0,4703097.26,1.5053e-06,283850.34,0.0,2.49409e-05,50.0,0.45,Cement,Tier 2,50.0,24,96.0
Anand Rathi Wealth Limited,0.0,0.0,0.0,4.516e-07,,0.0,0.0,12.21,789.87,,4087.49,4087.49,0.0,0.0,0.0,0.0,0.0,774.24,0.0,0.0,0.0,8.55e-08,0.1,0.504,Chemicals & Fertilizers,Tier 2,0.1,23,92.0
Anant Raj Limited,0.0,0.0,0.0,9.6809e-06,0.0,0.0,0.0,5.61,23383.67,0.0,118939.26,118939.26,0.0,0.0,937.445,0.0,31632.4,39510.0,7.63e-08,0.0,0.0,3.1866e-06,5.0,0.612,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Anupam Rasayan India Limited,0.0,0.01,0.0,9.15871e-05,0.0,139.0,0.0,84581.0,32046.0,236144.0,1316083.0,1215764.0,100319.0,3312.0,30489.01,163740.0,57520.0,517048.0,2.1218e-06,22057.0,809.0,3.19789e-05,20.0,0.66,Chemicals & Fertilizers,Tier 2,20.0,25,100.0
Apollo Tyres Limited,89.48,0.14,68.77,3.4195e-05,0.0,1997.07,0.0,257515.55,241414.3,176362.23,6110846.16,4978570.57,1132275.59,1296.28,32091.05,30794.77,0.0,1888750.0,1.796e-07,30794.77,0.0,1.0562e-06,10.0,0.744,Chemicals & Fertilizers,Tier 2,10.0,25,100.0
Aptus Value Housing Finance India Limited,0.0,0.0,0.0,5.40227e-05,,0.0,0.0,,,,945398.0,945398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.576,Chemicals & Fertilizers,Tier 2,0.1,21,84.0
Asahi India Glass Limited,16.42,0.06,4.0,0.0001394005,0.0,466.0,0.0,260368.0,146799.0,,6010406.0,5426270.0,584136.0,6735.0,32430.48,25696.0,13898.0,650486.0,7.522e-07,17833.0,7363.0,1.47645e-05,10.0,0.624,Chemicals & Fertilizers,Tier 2,10.0,24,96.0
Ashok Leyland Limited,45.06,0.87,20.01,4.0362e-06,0.0,1152.95,0.0,30986.68,69608.31,144225.0,1564125.83,767429.05,796696.78,324.27,165363.86,156777.21,21010.0,878006.81,4.267e-07,154798.48,461.47,2.496e-06,5.0,0.696,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Asian Paints Limited,64.8,0.8,14.9,5.1627e-06,0.0,2418.8,0.0,87435.0,52727.0,3220000.0,1525716.0,1298714.0,227002.0,738.6,19490.4,18751.7,14278.0,1365903.0,6.6e-08,17745.5,493.9,4.5736e-06,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Aster DM Healthcare Limited,10.0,1159.0,3.0,7.4312e-06,,78.0,0.0,3058.0,46335.0,1377.0,307537.0,264552.0,42985.0,0.0,2587.0,750.0,420405.91,1235522.62,6.25e-08,750.0,0.0,2.98546e-05,1.0,0.504,Chemicals & Fertilizers,Tier 2,1.0,24,96.0
AstraZeneca Pharma India Limited,0.04,0.0069,0.58,1.3359e-06,0.0,0.1,0.0,312.04,1233.65,,22927.54,10626.34,12301.2,20.282,26.2669,6.09,384.03,22534.27,1.5e-09,6.09,0.0,1.2906e-06,5.0,0.255,Pharmaceuticals,Tier 2,5.0,24,96.0
Astral Limited,0.0,0.0,0.0,1.111e-05,0.0,1306.63,0.0,4059.31,88414.34,,588386.75,502647.85,85738.9,5918.25,6420.01,453.88,0.0,132144.59,1.212e-07,453.88,0.0,2.4952e-06,5.0,0.66,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
Atul Limited,8.39,0.058,1.12,0.0001539115,10.49,1792.63,0.0,656894.0,144301.0,,7810518.0,7628346.0,182172.0,16861.93,203008.948,186146.56,3690111.0,4570869.0,4.0004e-06,186082.93,63.63,9.00721e-05,0.204386688,0.744,Chemicals & Fertilizers,Tier 2,0.204386688,24,96.0
Authum Investment  Infrastructure Limited,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.576,Chemicals & Fertilizers,Tier 2,,15,60.0
Avenue Supermarts Limited,0.0,0.0,11.0,22.1555668724,0.0,6861.0,0.0,15506.0,204890.0,40517.0,1280366.0,1108243.0,172123.0,81625.0,83198.0,0.0,0.0,1442141.0,1.4396655743,0.0,0.0,24.9549358269,5.0,0.624,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Axis Bank Limited,34.48,0.0,396.89,5.7081e-06,,3.69,0.0,11347.36,128997.62,41566.9,825462.55,752988.33,72474.22,24.86,855.94,839.24,0.0,179489.2,5.9e-09,656.87,0.0,1.2412e-06,0.1,0.0058,Financial Services,Tier 2,0.1,24,96.0
BAJAJ ELECTRICALS LIMITED,0.0,0.0,9.5,1.1656e-06,0.0,47.22,0.0,1498.16,5106.96,433629.94,56278.65,49289.74,6988.91,46.53,2142.48,2095.54,0.0,43837.94,4.44e-08,2083.93,11.61,9.079e-07,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
BANK OF INDIA,447.5,0.0,48.0,6.869e-07,,0.0,0.0,9106.24,88417.59,0.0,548254.57,547280.11,974.46,0.0,2916.3,2916.3,491482.08,614352.6,3.7e-09,2916.3,0.0,7.697e-07,0.1,0.0042,Financial Services,Tier 2,0.1,24,96.0
BANK OF MAHARASHTRA,48.81,0.0,20.13,5.989e-07,,0.0,0.0,804.0,31925.0,,170091.57,169182.1,909.47,0.0,80.94,20.13,139198.0,173997.68,3e-10,20.13,0.0,6.126e-07,0.1,0.0051,Financial Services,Tier 2,0.1,23,92.0
BASF India Limited,3.48,0.013,4.35,3.5396e-06,0.0,13.71,0.0,17750.55,14997.4,,536687.43,327460.36,209227.07,854.89,6162.243,0.0,374975.0,677015.0,4.06e-08,0.0,0.0,4.4651e-06,20.0,0.66,Chemicals & Fertilizers,Tier 2,20.0,24,96.0
BATA INDIA LIMITED,0.0,0.0,1.15,1.0519e-06,0.0,11.51,0.0,342.21,4452.89,,36691.69,28041.18,8650.51,438.0,580.37,142.0,434501.0,488359.0,1.66e-08,142.0,0.0,1.5441e-06,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
BEML Limited,12.86,8.62,6.32,0.0033431212,0.0,13.52,0.0,2829.31,8429.72,0.0,128350111.91,81459481.91,46890630.0,4507.0,7512.43,0.0,145801.0,384315.0,1.957e-07,0.0,0.0,6.2125e-06,5.0,0.576,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
BHARAT ELECTRONICS LIMITED,96.15,2.72,122.73,10.8037239819,0.0,42.7,0.0,9204.38,17926.0,,255594.61,114446.76,141147.85,139.71,1345.52,1478.15,407444.74,1447204.0,0.0568737607,1478.15,0.0,61.1718398969,5.0,0.624,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
BHARAT HEAVY ELECTRICALS LIMITED,70.75,11.68,117.78,9.2434e-06,3.65,107.68,0.0,135975.14,161227.44,0.0,2619528.39,2477389.31,142139.08,42921.84,56296.4,846.62,194969.0,9252632.0,1.987e-07,391.13,455.49,3.26493e-05,5.0,0.696,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
BLS International Services Limited,0.0,0.0,0.0,1.3588e-06,,0.0,0.0,19.84,322.8,,1881.81,1881.81,0.0,0.0,0.0,0.0,3730.21,4662.77,0.0,0.0,0.0,6.734e-07,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,23,92.0
Bajaj Auto Limited,44.0,0.1,49.0,0.0014586607,0.0,391.0,0.0,23385.0,70779.0,,729480744.0,680033222.0,49447522.0,8116.0,15587.1,7471.0,11025.0,983915.3,3.12e-08,7062.0,400.0,1.9454e-06,10.0,0.504,Chemicals & Fertilizers,Tier 2,10.0,24,96.0
Bajaj Finance Limited,92.74,0.02,34.24,3.454e-07,,0.0,0.0,6169.13,35483.1,20452.05,240862.24,240129.19,733.05,0.022,127.0,126.98,0.0,0.0,2e-10,112.4,0.0,1.2289e-06,0.1,0.612,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
Bajaj Finserv Limited,112.84,0.03,68.94,2.467e-07,,0.0,0.0,8966.0,49491.0,35338.0,330194.0,329024.0,1170.0,0.03,213.16,213.13,0.0,0.0,2e-10,140.83,26.37,8.425e-07,0.1,0.66,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
Bajaj Holdings  Investment Limited,0.0,0.0,0.0,1.5263e-06,,0.0,0.0,2055.64,7.74,,24424.69,24424.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.744,Chemicals & Fertilizers,Tier 2,,21,84.0
Balkrishna Industries Limited,42.15,0.06,14.54,6.8484713163,0.0,2030.32,0.0,675773.0,83684.0,0.0,7131231.0,7095054.0,36177.0,374.45,20494.11,20119.68,2439.0,2087281.0,0.0196815002,12266.38,7853.3,2.0021761511,10.0,0.576,Chemicals & Fertilizers,Tier 2,10.0,25,100.0
Balrampur Chini Mills Limited,15.15,0.22,14.57,0.0004817437,0.0,2997.11,0.0,3492.0,2088.0,710707.0,26088245.0,252279.0,25835966.0,57046.18,97370.29,40324.11,1286727.0,2086269.46,1.798e-06,22399.7,17924.41,1.47643e-05,3.0,0.624,Chemicals & Fertilizers,Tier 2,3.0,25,100.0
Bandhan Bank Limited,0.0,0.0,0.0,0.0,,0.0,0.0,0.47,1284.25,,6.06,6.06,0.0,0.0,0.0,0.0,0.0,65195.0,0.0,0.0,0.0,2.617e-07,0.1,0.0058,Financial Services,Tier 2,0.1,23,92.0
Bharat Dynamics Limited,1.1,0.1077,11.62,2.8326e-06,0.0,1.6,0.0,3491.0,15317.0,0.0,94753.0,70263.0,24490.0,53.12,550.2217,497.1,137455.79,580663.0,1.64e-08,471.56,0.0,1.73589e-05,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Bharat Forge Limited,4.91,0.0056,5.54,3.04975e-05,0.0,177.84,0.0,78486.0,181232.0,517997.0,2697120.0,2166330.0,530790.0,880.77,107049.7956,106169.02,0.0,992253.0,1.2105e-06,106169.02,0.0,1.12198e-05,10.0,0.504,Chemicals & Fertilizers,Tier 2,10.0,25,100.0
Bharti Airtel Limited,2053.0,0.0,2326.0,2.4748e-06,0.0,150.0,0.0,23218.0,490367.0,,2696106.0,2674417.0,21689.0,0.0,8209.0,8075.0,55575.0,128286.0,7.5e-09,8075.0,0.0,6.67e-08,0.2,0.612,Chemicals & Fertilizers,Tier 2,0.2,24,96.0
Bharti Hexacom Limited,0.0,760.0,241.0,1.1187e-05,0.0,1.0,0.0,21448.0,129017.0,,956252.0,929101.0,27151.0,0.0,1280.0,1280.0,3852.0,4466.0,1.5e-08,1280.0,0.0,7.2e-09,0.2,0.66,Chemicals & Fertilizers,Tier 2,0.2,24,96.0
Bikaji Foods International Limited,0.0,0.0,0.0,2.0065468662,0.0,3656.0,0.0,28050.26,14029.44,2045.54,509033.37,499534.72,9498.65,992.96,4648.96,0.0,0.0,178070.0,0.0183256279,0.0,0.0,0.7015358262,3.0,0.744,Chemicals & Fertilizers,Tier 2,3.0,25,100.0
Biocon Limited,1.24,16.35,10.0,40.721271681,0.0,21.0,0.0,23898.0,23656.0,74014.0,1011882.88,373697.56,638185.32,14524.0,28549.59,13919.0,20968.0,501603.0,1.1489230955,13919.0,0.0,20.186043704,1.0,0.576,Chemicals & Fertilizers,Tier 2,1.0,25,100.0
Birla Corporation Limited,12.71,0.62,12.09,0.0004848271,0.0,25028.53,0.0,10383044.11,479527.6,,44674379.0,44408957.0,265422.0,0.62,31951.55,31943.98,0.0,3371325.0,3.468e-07,11870.34,23.79,3.65872e-05,50.0,0.624,Chemicals & Fertilizers,Tier 2,50.0,24,96.0
Birlasoft Limited,5.82,0.11,32.59,1.1077e-06,0.0,0.0,0.0,472.0,3721.0,25607.0,29441.0,26805.0,2636.0,30.17,102.1,71.93,3125.0,38163.0,3.8e-09,71.92,0.01,1.3183e-06,0.5,0.696,Chemicals & Fertilizers,Tier 2,0.5,25,100.0
Blue Dart Express Limited,4.56,0.0,95.19,0.0012959675,0.0,126.51,0.0,170806.0,15906.0,309989.0,74131715.46,74039418.66,92296.8,1.91,234.67,225.84,563.53,87154.17,4.1e-09,225.84,0.0,1.5138e-06,0.2,0.54,Chemicals & Fertilizers,Tier 2,0.2,25,100.0
Blue Star Limited,0.64,0.08,84.35,1.2003e-06,0.0,97.98,0.0,2720.37,16463.5,,135940.18,122743.84,13196.34,6970.89,7517.87,415.84,21537.12,203967.4,6.64e-08,415.84,0.0,1.6108e-06,5.0,0.504,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
Bosch limited,7.74,0.17,37.94,3.6e-09,0.0,442.31,0.0,8455.06,0.0,,654.21,85.89,568.32,527.28,7427.96,6900.68,0.0,473149.42,4.11e-08,5083.94,543.05,3.1143e-06,0.11,0.612,Chemicals & Fertilizers,Tier 2,0.11,24,96.0
Brigade Enterprises Limited,10.66,0.0,2.2,1.23383e-05,0.0,14.12,0.0,6400.85,30756.8,446203.7,626070.97,536594.19,89476.78,87353.34,620739.02,533385.67,54824.0,1782471.5,1.22332e-05,2255.81,279064.79,3.40476e-05,5.0,0.66,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Britannia Industries Limited,0.24,0.19,6.81,1.47026e-05,,5057.0,0.0,105325.0,82969.0,4018960.0,2542942.0,2026977.0,515965.0,11.52,21901.6,21890.0,4798.0,1065418.0,1.266e-07,21890.0,0.0,6.1322e-06,3.0,0.744,Chemicals & Fertilizers,Tier 2,3.0,24,96.0
CCL Products India Limited,0.0,0.0,0.0,0.6225755833,0.0,0.0,0.0,37339.07,34533.83,,10695830467.0,10691099581.0,4730886.0,330.094,330.094,0.0,0.0,1298799.0,1.92e-08,0.0,0.0,7.55996e-05,,0.576,Chemicals & Fertilizers,Tier 2,,22,88.0
CE INFO SYSTEMS LIMITED,0.0,0.0,0.0,0.1102357569,,0.0,0.0,,,,4231.62,0.0,4231.62,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0010941204,,0.624,Chemicals & Fertilizers,Tier 2,,19,76.0
CEAT Limited,4.0,0.03,12.0,3.02908e-05,0.0,1622.0,0.0,100208.0,170128.0,1346498.0,3989804.0,2024409.0,1965395.0,165.0,32075.03,31910.0,17704.0,1387402.0,2.435e-07,31814.0,52.0,9.8824e-06,10.0,0.696,Chemicals & Fertilizers,Tier 2,10.0,25,100.0
CERA Sanitaryware Limited,0.89,0.0,2.85,2.5510543995,0.0,22.79,0.0,19832.0,5943.0,0.0,488591.0,393173.0,95418.0,8484.11,18984.46,10500.33,0.0,164605.0,0.099122559,9198.0,1302.33,0.7886171798,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
CESC Limited,6.76,0.06,55.47,0.0006001673,0.0,0.0,0.0,5515193.14,24567.6,,57520030.47,57518724.55,1305.92,86.56,346.81,134.19,72515566.0,84057523.0,3.6e-09,46.24,87.95,0.0001204294,100.0,0.504,Chemicals & Fertilizers,Tier 2,100.0,24,96.0
CG Power and Industrial Solutions Limited,8.24,7.33,30.63,2.1219e-06,0.0,34.0,0.0,2181.0,31365.0,300000.0,197947.0,175073.0,22874.0,135.38,16933.75,16933.85,82455.0,324791.0,1.815e-07,16916.9,0.0,3.4815e-06,5.0,1.275,Power Generation,Tier 2,5.0,25,100.0
CHENNAI PETROLEUM CORPORATION LIMITED,3.23,0.12,4.28,0.4929859869,0.0,29.6,0.0,2414265.98,15007.0,29.8,35026.61,34933.11,93.5,641.61,27853.09,27211.48,0.0,8954332.0,0.3920214677,27211.48,0.0,126.0287592201,5.0,1.1,Oil & Gas,Tier 2,5.0,25,100.0
CITY UNION BANK LIMITED,0.0,0.0,8.81,2.1384e-06,,0.0,0.0,330.06,31663.71,,143962.05,143962.05,0.0,8.81,8.81,0.0,0.0,93966.48,1e-10,0.0,0.0,1.3958e-06,0.1,0.0062,Financial Services,Tier 2,0.1,23,92.0
COAL INDIA LIMITED,404.74,62.6,13.84,0.0001331676,0.0,60.96,0.0,26676819.21,8319234.08,893653.7,19092097.64,18657475.93,434621.71,600.3,5430158705.62,5430158105.32,2976.73,5892.2,0.0378754245,5816307.0,5424337292.0,4.11e-08,5.0,0.576,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
COROMANDEL INTERNATIONAL LIMITED,56.13,4.32,3.61,8.1828e-06,0.0,0.0,0.0,82938.0,164674.0,,1969106.0,1928526.0,40580.0,34576.54,95159.7,60582.93,286862.0,7319074.0,3.954e-07,21494.17,23093.34,2.92109e-05,20.0,0.624,Chemicals & Fertilizers,Tier 2,20.0,24,96.0
Campus Activewear Limited,0.0,0.0,0.23,5.1928e-06,0.0,44.2,0.0,591.6,14111.51,,82718.1,78293.71,4424.39,0.0,2739.84,2739.85,12340.0,105694.92,1.72e-07,2739.85,0.0,6.706e-06,5.0,0.696,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
Can Fin Homes Limited,0.0,0.0,0.42,3e-10,,0.0,0.0,286.03,1882.84,917.41,11.96,11.96,0.0,0.5,1.76,1.24,0.0,13174.51,0.0,1.24,0.0,3.396e-07,0.1,0.54,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
Canara Bank,0.0,0.0,23.4,7.519e-07,,0.0,0.0,17262.96,157897.79,,1069308.85,1065046.87,4261.98,0.0,23.4,0.0,772295.04,965368.8,0.0,0.0,0.0,6.788e-07,0.1,0.0042,Financial Services,Tier 2,0.1,23,92.0
Caplin Point Laboratories Limited,0.0,50.84,1.06,0.010428062,0.0,41.51,0.0,7502.51,13768.28,,200346764.1,158792234.1,41554530.0,290.65,350.96,60.15,35670.36,57966.38,1.83e-08,60.15,0.0,1.1605e-06,1.0,0.612,Chemicals & Fertilizers,Tier 2,1.0,24,96.0
Capri Global Capital Limited,0.0,0.0,887.5,1.0855e-06,,0.0,0.0,83.58,5153.33,2331.0,26162.19,26162.19,0.0,407.84,951.5,543.66,0.0,56316.17,3.95e-08,254.68,288.98,2.237e-07,0.1,0.66,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
Carborundum Universal Limited,16.0,0.02,24.0,5.1e-08,0.0,695.0,0.0,54519.0,133529.0,,1421.0,1316.0,105.0,11678.0,14746.02,3048.0,0.0,388962.0,5.297e-07,2582.0,461.0,1.39728e-05,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
Cello World Limited,0.0,0.0,0.0,1.92e-07,,0.0,0.0,48.03,312.42,,2136.45,2136.45,0.0,0.0,0.0,0.0,4445.0,4445.0,0.0,0.0,0.0,3.995e-07,5.0,0.576,Chemicals & Fertilizers,Tier 2,5.0,23,92.0
Central Bank of India,0.0,0.0,0.0,0.0,,0.0,0.0,,,,264805.0,0.0,264805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0052,Financial Services,Tier 2,0.1,21,84.0
Century Plyboards India Limited,1.68,0.005,3.56,7.7834077782,0.0,139.87,0.0,50393.0,76345.0,,3166220.0,646977.0,2519243.0,12478.83,187496.945,175018.1,0.0,520423.0,0.4609171757,22792.96,152225.14,1.2793376411,,0.696,Chemicals & Fertilizers,Tier 2,,22,88.0
Chalet Hotels Limited,0.92,0.0,10.39,15.8433099996,0.0,86.08,0.0,5051.56,15228.93,106399.28,272160.34,153408.66,118751.68,29789.51,31614.67,1825.16,0.0,652047.37,1.840389446,491.75,0.0,37.9577296872,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Chemplast Sanmar Limited,5.4,1.38,2.94,0.000279637,0.0,6.29,0.0,559948.66,80885.3,8679.55,6735727.73,6558764.06,176963.67,9539.96,31717.522,22177.56,561245.0,14395195.0,1.3168e-06,496.37,21681.19,0.000533651,5.0,0.504,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Cholamandalam Financial Holdings Limited,0.0,0.0,10.18,2.9e-07,,0.0,0.0,621.0,13369.0,26423.0,97025.0,95173.0,1852.0,179.0,368.25,189.07,275219.0,619242.0,1.1e-09,3.06,0.0,1.8507e-06,0.1,0.0051,Financial Services,Tier 2,0.1,24,96.0
Cholamandalam Investment and Finance Company Limited,0.0,0.0,7.12,3.458e-07,,0.0,0.0,356.0,16924.0,33680.62,90087.3,89893.98,193.32,0.0,7.12,7.12,0.0,0.0,0.0,0.0,0.0,2.2883e-06,0.1,0.66,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
Cipla Limited,107.0,114.0,96.0,7.4617e-06,0.0,3351.0,0.0,778218.0,129087.0,5028316.0,2055520.0,1547341.0,508179.0,3267.0,32213.0,28633.0,44319.0,1632537.0,1.169e-07,23859.0,0.0,5.4233e-06,1.0,0.744,Chemicals & Fertilizers,Tier 2,1.0,25,100.0
Clean Science and Technology Limited,0.0,0.0,0.91,0.00016068,0.0,29.2,0.0,126116.54,8081.33,770.0,1481975.13,1398501.19,83473.94,2774.61,11059.99,8285.38,0.0,422006.54,1.1992e-06,29.2,0.0,4.57552e-05,20.0,0.048,Information Technology,Tier 2,20.0,25,100.0
Cochin Shipyard Limited,28.09,0.045,15.7,3.9843e-06,0.0,20.2,0.0,2687.63,28736.33,,180403.16,157325.12,23078.04,16350.72,12621.181,349.23,16034.0,573954.0,2.787e-07,15.0,334.23,1.2322e-05,5.0,0.624,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
Coforge Limited,26.0,0.007,7.0,1.2613e-06,0.0,2.7,0.0,1265.0,6344.0,29836.0,70087.0,61579.0,8508.0,0.767,56.467,55.0,11172.0,141895.0,1e-09,55.0,0.0,2.3524e-06,0.5,0.696,Chemicals & Fertilizers,Tier 2,0.5,25,100.0
Computer Age Management Services Limited,9.3,0.0,0.0,2.163e-06,,0.67,0.0,908.5,6089.28,11668.42,30768.53,30707.55,60.98,0.0,80.24,80.24,76617.6,86194.8,5.6e-09,80.24,0.0,6.733e-07,0.1,0.54,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
