Company_Name
Varun Beverages (PepsiCo franchise)
Marico
Haldiram Snacks Food Private Limited
IndiGo (InterGlobe Aviation)
Damodar Valley Corporation
Electrosteel Castings Limited
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills)
Bangalore International Airport Ltd (BIAL)
S Kumars Nationwide
ABB India Limited
"Adani Airports (Mumbai, Ahmedabad, 6 others)"
Kalyani Steels
Tata Power
INDIAMART INTERMESH LIMITED
SpiceJet
L&T Finance Limited
CIE AUTOMOTIVE INDIA LIMITED
Welspun Living Limited (formerly Welspun India)
Castrol India Limited
Emami Paper Mills
APL Apollo Tubes
Akasa Air
Bhushan Steel
Electrosteel Steels (ESL Steel Limited)
Archean Chemical Industries Limited
Adhunik Metaliks
Trident Limited
UCO BANK
Dabur India
Cochin International Airport
Delhi International Airport Ltd (DIAL)
Triveni Engineering & Industries Limited
Mukand Limited
Minda Corporation Limited
Electrosteel Castings
Siyaram Silk Mills
KPR Mill Limited
Vardhman Textiles
SARDA ENERGY & MINERALS LIMITED
JK Paper
Bharat Heavy Electricals Limited (BHEL)
Cochin International Airport (CIAL)
Amara Raja Energy & Mobility Limited
JK Tyre & Industries Limited
Mother Dairy
Torrent Power
Shreyans Industries (Paper)
Uttam Galva Steels
Hindustan Paper Corporation
Narayana Hrudayalaya Ltd.
Electrosteel Steels
Nestle India Limited
Sunflag Iron and Steel
LTIMindtree Limited
Kwality
Coca-Cola India
Monnet Ispat (JSW Ispat Special Products Limited)
Nuvoco Vistas Corp (Nirma Cement)
Crisil Limited
Century Plyboards (India) Limited
Mangalam Cement
"GMR Airports (Delhi, Hyderabad)"
Raymond Limited
Heritage Foods
AP Mineral Development Corporation
JSW Energy
Hindustan Coca-Cola Beverages (Coca-Cola India)
Bhushan Steel (Tata Steel BSL)
ITC Limited (Paperboards Division)
Indian Bank
Raymond
Westlife Foodworld Limited
Sanofi India Limited
Garden Reach Shipbuilders & Engineers Limited
West Coast Paper Mills Limited
Alliance Air
Air India
Welspun India
Andhra Pradesh Paper Mills
Ion Exchange (India) Limited
DIVI'S LABORATORIES LIMITED
JK Lakshmi Cement
Dixon Technologies (India) Limited
Hatsun Agro Products
Angel One Limited
Rama Paper Mills
GVK Mumbai Airport
Vistara (TATA SIA Airlines)
Thomas Cook  (India)  Limited
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel
Mukand
Himadri Speciality Chemical Limited
Ratnamani Metals & Tubes Limited
Welspun Living Limited
NBCC (India) Limited
MOIL (Manganese Ore India)
Vesuvius India Limited
Essar Steel India (AM/NS India)
Parle Products
Varun Beverages Limited
Monnet Ispat
Arvind Limited
Schaeffler India Limited
Mahindra & Mahindra Financial Services Limited
Seshasayee Paper and Boards
Britannia Industries
KIOCL (Kudremukh Iron Ore Company)
L&T Technology Services Limited
Century Pulp and Paper
K.P.R. MILL LIMITED
Seshasayee Paper and Boards Limited
Prism Johnson (Cement)
West Coast Paper Mills
LT Finance Limited
Air Asia India
Havells India Limited
Dr. Reddy's Laboratories Limited
Mrs. Bectors Food Specialities
JINDAL STEEL & POWER LIMITED
Burnpur Cement
Bombay Dyeing
Haldiram
CCL Products (India) Limited
KPR Mill
Tayo Rolls
Mahindra & Mahindra Limited
Sandur Manganese & Iron Ores Limited
Neyveli Lignite Corporation
Mahindra Holidays & Resorts India Limited
Gujarat State Electricity Corporation
Ballarpur Industries (BILT)
LT Technology Services Limited
Bikaji Foods
Karnataka State Mineral Corporation
Safari Industries (India) Limited
C.E. INFO SYSTEMS LIMITED
Jindal Saw Limited
Usha Martin Limited
Nestle India
Signatureglobal (India) Limited
Essar Steel India
Usha Martin
Punjab & Sind Bank
Emami Paper Mills Limited
Larsen & Toubro Limited
Procter & Gamble Health Limited
Airports Authority of India (AAI)
Go First (GoAir)
Cement Corporation of India
NMDC (National Mineral Development Corporation)
Sanghi Industries
Data Patterns (India) Limited
Techno Electric & Engineering Company Limited
Tamil Nadu Newsprint and Papers (TNPL)
Bajaj Holdings & Investment Limited
Authum Investment & Infrastructure Limited
Kesoram Industries (Cement Division)
GAIL (India) Limited
Odisha Mining Corporation
Bank of Baroda
Amul (GCMMF)
"Aditya Birla Fashion (Allen Solly, Peter England)"
Larsen  Toubro Limited
Century Pulp and Paper (Century Textiles)
Damodar Valley Corporation (DVC)
GMDC (Gujarat Mineral Development Corporation)
Tata Teleservices (Maharashtra) Limited
