Company_Name
Authum Investment  Infrastructure Limited
Essar Steel India (AM/NS India)
KIOCL (Kudremukh Iron Ore Company)
Varun Beverages (PepsiCo franchise)
SARDA ENERGY & MINERALS LIMITED
Prism Johnson (Cement)
IndiGo (InterGlobe Aviation)
"GMR Airports (Delhi, Hyderabad)"
"Adani Airports (Mumbai, Ahmedabad, 6 others)"
Bangalore International Airport Ltd (BIAL)
Damodar Valley Corporation (DVC)
Haldiram Snacks Food Private Limited
hindalco-TNFD-2024-report
itc-nature-report
JSL-TNFD-Report-FY-2024-25
Vedanta-Aluminium-TNFD-2025
