Company_Name,Sector,Location_Type,NumberOfLocations,Scope3_Relevance,Scope3_Factor,Note
Ratnamani Metals  Tubes Limited,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Relaxo Footwears Limited,Consumer Durables,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Reliance Industries Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,13,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Reliance Infrastructure Limited,Power,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
RELIANCE POWER LIMITED,Power,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
RHI Magnesita India Ltd,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
R R Kabel Limited,Capital Goods,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Safari Industries India Limited,,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,Automobile and Auto Components,Distribution/Service Location,94,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SAPPHIRE FOODS INDIA LIMITED,Consumer Services,Retail Store,847,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
SARDA ENERGY  MINERALS LIMITED,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Schaeffler India Limited,Automobile and Auto Components,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Schneider Electric Infrastructure Limited,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Sheela Foam Limited,Consumer Durables,Distribution/Service Location,7,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Shree Renuka Sugars Limited,Fast Moving Consumer Goods,Retail Store,7,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Shyam Metalics and Energy Limited,Capital Goods,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Siemens Limited,Capital Goods,Distribution/Service Location,17,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Signatureglobal India Limited,,Distribution/Service Location,24,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SJVN Limited,Power,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SKF INDIA LIMITED,,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Sobha Limited,Realty,Distribution/Service Location,66,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Solar Industries India Limited,Chemicals,Distribution/Service Location,25,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Sona BLW Precision Forgings Limited,Automobile and Auto Components,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SRF LIMITED,Chemicals,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Star Cement Limited,Construction Materials,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Steel Authority of India Limited,Metals & Mining,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Sterling and Wilson Renewable Energy Limited,Construction,Distribution/Service Location,170,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SUMITOMO CHEMICAL INDIA LIMITED,Chemicals,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Sundram Fasteners Limited,Automobile and Auto Components,Distribution/Service Location,17,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Sun Pharmaceutical Industries Limited,Healthcare,Clinic/Pharmacy,14,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Sun Pharma Advanced Research Company Limited,Healthcare,Clinic/Pharmacy,2,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Supreme Industries Limited,Capital Goods,Distribution/Service Location,28,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SUPREME PETROCHEM LIMITED,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
SUZLON ENERGY LIMITED,Capital Goods,Distribution/Service Location,11,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Syngene International Limited,Healthcare,Clinic/Pharmacy,6,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Syrma SGS Technology Limited,Capital Goods,Distribution/Service Location,13,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
TATA CHEMICALS LIMITED,Chemicals,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Tata Consumer Products Limited,Fast Moving Consumer Goods,Retail Store,133,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Tata Motors Limited,,Distribution/Service Location,6,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Tata Steel Limited,Metals & Mining,Distribution/Service Location,73,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Techno Electric  Engineering Company Limited,,Distribution/Service Location,48,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
TEGA INDUSTRIES LIMITED,Capital Goods,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Thermax Limited,Capital Goods,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
The Ramco Cements Limited,Construction Materials,Distribution/Service Location,20,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Timken India Limited,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Titan Company Limited,Consumer Durables,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Torrent Pharmaceuticals Limited,Healthcare,Clinic/Pharmacy,7,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Torrent Power Limited,Power,Distribution/Service Location,33,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Triveni Engineering  Industries Limited,,Distribution/Service Location,18,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
TTK PRESTIGE LIMITED,,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Tube Investments of India Limited,Automobile and Auto Components,Distribution/Service Location,25,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
TVS Motor Company Limited,Automobile and Auto Components,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
TVS Supply Chain Solutions Limited,Services,Distribution/Service Location,196,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
UltraTech Cement Limited,Construction Materials,Distribution/Service Location,547,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
UNITED BREWERIES LIMITED,Fast Moving Consumer Goods,Retail Store,20,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
United Spirits Limited,Fast Moving Consumer Goods,Retail Store,20,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Uno Minda Limited,Automobile and Auto Components,Distribution/Service Location,38,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
UPL LIMITED,Chemicals,Distribution/Service Location,14,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
V-GUARD INDUSTRIES LIMITED,Consumer Durables,Distribution/Service Location,8,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
VALOR ESTATE LIMITED,Consumer Services,Retail Store,5,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Varroc Engineering Limited,Automobile and Auto Components,Distribution/Service Location,24,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Varun Beverages Limited,Fast Moving Consumer Goods,Retail Store,36,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Vedanta Limited,Metals & Mining,Distribution/Service Location,93,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Vedant Fashions Limited,Consumer Services,Retail Store,8,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Vesuvius India Limited,Capital Goods,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Vinati Organics Limited,Chemicals,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
VIP INDUSTRIES LIMITED,Consumer Durables,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Voltamp Transformers Limited,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Voltas Limited,Consumer Durables,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Waaree Renewable Technologies Limited,Capital Goods,Distribution/Service Location,47,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Welspun Corp Limited,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Whirlpool of India Limited,Consumer Durables,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Wockhardt Limited,Healthcare,Clinic/Pharmacy,5,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
ZF Commercial Vehicle Control Systems India Limited,Automobile and Auto Components,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Zydus Lifesciences Limited,Healthcare,Clinic/Pharmacy,34,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Zydus Wellness Limited,Fast Moving Consumer Goods,Retail Store,2,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
