Company_Name,Sector,Location_Type,NumberOfLocations,Scope3_Relevance,Scope3_Factor,Note
Castrol India Limited,Oil Gas & Consumable Fuels,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
CCL Products India Limited,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
CEAT Limited,Automobile and Auto Components,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Cello World Limited,Consumer Durables,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Century Plyboards India Limited,,Distribution/Service Location,10,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
CESC Limited,Power,Distribution/Service Location,155,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
CESC Limited,Power Generation,Distribution/Service Location,155,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
CG Power and Industrial Solutions Limited,Capital Goods,Distribution/Service Location,15,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Chalet Hotels Limited,Consumer Services,Retail Store,10,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Chemplast Sanmar Limited,,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
CIE AUTOMOTIVE INDIA LIMITED,Automobile and Auto Components,Distribution/Service Location,23,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Cipla Limited,Healthcare,Clinic/Pharmacy,36,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Clean Science and Technology Limited,Chemicals,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
COAL INDIA LIMITED,Oil Gas & Consumable Fuels,Distribution/Service Location,308,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Cochin Shipyard Limited,Capital Goods,Distribution/Service Location,4,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Concord Biotech Limited,Healthcare,Clinic/Pharmacy,2,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
