Company_Name,Data_Points,Confidence,Extraction_Methods
Birla Corporation Limited,4,MEDIUM,PDF_Extraction
Britannia Industries,4,HIGH,web_search
Castrol India Limited,4,HIGH,web_search
KIOCL (Kudremukh Iron Ore Company),4,HIGH,web_search
APL Apollo Tubes,4,MEDIUM,web_search
HFCL Limited,4,MEDIUM,PDF_Extraction
Inox Wind Limited,4,MEDIUM,PDF_Extraction
Mahindra & Mahindra Limited,4,HIGH,web_search
IndiaMART InterMESH Limited,4,0.95,Manual Search
Ion Exchange (India) Limited,3,MEDIUM,web_search
JK Lakshmi Cement,3,HIGH,web_search
Electrosteel Steels (ESL Steel Limited),3,MEDIUM,web_search
Archean Chemical Industries Limited,3,MEDIUM,web_search
Sobha Limited,3,MEDIUM,PDF_Extraction
Procter & Gamble Health Limited,3,HIGH,web_search
Air India,3,MEDIUM,web_search
Vistara (TATA SIA Airlines),3,MEDIUM,web_search
Bhushan Steel (Tata Steel BSL),3,HIGH,web_search
Dr. Reddy's Laboratories Limited,3,HIGH,web_search
Dixon Technologies (India) Limited,3,MEDIUM,web_search
Angel One Limited,3,MEDIUM,web_search
Hatsun Agro Products,3,HIGH,web_search
Amul (GCMMF),3,MEDIUM,web_search
Amara Raja Energy & Mobility Limited,3,HIGH,web_search
UCO BANK,3,HIGH,web_search
Century Pulp and Paper (Century Textiles),2,MEDIUM,web_search
Usha Martin,2,MEDIUM,PDF_Extraction
Siyaram Silk Mills,2,HIGH,web_search
SpiceJet,2,MEDIUM,web_search
TNFD-Report-FY-2023-24-LTIMindtree,2,MEDIUM,PDF_Extraction
Gujarat State Electricity Corporation,2,MEDIUM,web_search
Atul Limited,2,MEDIUM,PDF_Extraction
Raymond Limited,2,HIGH,web_search
Indus Towers Limited,2,MEDIUM,PDF_Extraction
Bajaj Holdings & Investment Limited,2,HIGH,web_search
Monnet Ispat (JSW Ispat Special Products Limited),2,MEDIUM,web_search
Century Plyboards (India) Limited,2,HIGH,web_search
Nuvoco Vistas Corp (Nirma Cement),2,MEDIUM,web_search
Data Patterns (India) Limited,2,MEDIUM,web_search
Pfizer Limited,2,MEDIUM,PDF_Extraction
Kesoram Industries (Cement Division),2,MEDIUM,web_search
S Kumars Nationwide,2,LOW,web_search
Safari Industries (India) Limited,2,HIGH,web_search
Airports Authority of India (AAI),2,MEDIUM,web_search
Visa Steel,1,MEDIUM,PDF_Extraction
Vedant Fashions Limited,1,MEDIUM,PDF_Extraction
Uttam Galva Steels,1,MEDIUM,web_search
Engineers India Limited,1,MEDIUM,PDF_Extraction
Eureka Forbes Limited,1,MEDIUM,PDF_Extraction
Cement Corporation of India,1,MEDIUM,web_search
Wockhardt Limited,1,MEDIUM,PDF_Extraction
Air Asia India,1,LOW,web_search
Zydus Lifesciences Limited,1,MEDIUM,PDF_Extraction
Metro Brands Limited,1,MEDIUM,PDF_Extraction
Torrent Power,1,MEDIUM,web_search
Go First (GoAir),1,LOW,web_search
MUTHOOT FINANCE LIMITED,1,MEDIUM,PDF_Extraction
Chalet Hotels Limited,1,MEDIUM,PDF_Extraction
NBCC (India) Limited,1,MEDIUM,web_search
MOIL (Manganese Ore India),1,HIGH,web_search
Bombay Dyeing,1,MEDIUM,web_search
Kwality,1,LOW,web_search
Odisha Mining Corporation,1,0.7,Manual Search
PB FINTECH LIMITED,1,MEDIUM,PDF_Extraction
Kajaria Ceramics Limited,1,MEDIUM,PDF_Extraction
JYOTHY LABS LIMITED,1,MEDIUM,PDF_Extraction
