Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR
Alliance Air,Other Business Services,5000000000.0,55.55555555555556,Other business activities,0.05,2.777777777777778,0.05,0.5555555555555556
Sanghi Industries,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Amul (GCMMF),Other Business Services,550000000000.0,6111.111111111111,Other business activities,0.05,305.5555555555556,0.05,0.5555555555555557
Sagar Cements,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Andhra Pradesh Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
SARDA ENERGY & MINERALS LIMITED,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333335
S Kumars Nationwide,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Raymond,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Ratnamani Metals & Tubes Limited,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Punjab & Sind Bank,Financial Services,185899078915.0,2065.545321277778,"Financial intermediation, except insurance and pension funding",0.005,10.32772660638889,0.005,0.05555555555555556
Shreyans Industries (Paper),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Procter & Gamble Health Limited,Healthcare,23961484697.0,266.23871885555553,Other business activities,0.05,13.311935942777778,0.05,0.5555555555555556
Prism Johnson (Cement),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Parle Products,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Odisha Mining Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445
Nuvoco Vistas Corp (Nirma Cement),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Neyveli Lignite Corporation,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Nestle India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
NMDC (National Mineral Development Corporation),Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445
Arvind Limited,Other Business Services,80000000000.0,888.8888888888889,Other business activities,0.05,44.44444444444445,0.05,0.5555555555555556
Mukand,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Mrs. Bectors Food Specialities,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555
Seshasayee Paper and Boards,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Airports Authority of India (AAI),Other Business Services,120000000000.0,1333.3333333333333,Other business activities,0.05,66.66666666666667,0.05,0.5555555555555556
Monnet Ispat,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,50000000000.0,555.5555555555555,Other business activities,0.05,27.77777777777778,0.05,0.5555555555555556
West Coast Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Welspun India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Vistara (TATA SIA Airlines),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
