Company_Name,Indicator_ID,Indicator_Name,Dimension,Value,Unit,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Source_File,Verification,Calculation_Method,Tolerance,Within_Tolerance
ACC Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,461.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,264.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,39453.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,4.2106e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,1769.5,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,1607.3,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,280.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,31.25,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.05151e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,4431.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,2.51777e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,16.57,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,13.54,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,46.43,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,318.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ADANI POWER LIMITED,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,0.0003763891,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,ADANI_POWER_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ADANI POWER LIMITED,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,128663.47,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,ADANI_POWER_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ADANI POWER LIMITED,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,303694.71,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,ADANI_POWER_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ADANI POWER LIMITED,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,17503.15,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,ADANI_POWER_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ADANI POWER LIMITED,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,287.6855,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,ADANI_POWER_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Total Gas Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.9903e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Adani_Total_Gas_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Total Gas Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,5364.19,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Adani_Total_Gas_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Total Gas Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Adani_Total_Gas_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Total Gas Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,4613.48,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Adani_Total_Gas_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Total Gas Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,11.75,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Adani_Total_Gas_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Capital Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.6682e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Aditya_Birla_Capital_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Capital Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,4.61,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Aditya_Birla_Capital_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Fashion and Retail Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,12.8188071863,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Aditya_Birla_Fashion_and_Retail_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Fashion and Retail Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,3.47,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Aditya_Birla_Fashion_and_Retail_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Fashion and Retail Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,8.85,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Aditya_Birla_Fashion_and_Retail_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Fashion and Retail Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,4.65,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Aditya_Birla_Fashion_and_Retail_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Fashion and Retail Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,136.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Aditya_Birla_Fashion_and_Retail_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Sun Life AMC Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.719e-07,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Aditya_Birla_Sun_Life_AMC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aditya Birla Sun Life AMC Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,0.0628,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Aditya_Birla_Sun_Life_AMC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aegis Logistics Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,5.999e-07,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Aegis_Logistics_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aegis Logistics Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,33.15,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Aegis_Logistics_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aegis Logistics Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,40.6,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Aegis_Logistics_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aegis Logistics Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,122.4,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Aegis_Logistics_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aegis Logistics Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,0.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Aegis_Logistics_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
