Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Total_Land_ha,Land_Degraded_Reported_ha,Land_Degraded_HA_Calculated,Land_Degradation_Pct,Land_Restored_ha,Land_Data_Quality,Renewable_Energy_Pct,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Distance_To_Protected_Area_km,Land_Degraded_HA_Reported,Land_Intensity,PA_Proximity_Score,Renewable_Energy_GJ,Total_Energy_GJ,Water_Intensity,Water_Stress_Category,Water_Stress_Score,Water_Recycling_Pct,Water_Discharge_ML,Waste_Recycled_Pct,Plastic_Waste_MT,E_Waste_MT,Scope3_OLD
ARVIND LIMITED,Textiles & Apparel,Bangalore,Karnataka,8621.9527161,0.48,0.04,0.006,0.0024812613078314,0.006,0.0084812613078314,51.731716296600005,Tier 2,75%,253283.0,190808.0,154000.0,2684426.0,34493.0,32.0,598091.0,69368.39248528572,311347.79885620344,4000.6018515492797,0.0,OK,850.0,115.0,965.0,,,,25.0,,43.3,0.4750259067357513,0.0259067357512953,,0.0,458.4,111.92360150595931,0.0,4227890.0,9771300.0,311347.79885620344,Extremely High (4-5),4.990557704403536,86.0,0.0,98.0,783.3,5.8,0.046428
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,18590.0420368,0.52,0.0011797441546504,0.000297,4.88429108613223e-05,0.000297,0.0003458429108613,5.5212424849296005,Tier 2,75%,316.89,28075.87,12450.0,566264.79,162.86,,40842.759999999995,2197.0235419128976,30460.651400306037,8.760604181400439,,OK,5.0,45.0,50.0,,,,,,4.5,0.226,,,0.0,11.3,2.6896119923248305,0.0,0.0,45200.0,30460.65140030604,Extremely High (4-5),4.997639426100884,0.0,251673.0,85.0,5.2,18.4,0.00373032
AUROBINDO PHARMA LIMITED,Pharmaceuticals & Healthcare,Kolkata,West Bengal,34498.9947647,0.58,0.0144770016599194,0.003465,0.0002895200662972,0.003465,0.0037545200662972,119.5390168596855,Tier 2,75%,750616.0,474772.0,360221.0,5543209.0,55538.0,0.0,1585609.0,45961.02033739325,160677.40633625397,1609.84400788476,0.0,OK,1250.0,145.0,1395.0,,,,,,15.5,0.5250179211469533,,,0.0,732.4,40.43596080159963,0.0,812924.0,5806600.0,160677.40633625395,Extremely High (4-5),4.992918278302652,42.0,0.0,74.5,1845.0,12.8,0.10049193
Aarti Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,8078.5789829,0.45,0.0374641669027132,0.005225,0.002645359345084,0.005225,0.007870359345084,42.210575185652495,Tier 2,75%,620823.0,171010.0,1941181.0,2931534.0,468736.07,1120.0,2733014.0,338303.8038973185,362877.4325540673,58022.09410741392,0.0,OK,450.0,85.0,535.0,,,,,,14.0,0.6250467289719626,,,0.0,334.4,66.22451809067402,0.0,1079484.7,7710605.0,362877.4325540673,Extremely High (4-5),4.3109721277773305,38.0,45800.0,62.0,212.0,3.2,0.033298925
Aavas Financiers Limited,Financial Services,Pune,Maharashtra,2358.415041658,0.42,0.0011797441546504,0.000297,0.000308142129946,0.000297,0.000605142129946,0.7004492673724261,Tier 2,75%,33.02,2746.2,14430.15,119033.79,12.96,,17209.37,7297.006547202804,50471.94318957426,5.495215969657712,,OK,,5.0,5.0,,,,,,0.0,0.22,,,0.0,1.1,2.120067889528438,0.0,0.0,4320.0,50471.94318957426,Extremely High (4-5),5.0,0.0,0.0,92.0,0.24,2.15,0.000477576
Adani Energy Solutions Limited,Power Generation,Ahmedabad,Gujarat,24446.55,0.51,0.1562256571307733,0.0054449999999999,0.0047661114516177,0.0054449999999999,0.0102111114516176,133.11146474999754,Tier 2,75%,1340619.0,420669.0,3963034.0,257504976.0,3789.36,0.0,5724322.0,234156.63968944494,10533387.165060101,155.00592108088873,0.0,OK,850.0,14200.0,15050.0,,,,45.0,,18.0,0.1750033222591362,0.0029900332225913,,0.0,2633.8,615.6287901564843,0.0,12368.0,245600.0,10533387.1650601,Extremely High (4-5),4.995278852201768,15.0,0.0,88.0,1.2,45.6,0.0910240649999983
Adani Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,97894.75,0.55,0.0374641669027132,0.005225,0.0002137035033861,0.005225,0.0054387035033861,511.50006875,Tier 2,75%,1255719.0,419927.0,9365982.0,5852818.0,247572956.0,342.0,11041628.0,112790.80849585906,59786.842501768486,2528970.7159985597,0.0,OK,12400.0,1500.0,13900.0,,,,210.0,,2.8,0.0323741007194244,0.0151079136690647,,0.0,450.0,141.98922822725427,0.0,511200.0,4260000.0,59786.842501768486,Extremely High (4-5),5.0,12.5,125000.0,95.0,415.0,22.4,0.5037944999999999
Adani Ports and Special Economic Zone Limited,Transportation & Logistics,Delhi,Delhi,32383.08,0.62,0.065,0.0125,0.0015087982029202,0.0125,0.0140087982029202,404.78850000000006,Tier 2,75%,150398.25,323098.43,2005650.0,7795719.0,12344.53594,0.0,2479146.68,76556.8525291603,240734.3279268062,381.2032684970052,0.0,OK,8500.0,4500.0,13000.0,,,,2100.0,,15.0,0.375,0.1615384615384615,,0.0,4875.0,401.4442109891956,0.0,193940.0,1140800.0,240734.3279268062,Extremely High (4-5),4.988669245284243,22.0,0.0,91.0,124.0,14.5,0.333875
Adani Total Gas Limited,Oil & Gas,Bangalore,Karnataka,5411.68,0.48,0.0971185610539406,0.0154274999999999,0.0096735649109548,0.0154274999999999,0.0251010649109547,83.48869319999946,Tier 2,75%,80662.0,45200.0,2074877.0,107708.0,139.77,2.4,2200739.0,406664.6586642225,19902.876740679418,25.827469473435237,0.0,OK,45.0,1200.0,1245.0,,,,,,0.1,0.1750200803212851,,,0.0,217.9,230.05794873311058,0.0,3776.0,694623.0,19902.876740679418,Extremely High (4-5),4.990557704403536,0.0,0.0,78.0,0.85,1.4,0.0743451224999995
Aditya Birla Capital Limited,Financial Services,Chennai,Tamil Nadu,40589.98,0.52,0.0011797441546504,0.000297,1.7416658445283144e-05,0.000297,0.0003144166584452,12.05522406,Tier 2,75%,39.6,5541.77,12400.0,677104.0,96.23,,17981.370000000003,443.0002182804722,16681.555398647644,2.3707821486977823,,OK,,22.0,22.0,,,,,,87.7,0.2272727272727272,,,0.0,5.0,0.5420056871178551,0.0,84230.95,96012.33,16681.555398647644,Extremely High (4-5),4.972667083572188,0.0,0.0,94.0,1.5,12.8,0.010461231
