Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,GNFC,Chemicals & Fertilizers,10148.226575316501,4059.29,
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,GSFC,Chemicals & Fertilizers,9566.4452305185,3826.58,
Anupam Rasayan India Ltd.,ANURAS,ANURAS,Chemicals & Fertilizers,9541.5771228885,3816.63,
Rashtriya Chemicals & Fertilizers Ltd.,RCF,RCF,Chemicals & Fertilizers,8561.225028524499,3424.49,
Archean Chemical Industries Ltd.,ACI,ACI,Chemicals & Fertilizers,8032.406702804,3212.96,
Jubilant Ingrevia Ltd.,JUBLINGREA,JUBLINGREA,Chemicals & Fertilizers,7852.810650229,3141.12,
Balaji Amines Ltd.,BALAMINES,BALAMINES,Chemicals & Fertilizers,7308.9310802845,2923.57,
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,DEEPAKFERT,Chemicals & Fertilizers,7195.0881426005,2878.04,
Laxmi Organic Industries Ltd.,LXCHEM,LXCHEM,Chemicals & Fertilizers,7025.766155986001,2810.31,
Paradeep Phosphates Ltd.,PARADEEP,PARADEEP,Chemicals & Fertilizers,6027.798661798501,2411.12,
Rain Industries Ltd,RAIN,RAIN,Chemicals & Fertilizers,5704.90277416,2281.96,
Dhanuka Agritech Ltd.,DHANUKA,DHANUKA,Chemicals & Fertilizers,5662.8176688275,2265.13,
Rallis India Ltd.,RALLIS,RALLIS,Chemicals & Fertilizers,5217.134149322001,2086.85,
National Fertilizers Ltd.,NFL,NFL,Chemicals & Fertilizers,5156.174954566,2062.47,
GHCL Ltd.,GHCL,GHCL,Chemicals & Fertilizers,4991.5457508035,1996.62,
Epigral Ltd.,EPIGRAL,EPIGRAL,Chemicals & Fertilizers,4912.965656209,1965.19,
Privi Speciality Chemicals Ltd.,PRIVISCL,PRIVISCL,Chemicals & Fertilizers,4578.917368027,1831.57,
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,SUDARSCHEM,Chemicals & Fertilizers,4531.2009560975,1812.48,
NEOGEN CHEMICALS LTD.,NEOGEN,NEOGEN,Chemicals & Fertilizers,3747.7980756035,1499.12,
Sharda Cropchem Ltd.,SHARDACROP,SHARDACROP,Chemicals & Fertilizers,3501.9249167139997,1400.77,
Styrenix Performance Materials Ltd.,STYRENIX,STYRENIX,Chemicals & Fertilizers,2846.6810407775,1138.67,
Refex Industries Ltd.,REFEX,REFEX,Chemicals & Fertilizers,1561.0666571275,624.43,
Bayer Cropscience Ltd.,506285,BAYERCROP,Chemicals & Fertilizers,0.0,0.0,
Swan Corp Ltd.,503310,SWANCORP,Chemicals & Fertilizers,0.0,0.0,
Page Industries Ltd.,PAGEIND,PAGEIND,Textiles & Apparel,40586.1232787305,16234.45,
K.P.R. Mill Ltd.,KPRMILL,KPRMILL,Textiles & Apparel,27480.400232805,10992.16,
