Company_Name,Facility_ID,Facility_Type,Latitude,Longitude,City,State,Facility_Name
Usha Martin Limited,3,Facility,23.3700501,85.3250387,Ranchi,,Facility
UTI Asset Management Company Limited,2,Facility,19.054999,72.8692035,Mumbai,Maharashtra,Facility
Voltamp Transformers Limited,1,Registered Office,22.2973142,73.1942567,Vadodara,Gujarat,Registered Office
Welspun Living Limited,4,Facility,20.3735482,72.9084376,Vapi,Gujarat,Facility
ZF Commercial Vehicle Control Systems India Limited,2,Plant,13.0836939,80.270186,Chennai,Tamil Nadu,Plant
360 ONE WAM LIMITED,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
3M INDIA LIMITED,1,Registered Office,16.3113039,75.9164329,Hosur,Karnataka,Registered Office
3M INDIA LIMITED,2,Corporate Office,12.9767936,77.590082,Bengaluru,Karnataka,Corporate Office
3M INDIA LIMITED,3,Plant,12.9767936,77.590082,Bengaluru,Karnataka,Plant
Aarti Industries Limited,1,Registered Office,20.3735482,72.9084376,Vapi,Gujarat,Registered Office
Aarti Industries Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Aarti Industries Limited,3,Plant,19.5670323,76.4164557,,Maharashtra,Plant
Aavas Financiers Limited,1,Registered Office,26.9154576,75.8189817,Jaipur,Rajasthan,Registered Office
ABB India Limited,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
ABB India Limited,2,Plant,12.9767936,77.590082,Bangalore,Karnataka,Plant
ACC Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Adani Energy Solutions Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Adani Energy Solutions Limited,2,Corporate Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Corporate Office
Adani Energy Solutions Limited,3,Plant,26.4886738,74.5561792,Gwalior,Rajasthan,Plant
Adani Energy Solutions Limited,4,Facility,23.0215374,72.5800568,Ahmedabad,Gujarat,Facility
Adani Enterprises Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Adani Ports and Special Economic Zone Limited,1,Registered Office,23.0215374,72.5800568,Ahmedabad,Gujarat,Registered Office
Adani Ports and Special Economic Zone Limited,2,Plant,21.2752308,76.1606744,Loni,,Plant
